Rank,Change,Player,School,Position,Height,Weight,CollegeClass,Date,DraftStatus
1,--,Trevor Lawrence,Clemson,QB,"6'6""",220,JR,2021-01-17,Eligible
2,--,Penei Sewell,Oregon,OT,"6'5""",330,JR,2021-01-17,Eligible
3,--,Ja'Marr Chase,LSU,WR,"6'1""",200,JR,2021-01-17,Eligible
4,--,Justin Fields,Ohio State,QB,6'3'',228,JR,2021-01-17,Eligible
5,--,Patrick Surtain II,Alabama,CB,"6'1""",203,JR,2021-01-17,Eligible
6,--,Micah Parsons,Penn State,ILB,"6'2""",245,JR,2021-01-17,Eligible
7,--,Zach Wilson,BYU,QB,6'3'',210,JR,2021-01-17,Eligible
8,--,Jaylen Waddle,Alabama,WRS,"5'10""",182,JR,2021-01-17,Eligible
9,--,Caleb Farley,Virginia Tech,CB,"6'2""",197,RJR,2021-01-17,Eligible
10,--,Kyle Pitts,Florida,TE,"6'5""",239,JR,2021-01-17,Eligible
11,--,DeVonta Smith,Alabama,WR,"6'1""",175,SR,2021-01-17,Eligible
12,--,Trevon Moehrig,TCU,S,"6'2""",202,JR,2021-01-17,Eligible
13,--,Rondale Moore,Purdue,WRS,"5'9""",175,JR,2021-01-17,Eligible
14,--,Trey Lance,North Dakota State,QB,"6'3""",226,RSO,2021-01-17,Eligible
15,-4,Gregory Rousseau,Miami (FL),EDGE,"6'5""",260,RSO,2021-01-17,Eligible
16,--,Jaycee Horn,South Carolina,CB,"6'0""",200,JR,2021-01-17,Eligible
17,--,Christian Darrisaw,Virginia Tech,OT,6'5'',314,RJR,2021-01-17,Eligible
18,--,Kwity Paye,Michigan,DL5T,"6'4""",277,SR,2021-01-17,Eligible
19,--,Wyatt Davis,Ohio State,OG,"6'4""",315,RJR,2021-01-17,Eligible
20,--,Samuel Cosmi,Texas,OT,"6'7""",309,RJR,2021-01-17,Eligible
21,--,Christian Barmore,Alabama,DL3T,"6'5""",310,RSO,2021-01-17,Eligible
22,--,Rashod Bateman,Minnesota,WR,"6'1""",210,JR,2021-01-17,Eligible
23,--,Jeremiah Owusu-Koramoah,Notre Dame,OLB,6'1'',216,SR,2021-01-17,Eligible
24,--,Asante Samuel Jr.,Florida State,CB,"5'10""",180,JR,2021-01-17,Eligible
25,--,Alex Leatherwood,Alabama,OT,"6'6""",312,SR,2021-01-17,Eligible
26,--,Daviyon Nixon,Iowa,DL3T,"6'3""",305,JR,2021-01-17,Eligible
27,--,Travis Etienne,Clemson,RB,"5'10""",210,SR,2021-01-17,Eligible
28,--,Carlos Basham Jr.,Wake Forest,DL5T,"6'5""",285,RSR,2021-01-17,Eligible
29,--,Andre Cisco,Syracuse,S,"6'0""",203,JR,2021-01-17,Eligible
30,--,Mac Jones,Alabama,QB,6'2'',214,RJR,2021-01-17,Eligible
31,--,Patrick Jones II,Pitt,EDGE,"6'5""",260,RSR,2021-01-17,Eligible
32,--,Nick Bolton,Missouri,ILB,"6'0""",235,JR,2021-01-17,Eligible
33,--,Rashawn Slater,Northwestern,OT,6'4'',314,SR,2021-01-17,Eligible
34,--,Najee Harris,Alabama,RB,"6'2""",230,SR,2021-01-17,Eligible
35,--,Kyle Trask,Florida,QB,6'4'',240,RSR,2021-01-17,Eligible
36,--,Zaven Collins,Tulsa,OLB,6'4'',260,RJR,2021-01-17,Eligible
37,--,Trey Smith,Tennessee,OG,"6'6""",330,SR,2021-01-17,Eligible
38,--,Creed Humphrey,Oklahoma,OC,"6'5""",320,RJR,2021-01-17,Eligible
39,--,Tyson Campbell,Georgia,CB,"6'2""",180,JR,2021-01-17,Eligible
40,--,Alijah Vera-Tucker,USC,OG,"6'4""",315,RJR,2021-01-17,Eligible
41,--,Jay Tufele,USC,DL3T,"6'3""",305,RJR,2021-01-17,Eligible
42,--,Terrace Marshall,LSU,WR,"6'3""",200,JR,2021-01-17,Eligible
43,--,Joseph Ossai,Texas,EDGE,"6'4""",253,JR,2021-01-17,Eligible
44,--,Paulson Adebo,Stanford,CB,"6'1""",190,SR,2021-01-17,Eligible
45,--,Seth Williams,Auburn,WR,"6'2""",224,JR,2021-01-17,Eligible
46,--,Quincy Roche,Miami (FL),EDGE,"6'4""",235,RSR,2021-01-17,Eligible
47,--,Chazz Surratt,North Carolina,OLB,"6'3""",230,RSR,2021-01-17,Eligible
48,--,Richie Grant,UCF,S,"6'0""",194,RSR,2021-01-17,Eligible
49,--,Marvin Wilson,Florida State,DL3T,"6'5""",311,SR,2021-01-17,Eligible
50,--,Dylan Moses,Alabama,OLB,"6'3""",235,SR,2021-01-17,Eligible
51,--,Rodarius Williams,Oklahoma State,CB,"6'0""",180,RSR,2021-01-17,Eligible
52,--,Pat Freiermuth,Penn State,TE,"6'5""",250,JR,2021-01-17,Eligible
53,--,Shaun Wade,Ohio State,CB,"6'1""",194,RJR,2021-01-17,Eligible
54,--,Tyler Shelvin,LSU,DL1T,"6'3""",346,RJR,2021-01-17,Eligible
55,--,Jalen Mayfield,Michigan,OT,"6'5""",320,RSO,2021-01-17,Eligible
56,--,Joe Tryon,Washington,EDGE,"6'5""",262,RJR,2021-01-17,Eligible
57,--,Elijah Molden,Washington,S,"5'10""",186,SR,2021-01-17,Eligible
58,--,Elijah Moore,Ole Miss,WRS,"5'9""",184,JR,2021-01-17,Eligible
59,--,Jevon Holland,Oregon,S,"6'1""",196,JR,2021-01-17,Eligible
60,--,Jaylen Twyman,Pitt,DL5T,"6'2""",290,RJR,2021-01-17,Eligible
61,--,Sage Surratt,Wake Forest,WR,"6'2""",215,RJR,2021-01-17,Eligible
62,--,Shakur Brown,Michigan State,CB,"5'11""",190,RJR,2021-01-17,Eligible
63,--,Josh Myers,Ohio State,OC,6'5'',312,RJR,2021-01-17,Eligible
64,--,Alim McNeill,NC State,DL1T,"6'2""",315,JR,2021-01-17,Eligible
65,--,Jayson Oweh,Penn State,EDGE,"6'5""",257,RSO,2021-01-17,Eligible
66,--,Eric Stokes,Georgia,CB,"6'1""",185,RJR,2021-01-17,Eligible
67,-20,Hamsah Nasirildeen,Florida State,S,"6'4""",215,SR,2021-01-17,Eligible
68,--,Tylan Wallace,Oklahoma State,WR,"6'0""",185,SR,2021-01-17,Eligible
69,--,Jaelan Phillips,Miami (FL),EDGE,"6'5""",255,RJR,2021-01-17,Eligible
70,--,Walker Little,Stanford,OT,"6'7""",313,SR,2021-01-17,Eligible
71,--,Kenneth Gainwell,Memphis,RB,"5'11""",191,RSO,2021-01-17,Eligible
72,--,Israel Mukuamu,South Carolina,CB,"6'3""",205,JR,2021-01-17,Eligible
73,--,Kadarius Toney,Florida,WR,5'11'',190,SR,2021-01-17,Eligible
74,--,Paris Ford,Pitt,S,"6'0""",190,RJR,2021-01-17,Eligible
75,--,Amon-Ra St. Brown,USC,WR,"6'1""",195,JR,2021-01-17,Eligible
76,--,Ben Cleveland,Georgia,OG,"6'6""",335,RSR,2021-01-17,Eligible
77,--,Jamie Newman,Georgia,QB,"6'4""",230,RSR,2021-01-17,Eligible
78,--,Cameron McGrone,Michigan,OLB,6'1'',232,RSO,2021-01-17,Eligible
79,--,Darius Stills,West Virginia,DL3T,"6'1""",292,SR,2021-01-17,Eligible
80,--,Jabril Cox,LSU,OLB,"6'2""",233,RSR,2021-01-17,Eligible
81,--,Liam Eichenberg,Notre Dame,OT,"6'6""",302,RSR,2021-01-17,Eligible
