Rank,Change,Player,School,Position,Height,Weight,CollegeClass,Date,DraftStatus
1,--,Trevor Lawrence,Clemson,QB,"6'6""",220,JR,2020-09-02,Eligible
2,--,Penei Sewell,Oregon,OT,"6'5""",325,JR,2020-09-02,Eligible
3,--,Justin Fields,Ohio State,QB,"6'2""",223,JR,2020-09-02,Eligible
4,--,Gregory Rousseau,Miami (FL),EDGE,"6'5""",260,RSO,2020-09-02,Eligible
5,--,Ja'Marr Chase,LSU,WR,"6'1""",200,JR,2020-09-02,Eligible
6,--,Patrick Surtain II,Alabama,CB,"6'1""",203,JR,2020-09-02,Eligible
7,--,Shaun Wade,Ohio State,CB,"6'1""",194,RJR,2020-09-02,Eligible
8,--,Marvin Wilson,Florida State,DL1T,"6'5""",311,SR,2020-09-02,Eligible
9,--,Alex Leatherwood,Alabama,OT,"6'6""",310,SR,2020-09-02,Eligible
10,--,Walker Little,Stanford,OT,"6'7""",309,SR,2020-09-02,Eligible
11,+4,Micah Parsons,Penn State,ILB,"6'2""",245,JR,2020-09-02,Eligible
12,--,Creed Humphrey,Oklahoma,OC,"6'5""",316,RJR,2020-09-02,Eligible
13,--,Carlos Basham Jr.,Wake Forest,DL5T,"6'5""",275,JR,2020-09-02,Eligible
14,--,Andre Cisco,Syracuse,S,"6'0""",203,JR,2020-09-02,Eligible
15,--,DeVonta Smith,Alabama,WR,"6'1""",175,SR,2020-09-02,Eligible
16,--,Rondale Moore,Purdue,WRS,"5'9""",175,JR,2020-09-02,Eligible
17,--,Rashod Bateman,Minnesota,WR,"6'1""",210,JR,2020-09-02,Eligible
18,--,Jaylen Twyman,Pitt,DL3T,"6'2""",290,RJR,2020-09-02,Eligible
19,--,Travis Etienne,Clemson,RB,"5'10""",210,SR,2020-09-02,Eligible
20,+1,Jalen Mayfield,Michigan,OT,"6'5""",319,RSO,2020-09-02,Eligible
21,+2,Israel Mukuamu,South Carolina,CB,"6'3""",205,JR,2020-09-02,Eligible
22,+3,Tyler Shelvin,LSU,DL1T,"6'3""",346,RJR,2020-09-02,Eligible
23,+3,Wyatt Davis,Ohio State,OG,"6'4""",310,RJR,2020-09-02,Eligible
24,+3,Xavier Thomas,Clemson,EDGE,"6'2""",265,JR,2020-09-02,Eligible
25,+3,Deonte Brown,Alabama,OG,6'4'',338,SR,2020-09-02,Eligible
26,+2,Jevon Holland,Oregon,S,"6'1""",196,JR,2020-09-02,Eligible
27,+2,Dylan Moses,Alabama,OLB,"6'3""",235,SR,2020-09-02,Eligible
28,+10,Jayson Oweh,Penn State,EDGE,"6'5""",257,JR,2020-09-02,Eligible
29,+1,Jaylen Waddle,Alabama,WRS,"5'10""",182,JR,2020-09-02,Eligible
30,+1,Paulson Adebo,Stanford,CB,"6'1""",190,SR,2020-09-02,Eligible
31,+1,Tyson Campbell,Georgia,CB,"6'2""",180,JR,2020-09-02,Eligible
32,-17,Richard LeCounte III,Georgia,S,"5'11""",190,SR,2020-09-02,Eligible
33,+1,Kyle Pitts,Florida,TE,"6'5""",239,JR,2020-09-02,Eligible
34,--,Samuel Cosmi,Texas,OT,"6'7""",300,RJR,2020-09-02,Eligible
35,--,Jamie Newman,Georgia,QB,"6'4""",230,RSR,2020-09-02,Eligible
36,-1,Tedarrell Slaton,Florida,DL1T,"6'5""",358,JR,2020-09-02,Eligible
37,-1,Josh Myers,Ohio State,OC,6'5'',305,RJR,2020-09-02,Eligible
38,-2,Josh Jobe,Alabama,CB,6'1'',189,JR,2020-09-02,Eligible
39,-26,Trey Lance,North Dakota State,QB,"6'3""",221,RSO,2020-09-02,Eligible
40,-1,Liam Eichenberg,Notre Dame,OT,"6'6""",294,RSR,2020-09-02,Eligible
41,-1,Caden Sterns,Texas,S,"6'0""",210,JR,2020-09-02,Eligible
42,--,Seth Williams,Auburn,WR,"6'2""",224,JR,2020-09-02,Eligible
43,--,Jaycee Horn,South Carolina,CB,"6'0""",200,JR,2020-09-02,Eligible
44,--,Najee Harris,Alabama,RB,"6'2""",230,SR,2020-09-02,Eligible
45,--,Thayer Munford,Ohio State,OT,"6'6""",310,SR,2020-09-02,Eligible
46,--,Chuba Hubbard,Oklahoma State,RB,"6'1""",207,RJR,2020-09-02,Eligible
47,-8,Brock Purdy,Iowa State,QB,"6'0""",202,JR,2020-09-02,Eligible
48,-10,Hamilcar Rashed,Oregon State,EDGE,6'4'',233,RSR,2020-09-02,Eligible
49,--,Cade Mays,Tennessee,OG,"6'5""",318,JR,2020-09-02,Eligible
50,--,Trey Smith,Tennessee,OG,"6'6""",325,SR,2020-09-02,Eligible
51,--,Baron Browning,Ohio State,ILB,"6'3""",248,SR,2020-09-02,Eligible
52,--,Patrick Jones II,Pitt,EDGE,"6'5""",260,RSR,2020-09-02,Eligible
53,--,Amon-Ra St. Brown,USC,WR,"6'1""",195,JR,2020-09-02,Eligible
54,--,Brevin Jordan,Miami (FL),TE,"6'3""",245,JR,2020-09-02,Eligible
55,--,Alaric Jackson,Iowa,OT,"6'6""",320,RSR,2020-09-02,Eligible
56,--,Jackson Carman,Clemson,OT,"6'5""",345,JR,2020-09-02,Eligible
57,--,Marlon Tuipulotu,USC,DL3T,6'3'',305,JR,2020-09-02,Eligible
58,--,Quincy Roche,Miami (FL),EDGE,"6'4""",235,RSR,2020-09-02,Eligible
59,--,Trey Hill,Georgia,OC,"6'4""",330,JR,2020-09-02,Eligible
60,--,Sage Surratt,Wake Forest,WR,"6'2""",215,RJR,2020-09-02,Eligible
61,--,Zamir White,Georgia,RB,"5'11""",215,SO,2020-09-02,Eligible
62,--,Marco Wilson,Florida,CB,"6'0""",190,RJR,2020-09-02,Eligible
63,--,Amen Ogbongbemiga,Oklahoma State,ILB,"6'1""",231,RSR,2020-09-02,Eligible
64,--,Tommy Kraemer,Notre Dame,OG,"6'6""",319,RSR,2020-09-02,Eligible
65,+999,Trevon Moehrig,TCU,S,"6'2""",202,JR,2020-09-02,Eligible
66,--,Tylan Wallace,Oklahoma State,WR,"6'0""",185,SR,2020-09-02,Eligible
67,--,Jay Tufele,USC,DL3T,"6'3""",305,RJR,2020-09-02,Eligible
68,--,Erroll Thompson,Mississippi State,ILB,"6'1""",250,RSR,2020-09-02,Eligible
69,--,Kyle Trask,Florida,QB,6'4'',234,RSR,2020-09-02,Eligible
70,--,Chris Olave,Ohio State,WR,"6'0""",185,JR,2020-09-02,Eligible
71,--,Eric Stokes,Georgia,CB,"6'1""",185,RJR,2020-09-02,Eligible
72,--,Jimmy Morrissey,Pitt,OC,"6'3""",300,RSR,2020-09-02,Eligible
73,--,Jordan Smith,UAB,EDGE,"6'7""",250,RJR,2020-09-02,Eligible
74,--,Hamsah Nasirildeen,Florida State,S,"6'4""",215,SR,2020-09-02,Eligible
75,--,Pooka Williams,Kansas,RBC,"5'10""",170,JR,2020-09-02,Eligible
76,--,Damone Clark,LSU,ILB,"6'3""",239,JR,2020-09-02,Eligible
77,--,Trey Sermon,Ohio State,RB,"6'0""",224,SR,2020-09-02,Eligible
78,--,Ben Cleveland,Georgia,OG,"6'6""",341,RSR,2020-09-02,Eligible
79,--,C.J. Verdell,Oregon,RB,"5'9""",210,JR,2020-09-02,Eligible
80,--,Terrace Marshall,LSU,WR,"6'3""",200,JR,2020-09-02,Eligible
81,--,Joe Tryon,Washington,EDGE,"6'5""",262,RJR,2020-09-02,Eligible
82,--,Caleb Farley,Virginia Tech,CB,"6'2""",197,RJR,2020-09-02,Eligible
83,--,Jabril Cox,LSU,OLB,"6'2""",233,RSR,2020-09-02,Eligible
84,--,Pat Freiermuth,Penn State,TE,"6'5""",250,JR,2020-09-02,Eligible
85,--,Donovan Stiner,Florida,S,"6'1""",203,JR,2020-09-02,Eligible
86,--,Jeremiah Owusu-Koramoah,Notre Dame,OLB,6'1'',216,JR,2020-09-02,Eligible
87,--,Tutu Atwell,Louisville,WRS,"5'9""",156,JR,2020-09-02,Eligible
88,--,Alec Lindstrom,Boston College,OC,6'4'',275,RJR,2020-09-02,Eligible
