Rank,Change,Player,School,Position,Height,Weight,CollegeClass,Date,DraftStatus
1,--,Trevor Lawrence,Clemson,QB,"6'6""",220,JR,2021-03-28,Eligible
2,--,Penei Sewell,Oregon,OT,"6'5""",330,JR,2021-03-28,Eligible
3,--,Ja'Marr Chase,LSU,WR,"6'1""",200,JR,2021-03-28,Eligible
4,--,Zach Wilson,BYU,QB,6'3'',210,JR,2021-03-28,Eligible
5,--,Justin Fields,Ohio State,QB,6'3'',228,JR,2021-03-28,Eligible
6,--,Jaylen Waddle,Alabama,WRS,"5'10""",182,JR,2021-03-28,Eligible
7,--,Kyle Pitts,Florida,TE,"6'5""",239,JR,2021-03-28,Eligible
8,+1,Patrick Surtain II,Alabama,CB,"6'1""",203,JR,2021-03-28,Eligible
9,--,DeVonta Smith,Alabama,WR,"6'1""",175,SR,2021-03-28,Eligible
10,--,Trey Lance,North Dakota State,QB,"6'3""",226,RSO,2021-03-28,Eligible
11,--,Rashawn Slater,Northwestern,OT,6'4'',314,SR,2021-03-28,Eligible
12,+2,Jaycee Horn,South Carolina,CB,"6'0""",200,JR,2021-03-28,Eligible
13,+1,Micah Parsons,Penn State,ILB,"6'2""",245,JR,2021-03-28,Eligible
14,--,Gregory Rousseau,Miami (FL),EDGE,"6'5""",260,RSO,2021-03-28,Eligible
15,--,Wyatt Davis,Ohio State,OG,"6'4""",315,RJR,2021-03-28,Eligible
16,--,Rondale Moore,Purdue,WRS,"5'9""",175,JR,2021-03-28,Eligible
17,--,Rashod Bateman,Minnesota,WR,"6'1""",210,JR,2021-03-28,Eligible
18,--,Christian Darrisaw,Virginia Tech,OT,6'5'',314,RJR,2021-03-28,Eligible
19,--,Samuel Cosmi,Texas,OT,"6'7""",309,RJR,2021-03-28,Eligible
20,-1,Kwity Paye,Michigan,EDGE,"6'4""",277,SR,2021-03-28,Eligible
21,--,Trevon Moehrig,TCU,S,"6'2""",202,JR,2021-03-28,Eligible
22,--,Travis Etienne,Clemson,RB,"5'10""",210,SR,2021-03-28,Eligible
23,-5,Christian Barmore,Alabama,DL3T,"6'5""",310,RSO,2021-03-28,Eligible
24,--,Azeez Ojulari,Georgia,EDGE,"6'3""",240,RSO,2021-03-28,Eligible
25,+2,Mac Jones,Alabama,QB,6'2'',214,RJR,2021-03-28,Eligible
26,--,Asante Samuel Jr.,Florida State,CB,"5'10""",180,JR,2021-03-28,Eligible
27,--,Greg Newsome II,Northwestern,CB,"6'1""",190,JR,2021-03-28,Eligible
28,+5,Alijah Vera-Tucker,USC,OG,"6'4""",315,RJR,2021-03-28,Eligible
29,--,Richie Grant,UCF,S,"6'0""",194,RSR,2021-03-28,Eligible
30,-20,Caleb Farley,Virginia Tech,CB,"6'2""",197,RJR,2021-03-28,Eligible
31,+5,Alex Leatherwood,Alabama,OT,"6'6""",312,SR,2021-03-28,Eligible
32,--,Jeremiah Owusu-Koramoah,Notre Dame,OLB,6'1'',216,SR,2021-03-28,Eligible
33,--,Joseph Ossai,Texas,EDGE,"6'4""",253,JR,2021-03-28,Eligible
34,-3,Nick Bolton,Missouri,ILB,"6'0""",235,JR,2021-03-28,Eligible
35,--,Najee Harris,Alabama,RB,"6'2""",230,SR,2021-03-28,Eligible
36,-8,Daviyon Nixon,Iowa,DL3T,"6'3""",305,JR,2021-03-28,Eligible
37,--,Terrace Marshall,LSU,WR,"6'3""",200,JR,2021-03-28,Eligible
38,--,Zaven Collins,Tulsa,OLB,6'4'',260,RJR,2021-03-28,Eligible
39,+2,Trey Smith,Tennessee,OG,"6'6""",330,SR,2021-03-28,Eligible
40,+12,Jayson Oweh,Penn State,EDGE,"6'5""",257,RSO,2021-03-28,Eligible
41,--,Kadarius Toney,Florida,WR,5'11'',190,SR,2021-03-28,Eligible
42,+5,Jalen Mayfield,Michigan,OT,"6'5""",320,RSO,2021-03-28,Eligible
43,--,Kyle Trask,Florida,QB,6'4'',240,RSR,2021-03-28,Eligible
44,--,Creed Humphrey,Oklahoma,OC,"6'5""",320,RJR,2021-03-28,Eligible
45,--,Tyson Campbell,Georgia,CB,"6'2""",180,JR,2021-03-28,Eligible
46,--,Andre Cisco,Syracuse,S,"6'0""",203,JR,2021-03-28,Eligible
47,--,Jaelan Phillips,Miami (FL),EDGE,"6'5""",255,RJR,2021-03-28,Eligible
48,--,Dylan Moses,Alabama,OLB,"6'3""",235,SR,2021-03-28,Eligible
49,-5,Jay Tufele,USC,DL3T,"6'2""",310,RJR,2021-03-28,Eligible
50,--,Tylan Wallace,Oklahoma State,WR,"6'0""",185,SR,2021-03-28,Eligible
51,--,Teven Jenkins,Oklahoma State,OT,6'6'',320,RSR,2021-03-28,Eligible
52,--,Carlos Basham Jr.,Wake Forest,DL5T,"6'5""",285,RSR,2021-03-28,Eligible
53,--,Jabril Cox,LSU,OLB,"6'2""",233,RSR,2021-03-28,Eligible
54,-5,Pat Freiermuth,Penn State,TE,"6'5""",250,JR,2021-03-28,Eligible
55,--,Jaylen Twyman,Pitt,DL5T,"6'2""",290,RJR,2021-03-28,Eligible
56,--,Tyler Shelvin,LSU,DL1T,"6'3""",346,RJR,2021-03-28,Eligible
57,--,Elijah Molden,Washington,CB,"5'10""",186,SR,2021-03-28,Eligible
58,--,Elijah Moore,Ole Miss,WRS,"5'9""",184,JR,2021-03-28,Eligible
59,--,Ben Cleveland,Georgia,OG,"6'6""",335,RSR,2021-03-28,Eligible
60,--,Jevon Holland,Oregon,S,"6'1""",196,JR,2021-03-28,Eligible
61,--,Javonte Williams,North Carolina,RB,"5'10""",220,JR,2021-03-28,Eligible
62,--,Landon Dickerson,Alabama,OC,6'6'',325,RSR,2021-03-28,Eligible
63,-15,Marvin Wilson,Florida State,DL1T,"6'3""",319,SR,2021-03-28,Eligible
64,--,Alim McNeill,NC State,DL3T,"6'2""",320,JR,2021-03-28,Eligible
65,--,Hamsah Nasirildeen,Florida State,S,"6'4""",215,SR,2021-03-28,Eligible
66,--,Shaun Wade,Ohio State,CB,"6'1""",194,RJR,2021-03-28,Eligible
67,--,Patrick Jones II,Pitt,EDGE,"6'5""",260,RSR,2021-03-28,Eligible
68,--,Michael Carter,North Carolina,RBC,"5'9""",195,SR,2021-03-28,Eligible
69,--,Seth Williams,Auburn,WR,"6'2""",224,JR,2021-03-28,Eligible
70,--,Eric Stokes,Georgia,CB,"6'1""",185,RJR,2021-03-28,Eligible
71,--,Darius Stills,West Virginia,DL5T,"6'1""",285,SR,2021-03-28,Eligible
72,--,Amon-Ra St. Brown,USC,WR,"6'1""",195,JR,2021-03-28,Eligible
73,-5,Cameron McGrone,Michigan,OLB,6'1'',232,RSO,2021-03-28,Eligible
74,--,Jackson Carman,Clemson,OT,"6'5""",335,JR,2021-03-28,Eligible
75,--,Joe Tryon,Washington,EDGE,"6'5""",262,RJR,2021-03-28,Eligible
76,--,Liam Eichenberg,Notre Dame,OT,"6'6""",302,RSR,2021-03-28,Eligible
77,--,Ifeatu Melifonwu,Syracuse,CB,"6'3""",212,RJR,2021-03-28,Eligible
78,--,Chazz Surratt,North Carolina,OLB,"6'3""",230,RSR,2021-03-28,Eligible
79,--,Quinn Meinerz,UW–Whitewater,OC,"6'3""",320,SR,2021-03-28,Eligible
80,--,Josh Myers,Ohio State,OC,6'5'',312,RJR,2021-03-28,Eligible
81,--,Kenneth Gainwell,Memphis,RB,"5'11""",191,RSO,2021-03-28,Eligible
82,-5,Talanoa Hufanga,USC,S,"6'1""",215,JR,2021-03-28,Eligible
83,--,Levi Onwuzurike,Washington,DL3T,"6'3""",293,RSR,2021-03-28,Eligible
84,--,Brevin Jordan,Miami (FL),TE,"6'3""",245,JR,2021-03-28,Eligible
85,--,Hamilcar Rashed,Oregon State,EDGE,6'3'',248,RSR,2021-03-28,Eligible
86,-5,D'Wayne Eskridge,Western Michigan,WRS,"5'9""",188,SR,2021-03-28,Eligible
87,--,Quincy Roche,Miami (FL),EDGE,"6'4""",235,RSR,2021-03-28,Eligible
88,--,Jamie Newman,Georgia,QB,"6'4""",230,RSR,2021-03-28,Eligible
89,--,Dyami Brown,North Carolina,WR,"6'1""",185,JR,2021-03-28,Eligible
90,--,Chuba Hubbard,Oklahoma State,RB,"6'1""",207,RJR,2021-03-28,Eligible
91,--,Dillon Radunz,North Dakota State,OT,6'6'',299,SR,2021-03-28,Eligible
92,--,Rashad Weaver,Pitt,EDGE,"6'5""",270,RSR,2021-03-28,Eligible
93,-5,Jaelon Darden,North Texas,WRS,"5'9""",174,SR,2021-03-28,Eligible
94,--,Tutu Atwell,Louisville,WRS,"5'9""",156,JR,2021-03-28,Eligible
95,--,Caden Sterns,Texas,S,"6'0""",210,JR,2021-03-28,Eligible
96,--,Baron Browning,Ohio State,ILB,"6'3""",248,SR,2021-03-28,Eligible
97,--,Ronnie Perkins,Oklahoma,OLB,6'4',230,JR,2021-03-28,Eligible
98,--,Dazz Newsome,North Carolina,WR,"5'11""",175,SR,2021-03-28,Eligible
99,--,Paulson Adebo,Stanford,CB,"6'1""",190,SR,2021-03-28,Eligible
100,--,Damonte Coxie,Memphis,WR,6'3'',197,SR,2021-03-28,Eligible
101,--,Dayo Odeyingbo,Vanderbilt,DL5T,6'5'',279,SR,2021-03-28,Eligible
102,--,Aaron Robinson,UCF,CB,5'11'',193,RSR,2021-03-28,Eligible
103,--,Anthony Schwartz,Auburn,WR,"6'0""",197,JR,2021-03-28,Eligible
104,--,Drake Jackson,Kentucky,OC,6'2'',292,RSR,2021-03-28,Eligible
105,+5,Hunter Long,Boston College,TE,"6'5""",253,JR,2021-03-28,Eligible
106,--,Walker Little,Stanford,OT,"6'7""",313,SR,2021-03-28,Eligible
107,--,Marlon Williams,UCF,WR,"6'0""",215,SR,2021-03-28,Eligible
108,--,Sage Surratt,Wake Forest,WR,"6'2""",215,RJR,2021-03-28,Eligible
109,-10,Deonte Brown,Alabama,OG,6'4'',350,RSR,2021-03-28,Eligible
110,+5,Khalil Herbert,Virginia Tech,RBC,"5'9""",205,RSR,2021-03-28,Eligible
111,+30,Spencer K. Brown,Northern Iowa,OT,6'9'',321,RSR,2021-03-28,Eligible
112,--,Paris Ford,Pitt,S,"6'0""",190,RJR,2021-03-28,Eligible
113,-5,Israel Mukuamu,South Carolina,CB,"6'3""",205,JR,2021-03-28,Eligible
114,--,Ar'Darius Washington,TCU,S,"5'8""",175,RSO,2021-03-28,Eligible
115,-5,Kenny Yeboah,Ole Miss,TE,6'4'',240,RSR,2021-03-28,Eligible
116,-50,Shakur Brown,Michigan State,CB,"5'11""",190,RJR,2021-03-28,Eligible
117,-5,Marlon Tuipulotu,USC,DL3T,"6'1""",308,RJR,2021-03-28,Eligible
118,+5,Ihmir Smith-Marsette,Iowa,WR,"6'2""",175,SR,2021-03-28,Eligible
119,-5,Divine Deablo,Virginia Tech,S,6'3'',226,RSR,2021-03-28,Eligible
120,--,Aaron Banks,Notre Dame,OG,"6'5""",330,RJR,2021-03-28,Eligible
121,--,Pete Werner,Ohio State,ILB,6'3'',239,SR,2021-03-28,Eligible
122,--,Chris Rumph II,Duke,EDGE,"6'3""",225,RJR,2021-03-28,Eligible
123,--,Tony Poljan,Virginia,TE,"6'7""",265,RSR,2021-03-28,Eligible
124,--,Trey Hill,Georgia,OC,"6'4""",330,JR,2021-03-28,Eligible
125,--,Cary Angeline,NC State,TE,"6'7""",250,SR,2021-03-28,Eligible
126,--,Charles Snowden,Virginia,OLB,"6'6""",232,SR,2021-03-28,Eligible
127,--,Rodarius Williams,Oklahoma State,CB,"6'0""",193,RSR,2021-03-28,Eligible
128,--,Jonathan Marshall,Arkansas,DL1T,"6'3""",317,RSR,2021-03-28,Eligible
129,--,Keith Taylor,Washington,CB,"6'3""",191,SR,2021-03-28,Eligible
130,--,Tedarrell Slaton,Florida,DL1T,"6'5""",358,SR,2021-03-28,Eligible
131,--,Olaijah Griffin,USC,CB,6'0'',170,JR,2021-03-28,Eligible
132,--,Trey Sermon,Ohio State,RB,"6'0""",224,SR,2021-03-28,Eligible
133,--,Tariq Thompson,San Diego State,S,"6'0""",200,SR,2021-03-28,Eligible
134,+10,Nico Collins,Michigan,WR,"6'4""",222,SR,2021-03-28,Eligible
135,--,Kellen Mond,Texas A&M,QB,"6'3""",217,SR,2021-03-28,Eligible
136,--,K.J. Britt,Auburn,ILB,"6'0""",236,JR,2021-03-28,Eligible
137,--,Monty Rice,Georgia,OLB,"6'1""",235,SR,2021-03-28,Eligible
138,--,Kylen Granson,SMU,TE,6'2'',235,SR,2021-03-28,Eligible
139,--,Demetric Felton,UCLA,RBC,"5'9""",189,JR,2021-03-28,Eligible
140,--,Ta'Quon Graham,Texas,DL3T,"6'4""",294,SR,2021-03-28,Eligible
