Rank,Change,Player,School,Position,Height,Weight,CollegeClass,Date,DraftStatus
1,--,Trevor Lawrence,Clemson,QB,"6'6""",220,JR,2021-03-21,Eligible
2,--,Penei Sewell,Oregon,OT,"6'5""",330,JR,2021-03-21,Eligible
3,--,Ja'Marr Chase,LSU,WR,"6'1""",200,JR,2021-03-21,Eligible
4,--,Zach Wilson,BYU,QB,6'3'',210,JR,2021-03-21,Eligible
5,--,Justin Fields,Ohio State,QB,6'3'',228,JR,2021-03-21,Eligible
6,--,Jaylen Waddle,Alabama,WRS,"5'10""",182,JR,2021-03-21,Eligible
7,--,Kyle Pitts,Florida,TE,"6'5""",239,JR,2021-03-21,Eligible
8,--,Caleb Farley,Virginia Tech,CB,"6'2""",197,RJR,2021-03-21,Eligible
9,--,Patrick Surtain II,Alabama,CB,"6'1""",203,JR,2021-03-21,Eligible
10,--,DeVonta Smith,Alabama,WR,"6'1""",175,SR,2021-03-21,Eligible
11,--,Trey Lance,North Dakota State,QB,"6'3""",226,RSO,2021-03-21,Eligible
12,+1,Rashawn Slater,Northwestern,OT,6'4'',314,SR,2021-03-21,Eligible
13,--,Gregory Rousseau,Miami (FL),EDGE,"6'5""",260,RSO,2021-03-21,Eligible
14,--,Micah Parsons,Penn State,ILB,"6'2""",245,JR,2021-03-21,Eligible
15,--,Jaycee Horn,South Carolina,CB,"6'0""",200,JR,2021-03-21,Eligible
16,--,Wyatt Davis,Ohio State,OG,"6'4""",315,RJR,2021-03-21,Eligible
17,--,Christian Barmore,Alabama,DL3T,"6'5""",310,RSO,2021-03-21,Eligible
18,--,Rondale Moore,Purdue,WRS,"5'9""",175,JR,2021-03-21,Eligible
19,--,Kwity Paye,Michigan,EDGE,"6'4""",277,SR,2021-03-21,Eligible
20,+2,Rashod Bateman,Minnesota,WR,"6'1""",210,JR,2021-03-21,Eligible
21,+2,Christian Darrisaw,Virginia Tech,OT,6'5'',314,RJR,2021-03-21,Eligible
22,+2,Samuel Cosmi,Texas,OT,"6'7""",309,RJR,2021-03-21,Eligible
23,+2,Trevon Moehrig,TCU,S,"6'2""",202,JR,2021-03-21,Eligible
24,--,Travis Etienne,Clemson,RB,"5'10""",210,SR,2021-03-21,Eligible
25,+6,Azeez Ojulari,Georgia,EDGE,"6'3""",240,RSO,2021-03-21,Eligible
26,--,Asante Samuel Jr.,Florida State,CB,"5'10""",180,JR,2021-03-21,Eligible
27,--,Mac Jones,Alabama,QB,6'2'',214,RJR,2021-03-21,Eligible
28,--,Daviyon Nixon,Iowa,DL3T,"6'3""",305,JR,2021-03-21,Eligible
29,+20,Greg Newsome II,Northwestern,CB,"6'1""",190,JR,2021-03-21,Eligible
30,--,Richie Grant,UCF,S,"6'0""",194,RSR,2021-03-21,Eligible
31,--,Jeremiah Owusu-Koramoah,Notre Dame,OLB,6'1'',216,SR,2021-03-21,Eligible
32,--,Nick Bolton,Missouri,ILB,"6'0""",235,JR,2021-03-21,Eligible
33,+4,Joseph Ossai,Texas,EDGE,"6'4""",253,JR,2021-03-21,Eligible
34,--,Alijah Vera-Tucker,USC,OG,"6'4""",315,RJR,2021-03-21,Eligible
35,--,Najee Harris,Alabama,RB,"6'2""",230,SR,2021-03-21,Eligible
36,--,Terrace Marshall,LSU,WR,"6'3""",200,JR,2021-03-21,Eligible
37,--,Zaven Collins,Tulsa,OLB,6'4'',260,RJR,2021-03-21,Eligible
38,--,Alex Leatherwood,Alabama,OT,"6'6""",312,SR,2021-03-21,Eligible
39,--,Kadarius Toney,Florida,WR,5'11'',190,SR,2021-03-21,Eligible
