Pick,Round,Player,School,Position,Team,ReachValue,Points,Date,State
1,1,Trevor Lawrence,Clemson,QB,Jacksonville,+0,40,2021-03-10,South Carolina
2,1,Zach Wilson,BYU,QB,NY Jets,-2,35,2021-03-10,Utah
3,1,Penei Sewell,Oregon,OT,Miami (Trade),+1,35,2021-03-10,Oregon
4,1,Justin Fields,Ohio State,QB,Carolina (SIM Trade),-1,35,2021-03-10,Ohio
5,1,Ja'Marr Chase,LSU,WR,Cincinnati,+2,35,2021-03-10,Louisiana
6,1,Jaylen Waddle,Alabama,WR,Philadelphia,+0,35,2021-03-10,Alabama
7,1,DeVonta Smith,Alabama,WR,Detroit,-3,35,2021-03-10,Alabama
8,1,Trey Lance,North Dakota State,QB,Atlanta (SIM Trade),-3,35,2021-03-10,North Dakota
9,1,Caleb Farley,Virginia Tech,CB,Denver,+1,35,2021-03-10,Virginia
10,1,Jaycee Horn,South Carolina,CB,Dallas,-5,35,2021-03-10,South Carolina
11,1,Kyle Pitts,Florida,TE,NY Giants,+4,30,2021-03-10,Florida
12,1,Rashawn Slater,Northwestern,OT,San Francisco,-1,30,2021-03-10,Illinois
13,1,Patrick Surtain II,Alabama,CB,LA Chargers,+4,30,2021-03-10,Alabama
14,1,Micah Parsons,Penn State,ILB,Minnesota,+0,30,2021-03-10,Pennsylvania
15,1,Mac Jones,Alabama,QB,New England,-11,30,2021-03-10,Alabama
16,1,Christian Darrisaw,Virginia Tech,OT,Jacksonville (SIM Trade),-7,30,2021-03-10,Virginia
17,1,Gregory Rousseau,Miami (FL),EDGE,Las Vegas,+5,30,2021-03-10,Florida
18,1,Rashod Bateman,Minnesota,WR,Miami,-4,30,2021-03-10,Minnesota
19,1,Trevon Moehrig,TCU,S,Washington,+2,30,2021-03-10,Texas
20,1,Samuel Cosmi,Texas,OT,Chicago,-4,30,2021-03-10,Texas
21,1,Alex Leatherwood,Alabama,OT,Indianapolis,-16,25,2021-03-10,Alabama
22,1,Kwity Paye,Michigan,EDGE,Tennessee,+2,25,2021-03-10,Michigan
23,1,Wyatt Davis,Ohio State,OG,NY Jets (Trade),+7,25,2021-03-10,Ohio
24,1,Alijah Vera-Tucker,USC,OG,Pittsburgh,-8,25,2021-03-10,California
25,1,Jeremiah Owusu-Koramoah,Notre Dame,OLB,Arizona (SIM Trade),-4,25,2021-03-10,Indiana
26,1,Jayson Oweh,Penn State,EDGE,Cleveland,-24,25,2021-03-10,Pennsylvania
27,1,Terrace Marshall,LSU,WR,Baltimore,-7,25,2021-03-10,Louisiana
28,1,Nick Bolton,Missouri,ILB,New Orleans,-3,25,2021-03-10,Missouri
29,1,Christian Barmore,Alabama,DL3T,Green Bay,+11,25,2021-03-10,Alabama
30,1,Trey Smith,Tennessee,OG,Buffalo,-9,25,2021-03-10,Tennessee
31,1,Kadarius Toney,Florida,WR,Kansas City,-7,25,2021-03-10,Florida
32,1,Daviyon Nixon,Iowa,DL3T,Tampa Bay,+5,25,2021-03-10,Iowa
33,2,Asante Samuel Jr.,Florida State,CB,Jacksonville,+12,20,2021-03-10,Florida
34,2,Azeez Ojulari,Georgia,EDGE,NY Jets,+4,20,2021-03-10,Georgia
35,2,Najee Harris,Alabama,RB,Atlanta,+2,20,2021-03-10,Alabama
36,2,Zaven Collins,Tulsa,OLB,Miami (Trade),+1,20,2021-03-10,Oklahoma
37,2,Jaelan Phillips,Miami (FL),EDGE,Philadelphia,-10,20,2021-03-10,Florida
38,2,Jalen Mayfield,Michigan,OT,Cincinnati,-7,20,2021-03-10,Michigan
39,2,Richie Grant,UCF,S,Atlanta (SIM Trade),+11,20,2021-03-10,Florida
40,2,Travis Etienne,Clemson,RB,Denver,+15,20,2021-03-10,South Carolina
41,2,Joseph Ossai,Texas,EDGE,Detroit,+5,20,2021-03-10,Texas
42,2,Jay Tufele,USC,DL3T,NY Giants,-1,20,2021-03-10,California
43,2,Carlos Basham Jr.,Wake Forest,DL5T,San Francisco,-10,20,2021-03-10,North Carolina
44,2,Andre Cisco,Syracuse,S,Dallas,+0,20,2021-03-10,New York
45,2,Alim McNeill,NC State,DL3T,Jacksonville (Trade),-18,20,2021-03-10,North Carolina
46,2,Ben Cleveland,Georgia,OG,New England,-12,20,2021-03-10,Georgia
47,2,Patrick Jones II,Pitt,EDGE,LA Chargers,-20,20,2021-03-10,Pennsylvania
48,2,Jevon Holland,Oregon,S,Las Vegas,-11,20,2021-03-10,Oregon
49,2,Creed Humphrey,Oklahoma,OC,Arizona,+8,15,2021-03-10,Oklahoma
50,2,Marvin Wilson,Florida State,DL1T,Miami,+4,15,2021-03-10,Florida
51,2,Tyson Campbell,Georgia,CB,Washington,+9,15,2021-03-10,Georgia
52,2,Elijah Moore,Ole Miss,WRS,Chicago,-5,15,2021-03-10,Mississippi
53,2,Rondale Moore,Purdue,WRS,Tennessee,+34,15,2021-03-10,Indiana
54,2,Greg Newsome II,Northwestern,CB,Indianapolis,+3,15,2021-03-10,Illinois
55,2,Landon Dickerson,Alabama,OC,Pittsburgh,-5,15,2021-03-10,Alabama
56,2,Elijah Molden,Washington,CB,Seattle,+0,15,2021-03-10,Washington
57,2,Liam Eichenberg,Notre Dame,OT,LA Rams,-20,15,2021-03-10,Indiana
58,2,Joe Tryon,Washington,EDGE,Baltimore,-14,15,2021-03-10,Washington
59,2,Jabril Cox,LSU,OLB,Cleveland,+5,15,2021-03-10,Louisiana
60,2,Kyle Trask,Florida,QB,New Orleans,+20,15,2021-03-10,Florida
61,2,Teven Jenkins,Oklahoma State,OT,Buffalo,-34,15,2021-03-10,Oklahoma
62,2,Shaun Wade,Ohio State,CB,Green Bay,-3,15,2021-03-10,Ohio
63,2,Jackson Carman,Clemson,OT,Kansas City,-8,15,2021-03-10,South Carolina
64,2,Quincy Roche,Miami (FL),EDGE,Tampa Bay,-26,15,2021-03-10,Florida
106,4,Marlon Williams,UCF,WR,Jacksonville,-2,8,2021-03-10,Florida
107,4,Kenny Yeboah,Ole Miss,TE,NY Jets,-6,8,2021-03-10,Mississippi
108,4,Quinn Meinerz,UW–Whitewater,OC,Atlanta,-22,8,2021-03-10,Wisconsin
109,4,Chuba Hubbard,Oklahoma State,RB,Houston,+20,8,2021-03-10,Oklahoma
110,4,Israel Mukuamu,South Carolina,CB,Cleveland (Trade),-1,8,2021-03-10,South Carolina
111,4,Dayo Odeyingbo,Vanderbilt,DL5T,Cincinnati,+1,8,2021-03-10,Tennessee
112,4,Marlon Tuipulotu,USC,DL3T,Detroit,-2,8,2021-03-10,California
113,4,Chris Rumph II,Duke,EDGE,Atlanta (SIM Trade),-8,8,2021-03-10,North Carolina
114,4,K.J. Britt,Auburn,ILB,Denver,-26,8,2021-03-10,Alabama
115,4,Tedarrell Slaton,Florida,DL1T,Dallas,-18,8,2021-03-10,Florida
116,4,Sage Surratt,Wake Forest,WR,NY Giants,+7,8,2021-03-10,North Carolina
117,4,Benjamin St-Juste,Minnesota,CB,San Francisco,-64,8,2021-03-10,Minnesota
118,4,Drake Jackson,Kentucky,OC,LA Chargers,+11,8,2021-03-10,Kentucky
119,4,Spencer K. Brown,Northern Iowa,OT,Minnesota,-29,8,2021-03-10,Iowa
120,4,Tony Poljan,Virginia,TE,New England,-2,8,2021-03-10,Virginia
