Pick,Round,Player,School,Position,Team,ReachValue,Points,Date,State
1,1,Trevor Lawrence,Clemson,QB,Jacksonville,+0,40,2020-12-30,South Carolina
2,1,Penei Sewell,Oregon,OT,NY Jets,+0,35,2020-12-30,Oregon
3,1,Micah Parsons,Penn State,ILB,Miami (Trade),-3,35,2020-12-30,Pennsylvania
4,1,Patrick Surtain II,Alabama,CB,Atlanta,-1,35,2020-12-30,Alabama
5,1,Ja'Marr Chase,LSU,WR,Cincinnati,+2,35,2020-12-30,Louisiana
6,1,DeVonta Smith,Alabama,WR,Philadelphia,-6,35,2020-12-30,Alabama
7,1,Jaylen Waddle,Alabama,WRS,Detroit,-1,35,2020-12-30,Alabama
8,1,Caleb Farley,Virginia Tech,CB,NY Giants,-1,35,2020-12-30,Virginia
9,1,Justin Fields,Ohio State,QB,Carolina,+5,35,2020-12-30,Ohio
10,1,Christian Barmore,Alabama,DL1T,Denver,-15,35,2020-12-30,Alabama
11,1,Trevon Moehrig,TCU,S,Dallas,-7,30,2020-12-30,Texas
12,1,Gregory Rousseau,Miami (FL),EDGE,LA Chargers,-3,30,2020-12-30,Florida
13,1,Trey Lance,North Dakota State,QB,Minnesota,-8,30,2020-12-30,North Dakota
14,1,Kyle Pitts,Florida,TE,New England,+4,30,2020-12-30,Florida
15,1,Zach Wilson,BYU,QB,San Francisco,+8,30,2020-12-30,Utah
16,1,Carlos Basham Jr.,Wake Forest,EDGE,Las Vegas,-9,30,2020-12-30,North Carolina
17,1,Jaycee Horn,South Carolina,CB,Arizona,+4,30,2020-12-30,South Carolina
18,1,Patrick Jones II,Pitt,EDGE,Indianapolis,-15,30,2020-12-30,Pennsylvania
19,1,Alex Leatherwood,Alabama,OT,Washington,+5,30,2020-12-30,Alabama
20,1,Kyle Trask,Florida,QB,Chicago,-12,30,2020-12-30,Florida
21,1,Samuel Cosmi,Texas,OT,Jacksonville (Trade),+2,25,2020-12-30,Texas
22,1,Jeremiah Owusu-Koramoah,Notre Dame,OLB,Cleveland,-5,25,2020-12-30,Indiana
23,1,Travis Etienne,Clemson,RB,Miami,+12,25,2020-12-30,South Carolina
24,1,Paris Ford,Pitt,S,Baltimore,-55,25,2020-12-30,Pennsylvania
25,1,Rashod Bateman,Minnesota,WR,Tennessee,-1,25,2020-12-30,Minnesota
26,1,Daviyon Nixon,Iowa,DL3T,Tampa Bay,-3,25,2020-12-30,Iowa
27,1,Wyatt Davis,Ohio State,OG,NY Jets (Trade),+10,25,2020-12-30,Ohio
28,1,Christian Darrisaw,Virginia Tech,OT,Pittsburgh,+5,25,2020-12-30,Virginia
29,1,Nick Bolton,Missouri,ILB,New Orleans,-5,25,2020-12-30,Missouri
30,1,Tyson Campbell,Georgia,CB,Buffalo,-7,25,2020-12-30,Georgia
31,1,Derion Kendrick,Clemson,CB,Green Bay,-10,25,2020-12-30,South Carolina
32,1,Creed Humphrey,Oklahoma,OC,Kansas City,+10,25,2020-12-30,Oklahoma
33,2,Ben Cleveland,Georgia,OG,Jacksonville,-21,20,2020-12-30,Georgia
34,2,Asante Samuel Jr.,Florida State,CB,NY Jets,+6,20,2020-12-30,Florida
35,2,Andre Cisco,Syracuse,S,Miami (Trade),+5,20,2020-12-30,New York
36,2,Kwity Paye,Michigan,DL5T,Atlanta,+12,20,2020-12-30,Michigan
37,2,Dylan Moses,Alabama,OLB,Cincinnati,+6,20,2020-12-30,Alabama
38,2,Rashawn Slater,Northwestern,OT,Philadelphia,-50,20,2020-12-30,Illinois
39,2,Joseph Ossai,Texas,EDGE,Detroit,-7,20,2020-12-30,Texas
40,2,Hamilcar Rashed,Oregon State,EDGE,NY Giants,-10,20,2020-12-30,Oregon
41,2,Hunter Long,Boston College,TE,Carolina,+3,20,2020-12-30,Massachusetts
42,2,Walker Little,Stanford,OT,Denver,+2,20,2020-12-30,California
43,2,Marvin Wilson,Florida State,DL1T,Dallas,-5,20,2020-12-30,Florida
44,2,Trey Smith,Tennessee,OG,LA Chargers,+0,20,2020-12-30,Tennessee
45,2,Jay Tufele,USC,DL3T,Jacksonville (Trade),+6,20,2020-12-30,California
46,2,Jordan Davis,Georgia,DL1T,New England,-57,20,2020-12-30,Georgia
47,2,Jayson Oweh,Penn State,EDGE,San Francisco,-22,20,2020-12-30,Pennsylvania
48,2,Terrace Marshall,LSU,WR,Las Vegas,+6,20,2020-12-30,Louisiana
