Pick,Round,Player,School,Position,Team,ReachValue,Points,Date,State
1,1,Trevor Lawrence,Clemson,QB,Jacksonville,+0,40,2021-03-18,South Carolina
2,1,Zach Wilson,BYU,QB,NY Jets,-2,35,2021-03-18,Utah
3,1,Justin Fields,Ohio State,QB,Carolina (SIM Trade),-2,35,2021-03-18,Ohio
4,1,Trey Lance,North Dakota State,QB,New England (SIM Trade),-7,35,2021-03-18,North Dakota
5,1,Penei Sewell,Oregon,OT,Cincinnati,+3,35,2021-03-18,Oregon
6,1,Kyle Pitts,Florida,TE,Philadelphia,-1,35,2021-03-18,Florida
7,1,DeVonta Smith,Alabama,WR,Detroit,-3,35,2021-03-18,Alabama
8,1,Ja'Marr Chase,LSU,WR,Miami (SIM Trade),+5,35,2021-03-18,Louisiana
9,1,Micah Parsons,Penn State,ILB,Denver,-5,35,2021-03-18,Pennsylvania
10,1,Caleb Farley,Virginia Tech,CB,Dallas,+2,35,2021-03-18,Virginia
11,1,Jaylen Waddle,Alabama,WRS,NY Giants,+5,30,2021-03-18,Alabama
12,1,Jaycee Horn,South Carolina,CB,San Francisco,-3,30,2021-03-18,South Carolina
13,1,Patrick Surtain II,Alabama,CB,LA Chargers,+4,30,2021-03-18,Alabama
14,1,Gregory Rousseau,Miami (FL),EDGE,Minnesota,+1,30,2021-03-18,Florida
15,1,Kwity Paye,Michigan,EDGE,Atlanta (SIM Trade),-4,30,2021-03-18,Michigan
16,1,Greg Newsome II,Northwestern,CB,Arizona,-12,30,2021-03-18,Illinois
17,1,Christian Darrisaw,Virginia Tech,OT,Las Vegas,-4,30,2021-03-18,Virginia
18,1,Rashawn Slater,Northwestern,OT,Miami,+6,30,2021-03-18,Illinois
19,1,Rashod Bateman,Minnesota,WR,Washington,-1,30,2021-03-18,Minnesota
20,1,Mac Jones,Alabama,QB,Chicago,-6,30,2021-03-18,Alabama
21,1,Samuel Cosmi,Texas,OT,Indianapolis,-1,25,2021-03-18,Texas
22,1,Rondale Moore,Purdue,WRS,Tennessee,+4,25,2021-03-18,Indiana
23,1,Wyatt Davis,Ohio State,OG,NY Jets (Trade),+7,25,2021-03-18,Ohio
24,1,Zaven Collins,Tulsa,OLB,Pittsburgh,-13,25,2021-03-18,Oklahoma
25,1,Christian Barmore,Alabama,DL1T,Jacksonville (Trade),+8,25,2021-03-18,Alabama
