Pick,Round,Player,School,Position,Team,ReachValue,Points,Date,State
1,1,Trevor Lawrence,Clemson,QB,Jacksonville,+0,40,2021-03-03,South Carolina
2,1,Zach Wilson,BYU,QB,NY Jets,-2,35,2021-03-03,Utah
3,1,Justin Fields,Ohio State,QB,Carolina,-2,35,2021-03-03,Ohio
4,1,Penei Sewell,Oregon,OT,Atlanta,+2,35,2021-03-03,Oregon
5,1,Ja'Marr Chase,LSU,WR,Cincinnati,+2,35,2021-03-03,Louisiana
6,1,Jaylen Waddle,Alabama,WR,Philadelphia,+0,35,2021-03-03,Alabama
7,1,DeVonta Smith,Alabama,WR,Detroit,-3,35,2021-03-03,Alabama
8,1,Rashawn Slater,Northwestern,OT,Miami (SIM Trade),-5,35,2021-03-03,Illinois
9,1,Caleb Farley,Virginia Tech,CB,Denver,+1,35,2021-03-03,Virginia
10,1,Jaycee Horn,South Carolina,CB,Dallas,-5,35,2021-03-03,South Carolina
11,1,Trey Lance,North Dakota State,QB,Washington (SIM Trade),+0,30,2021-03-03,North Dakota
12,1,Patrick Surtain II,Alabama,CB,San Francisco,+3,30,2021-03-03,Alabama
13,1,Gregory Rousseau,Miami (FL),EDGE,LA Chargers,+1,30,2021-03-03,Florida
14,1,Kwity Paye,Michigan,EDGE,Minnesota,-6,30,2021-03-03,Michigan
15,1,Mac Jones,Alabama,QB,New England,-11,30,2021-03-03,Alabama
16,1,Kyle Pitts,Florida,TE,Arizona,+9,30,2021-03-03,Florida
17,1,Micah Parsons,Penn State,ILB,Las Vegas,+3,30,2021-03-03,Pennsylvania
18,1,Rondale Moore,Purdue,WRS,Miami,-1,30,2021-03-03,Indiana
19,1,Christian Barmore,Alabama,DL3T,NY Giants (SIM Trade),+1,30,2021-03-03,Alabama
20,1,Christian Darrisaw,Virginia Tech,OT,Chicago,-3,30,2021-03-03,Virginia
21,1,Samuel Cosmi,Texas,OT,Indianapolis,-3,25,2021-03-03,Texas
22,1,Azeez Ojulari,Georgia,EDGE,Tennessee,-8,25,2021-03-03,Georgia
23,1,Wyatt Davis,Ohio State,OG,NY Jets,+7,25,2021-03-03,Ohio
24,1,Alex Leatherwood,Alabama,OT,Pittsburgh,-13,25,2021-03-03,Alabama
25,1,Rashod Bateman,Minnesota,WR,Jacksonville (Trade),+3,25,2021-03-03,Minnesota
26,1,Jayson Oweh,Penn State,EDGE,Cleveland,-24,25,2021-03-03,Pennsylvania
27,1,Alijah Vera-Tucker,USC,OG,Baltimore,-5,25,2021-03-03,California
28,1,Nick Bolton,Missouri,ILB,New Orleans,-3,25,2021-03-03,Missouri
29,1,Asante Samuel Jr.,Florida State,CB,Green Bay,+8,25,2021-03-03,Florida
30,1,Najee Harris,Alabama,RB,Buffalo,-3,25,2021-03-03,Alabama
31,1,Creed Humphrey,Oklahoma,OC,Kansas City,-10,25,2021-03-03,Oklahoma
32,1,Daviyon Nixon,Iowa,DL3T,Tampa Bay,+5,25,2021-03-03,Iowa
33,2,Jalen Mayfield,Michigan,OT,Jacksonville,-12,20,2021-03-03,Michigan
34,2,Joseph Ossai,Texas,EDGE,NY Jets,-2,20,2021-03-03,Texas
35,2,Trevon Moehrig,TCU,S,Atlanta,+18,20,2021-03-03,Texas
36,2,Zaven Collins,Tulsa,OLB,Miami (Trade),+1,20,2021-03-03,Oklahoma
37,2,Jaelan Phillips,Miami (FL),EDGE,Philadelphia,-10,20,2021-03-03,Florida
38,2,Richie Grant,UCF,S,Cincinnati,+10,20,2021-03-03,Florida
39,2,Andre Cisco,Syracuse,S,Carolina,-5,20,2021-03-03,New York
40,2,Jeremiah Owusu-Koramoah,Notre Dame,OLB,Denver,+11,20,2021-03-03,Indiana
41,2,Jay Tufele,USC,DL3T,Detroit,-2,20,2021-03-03,California
42,2,Terrace Marshall,LSU,WR,NY Giants,+8,20,2021-03-03,Louisiana
43,2,Kyle Trask,Florida,QB,San Francisco,+3,20,2021-03-03,Florida
44,2,Carlos Basham Jr.,Wake Forest,DL5T,Dallas,-9,20,2021-03-03,North Carolina
45,2,Alim McNeill,NC State,DL3T,Jacksonville (Trade),-18,20,2021-03-03,North Carolina
46,2,Trey Smith,Tennessee,OG,New England,+7,20,2021-03-03,Tennessee
47,2,Kadarius Toney,Florida,WR,LA Chargers,+9,20,2021-03-03,Florida
48,2,Jevon Holland,Oregon,S,Las Vegas,-11,20,2021-03-03,Oregon
49,2,Elijah Molden,Washington,S,Arizona,-7,15,2021-03-03,Washington
50,2,Travis Etienne,Clemson,RB,Miami,+25,15,2021-03-03,South Carolina
51,2,Tyson Campbell,Georgia,CB,Washington,+9,15,2021-03-03,Georgia
52,2,Tylan Wallace,Oklahoma State,WR,Chicago,+0,15,2021-03-03,Oklahoma
53,2,Jackson Carman,Clemson,OT,Tennessee,-18,15,2021-03-03,South Carolina
54,2,Ben Cleveland,Georgia,OG,Indianapolis,-4,15,2021-03-03,Georgia
55,2,Landon Dickerson,Alabama,OC,Pittsburgh,-5,15,2021-03-03,Alabama
56,2,Greg Newsome II,Northwestern,CB,Seattle,+5,15,2021-03-03,Illinois
57,2,Liam Eichenberg,Notre Dame,OT,LA Rams,-20,15,2021-03-03,Indiana
58,2,Josh Myers,Ohio State,OC,Baltimore,-18,15,2021-03-03,Ohio
59,2,Hamsah Nasirildeen,Florida State,S,Cleveland,-5,15,2021-03-03,Florida
60,2,Marvin Wilson,Florida State,DL1T,New Orleans,+14,15,2021-03-03,Florida
61,2,Pat Freiermuth,Penn State,TE,Buffalo,+12,15,2021-03-03,Pennsylvania
62,2,Jabril Cox,LSU,OLB,Green Bay,+8,15,2021-03-03,Louisiana
63,2,Brevin Jordan,Miami (FL),TE,Kansas City,-22,15,2021-03-03,Florida
64,2,Patrick Jones II,Pitt,EDGE,Tampa Bay,-3,15,2021-03-03,Pennsylvania
102,3,Michael Carter,North Carolina,RBC,Jacksonville,+21,10,2021-03-03,North Carolina
103,3,Hunter Long,Boston College,TE,NY Jets,-9,10,2021-03-03,Massachusetts
104,4,Chuba Hubbard,Oklahoma State,RB,Atlanta,+15,8,2021-03-03,Oklahoma
105,4,Kenny Yeboah,Ole Miss,TE,Houston,-8,8,2021-03-03,Mississippi
106,4,Aaron Robinson,UCF,CB,Cleveland (Trade),+1,8,2021-03-03,Florida
107,4,Darius Stills,West Virginia,DL5T,Cincinnati,+37,8,2021-03-03,West Virginia
108,4,Jaelon Darden,North Texas,WRS,Detroit,+15,8,2021-03-03,Texas
109,4,Drake Jackson,Kentucky,OC,Miami (SIM Trade),+2,8,2021-03-03,Kentucky
110,4,K.J. Britt,Auburn,ILB,Denver,-30,8,2021-03-03,Alabama
111,4,Richard LeCounte III,Georgia,S,Dallas,+8,8,2021-03-03,Georgia
112,4,Trey Hill,Georgia,OC,NY Giants,-11,8,2021-03-03,Georgia
113,4,Damonte Coxie,Memphis,WR,San Francisco,+9,8,2021-03-03,Tennessee
114,4,Aaron Banks,Notre Dame,OG,LA Chargers,-5,8,2021-03-03,Indiana
115,4,Spencer K. Brown,Northern Iowa,OT,Minnesota,-33,8,2021-03-03,Iowa
116,4,Tony Poljan,Virginia,TE,New England,-6,8,2021-03-03,Virginia
117,4,Chris Rumph II,Duke,EDGE,Las Vegas (Trade),-4,8,2021-03-03,North Carolina
118,4,Jaret Patterson,Buffalo,RB,Houston (Trade),+12,8,2021-03-03,New York
119,4,Tedarrell Slaton,Florida,DL1T,Miami,-14,8,2021-03-03,Florida
120,4,Marlon Williams,UCF,WR,Washington,+12,8,2021-03-03,Florida
121,4,Israel Mukuamu,South Carolina,CB,Minnesota (Trade),+10,8,2021-03-03,South Carolina
122,4,Cary Angeline,NC State,TE,Tennessee,-2,8,2021-03-03,North Carolina
123,4,Tutu Atwell,Louisville,WRS,Indianapolis,+26,8,2021-03-03,Kentucky
124,4,Rodarius Williams,Oklahoma State,CB,Pittsburgh,-5,8,2021-03-03,Oklahoma
125,4,Jack Anderson,Texas Tech,OG,Seattle,-29,8,2021-03-03,Texas
126,4,Divine Deablo,Virginia Tech,S,Jacksonville (Trade),+11,8,2021-03-03,Virginia
127,4,Jordan Smith,UAB,EDGE,Baltimore,-25,8,2021-03-03,Alabama
128,4,Paddy Fisher,Northwestern,ILB,Cleveland,-16,8,2021-03-03,Illinois
129,4,Kellen Mond,Texas A&M,QB,New Orleans,-14,8,2021-03-03,Texas
130,4,Caden Sterns,Texas,S,Minnesota (Trade),+2,8,2021-03-03,Texas
131,4,Amari Rodgers,Clemson,WR,Green Bay,-14,8,2021-03-03,South Carolina
132,4,Sage Surratt,Wake Forest,WR,Kansas City,+23,8,2021-03-03,North Carolina
133,4,Dayo Odeyingbo,Vanderbilt,DL5T,Tampa Bay,+23,8,2021-03-03,Tennessee
134,4,Marlon Tuipulotu,USC,DL3T,Dallas (Comp),+20,8,2021-03-03,California
135,4,Bobby Brown III,Texas A&M,DL1T,New England (Comp),-20,8,2021-03-03,Texas
136,4,Ar'Darius Washington,TCU,S,LA Rams (Comp),+18,8,2021-03-03,Texas
137,4,Ihmir Smith-Marsette,Iowa,WR,Pittsburgh (Comp),+12,8,2021-03-03,Iowa
138,4,Kylin Hill,Mississippi State,RB,Green Bay (Comp),+12,8,2021-03-03,Mississippi
139,4,Sam Ehlinger,Texas,QB,Minnesota (Comp),-29,8,2021-03-03,Texas
140,4,Wyatt Hubert,Kansas State,EDGE,Kansas City (Comp),-18,8,2021-03-03,Kansas
141,4,Shi Smith,South Carolina,WRS,New England (Comp),-62,8,2021-03-03,South Carolina
142,4,Kylen Granson,SMU,TE,Jacksonville,+0,8,2021-03-03,Texas
143,4,Damon Hazelton,Missouri,WR,NY Jets,+6,8,2021-03-03,Missouri
144,4,Tommy Kraemer,Notre Dame,OG,Houston,-19,8,2021-03-03,Indiana
145,4,Keith Taylor,Washington,CB,Atlanta,+14,8,2021-03-03,Washington
146,4,Olaijah Griffin,USC,CB,Cincinnati,+11,8,2021-03-03,California
147,5,Khalil Herbert,Virginia Tech,RBC,Philadelphia,+31,7,2021-03-03,Virginia
148,5,Darren Hall,San Diego State,CB,Carolina,-8,7,2021-03-03,California
149,5,Elijah Mitchell,Louisiana-Lafayette,RB,Denver,+17,7,2021-03-03,Louisiana
150,5,Tariq Thompson,San Diego State,S,Detroit,+12,7,2021-03-03,California
151,5,Jimmy Morrissey,Pitt,OC,NY Jets (Trade),-16,7,2021-03-03,Pennsylvania
152,5,Ta'Quon Graham,Texas,DL3T,San Francisco,+13,7,2021-03-03,Texas
153,5,Jamien Sherwood,Auburn,S,Philadelphia (Trade),+7,7,2021-03-03,Alabama
154,5,Jonathan Marshall,Arkansas,DL1T,Minnesota,-23,7,2021-03-03,Arkansas
155,5,Tommy Togiai,Ohio State,DL3T,New England,+5,7,2021-03-03,Ohio
156,5,Jose Borregales,Miami (FL),PK,LA Chargers,-17,7,2021-03-03,Florida
157,5,Thomas Graham Jr.,Oregon,CB,Arizona,-2,7,2021-03-03,Oregon
158,5,JaCoby Stevens,LSU,S,Buffalo (Trade),+7,7,2021-03-03,Louisiana
159,5,Nico Collins,Michigan,WR,Las Vegas (Trade),+10,7,2021-03-03,Michigan
160,5,Monty Rice,Georgia,OLB,Washington,+19,7,2021-03-03,Georgia
161,5,Shane Buechele,SMU,QB,Chicago,-17,7,2021-03-03,Texas
162,5,Daelin Hayes,Notre Dame,EDGE,Indianapolis,+0,7,2021-03-03,Indiana
163,5,Sadarius Hutcherson,South Carolina,OG,Tennessee,-6,7,2021-03-03,South Carolina
164,5,Alaric Jackson,Iowa,OT,Seattle,-10,7,2021-03-03,Iowa
165,5,Xavier Kelly,Arkansas,DL3T,Minnesota (Trade),-19,7,2021-03-03,Arkansas
166,5,Brady White,Memphis,QB,Cleveland (Trade),-38,7,2021-03-03,Tennessee
167,5,Khyiris Tonga,BYU,DL1T,Jacksonville (Trade),-43,7,2021-03-03,Utah
168,5,Tyler Vaughns,USC,WR,Baltimore,+15,7,2021-03-03,California
169,5,Donovan Stiner,Florida,S,San Francisco (Trade),+12,7,2021-03-03,Florida
170,5,Osa Odighizuwa,UCLA,DL5T,Green Bay,-41,7,2021-03-03,California
171,5,Tommy Doyle,Miami (OH),OT,Buffalo,-5,7,2021-03-03,Ohio
172,5,James Hudson,Cincinnati,OT,Kansas City,-8,7,2021-03-03,Ohio
173,5,Jamin Davis,Kentucky,ILB,Tampa Bay,-20,7,2021-03-03,Kentucky
174,5,Tommy Tremble,Notre Dame,TE,Green Bay (Comp),-33,7,2021-03-03,Indiana
175,5,Shemar Jean-Charles,Appalachian State,CB,Dallas (Comp),+15,7,2021-03-03,North Carolina
176,5,Marco Wilson,Florida,CB,Kansas City (Comp),+12,7,2021-03-03,Florida
