Pick,Round,Player,School,Position,Team,ReachValue,Points,Date,State
1,1,Trevor Lawrence,Clemson,QB,Jacksonville,+0,40,2021-04-21,South Carolina
2,1,Zach Wilson,BYU,QB,NY Jets,-2,35,2021-04-21,Utah
3,1,Justin Fields,Ohio State,QB,San Francisco (Trade),-3,35,2021-04-21,Ohio
4,1,Penei Sewell,Oregon,OT,Jacksonville (SIM Trade),+2,35,2021-04-21,Oregon
5,1,Kyle Pitts,Florida,TE,Cincinnati,+0,35,2021-04-21,Florida
6,1,Ja'Marr Chase,LSU,WR,Miami (Trade),+3,35,2021-04-21,Louisiana
7,1,DeVonta Smith,Alabama,WR,Detroit,-2,35,2021-04-21,Alabama
8,1,Rashawn Slater,Northwestern,OT,Carolina,-3,35,2021-04-21,Illinois
9,1,Micah Parsons,Penn State,ILB,Denver,-3,35,2021-04-21,Pennsylvania
10,1,Mac Jones,Alabama,QB,New England (SIM Trade),-5,35,2021-04-21,Alabama
11,1,Jaylen Waddle,Alabama,WRS,NY Giants,+4,30,2021-04-21,Alabama
12,1,Patrick Surtain II,Alabama,CB,Philadelphia (Trade),+4,30,2021-04-21,Alabama
13,1,Trey Lance,North Dakota State,QB,Chicago (SIM Trade),+3,30,2021-04-21,North Dakota
14,1,Alex Leatherwood,Alabama,OT,Minnesota,-14,30,2021-04-21,Alabama
15,1,Jaycee Horn,South Carolina,CB,Dallas (SIM Trade),+2,30,2021-04-21,South Carolina
16,1,Tyson Campbell,Georgia,CB,Arizona,-31,30,2021-04-21,Georgia
17,1,Trevon Moehrig,TCU,S,Las Vegas,+1,30,2021-04-21,Texas
18,1,Christian Darrisaw,Virginia Tech,OT,Miami,+4,30,2021-04-21,Virginia
19,1,Jaelan Phillips,Miami (FL),EDGE,Kansas City (SIM Trade),+2,30,2021-04-21,Florida
20,1,Alijah Vera-Tucker,USC,OT,LA Chargers (SIM Trade),+0,30,2021-04-21,California
21,1,Samuel Cosmi,Texas,OT,Indianapolis,-4,25,2021-04-21,Texas
22,1,Rashod Bateman,Minnesota,WR,Tennessee,+0,25,2021-04-21,Minnesota
23,1,Wyatt Davis,Ohio State,OG,NY Jets (Trade),-7,25,2021-04-21,Ohio
24,1,Travis Etienne,Clemson,RB,Pittsburgh,-2,25,2021-04-21,South Carolina
25,1,Kwity Paye,Michigan,EDGE,Atlanta (SIM Trade),+7,25,2021-04-21,Michigan
26,1,Gregory Rousseau,Miami (FL),EDGE,Cleveland,-10,25,2021-04-21,Florida
27,1,Richie Grant,UCF,S,Baltimore,-5,25,2021-04-21,Florida
28,1,Asante Samuel Jr.,Florida State,CB,New Orleans,+5,25,2021-04-21,Florida
29,1,Jeremiah Owusu-Koramoah,Notre Dame,OLB,Green Bay,+2,25,2021-04-21,Indiana
30,1,Christian Barmore,Alabama,DL3T,Buffalo,+9,25,2021-04-21,Alabama
31,1,Teven Jenkins,Oklahoma State,OT,Washington (SIM Trade),-2,25,2021-04-21,Oklahoma
32,1,Azeez Ojulari,Georgia,EDGE,Tampa Bay,+13,25,2021-04-21,Georgia
33,2,Caleb Farley,Virginia Tech,CB,Atlanta (SIM Trade),+2,20,2021-04-21,Virginia
34,2,Greg Newsome II,Northwestern,CB,NY Jets,+10,20,2021-04-21,Illinois
35,2,Najee Harris,Alabama,RB,Atlanta,-6,20,2021-04-21,Alabama
36,2,Zaven Collins,Tulsa,OLB,Miami (Trade),+2,20,2021-04-21,Oklahoma
37,2,Terrace Marshall,LSU,WR,Philadelphia,+0,20,2021-04-21,Louisiana
38,2,Jalen Mayfield,Michigan,OT,Cincinnati,-1,20,2021-04-21,Michigan
