Pick,Round,Player,School,Position,Team,ReachValue,Points,Date,State
1,1,Trevor Lawrence,Clemson,QB,NY Jets,+0,40,2020-11-18,South Carolina
2,1,Justin Fields,Ohio State,QB,Jacksonville,+0,35,2020-11-18,Ohio
3,1,Gregory Rousseau,Miami (FL),EDGE,Dallas,-2,35,2020-11-18,Florida
4,1,Penei Sewell,Oregon,OT,Miami (Trade),+0,35,2020-11-18,Oregon
5,1,Ja'Marr Chase,LSU,WR,Washington,+2,35,2020-11-18,Louisiana
6,1,Patrick Surtain II,Alabama,CB,LA Chargers,+0,35,2020-11-18,Alabama
7,1,Caleb Farley,Virginia Tech,CB,Cincinnati,+0,35,2020-11-18,Virginia
8,1,Micah Parsons,Penn State,ILB,Denver,+0,35,2020-11-18,Pennsylvania
9,1,Alex Leatherwood,Alabama,OT,NY Giants,-1,35,2020-11-18,Alabama
10,1,Hamsah Nasirildeen,Florida State,S,Atlanta,-5,35,2020-11-18,Florida
11,1,Kyle Pitts,Florida,TE,Carolina,-2,30,2020-11-18,Florida
12,1,Shaun Wade,Ohio State,CB,Philadelphia,-16,30,2020-11-18,Ohio
13,1,Rondale Moore,Purdue,WRS,Minnesota,+4,30,2020-11-18,Indiana
14,1,Marvin Wilson,Florida State,DL3T,Detroit,+2,30,2020-11-18,Florida
15,1,Zach Wilson,BYU,QB,San Francisco,-24,30,2020-11-18,Utah
16,1,Wyatt Davis,Ohio State,OG,New England,-10,30,2020-11-18,Ohio
17,1,DeVonta Smith,Alabama,WR,Chicago,+6,30,2020-11-18,Alabama
18,1,Jayson Oweh,Penn State,EDGE,Cleveland,-13,30,2020-11-18,Pennsylvania
19,1,Jevon Holland,Oregon,S,Las Vegas,+1,30,2020-11-18,Oregon
20,1,Rashod Bateman,Minnesota,WR,Tennessee,+4,30,2020-11-18,Minnesota
21,1,Carlos Basham Jr.,Wake Forest,DL5T,Miami,+1,25,2020-11-18,North Carolina
22,1,Tyson Campbell,Georgia,CB,NY Jets (Trade),+5,25,2020-11-18,Georgia
23,1,Paulson Adebo,Stanford,CB,Jacksonville (Trade),-7,25,2020-11-18,California
24,1,Quincy Roche,Miami (FL),EDGE,Indianapolis,+3,25,2020-11-18,Florida
25,1,Creed Humphrey,Oklahoma,OC,Baltimore,+1,25,2020-11-18,Oklahoma
26,1,Asante Samuel Jr.,Florida State,CB,Arizona,-18,25,2020-11-18,Florida
27,1,Dylan Moses,Alabama,OLB,Buffalo,+8,25,2020-11-18,Alabama
28,1,Walker Little,Stanford,OT,Tampa Bay,+6,25,2020-11-18,California
29,1,Christian Barmore,Alabama,DL3T,Green Bay,-5,25,2020-11-18,Alabama
30,1,Terrace Marshall,LSU,WR,New Orleans,+3,25,2020-11-18,Louisiana
31,1,Samuel Cosmi,Texas,OT,Kansas City,+2,25,2020-11-18,Texas
32,1,Jalen Mayfield,Michigan,OT,Pittsburgh,-15,25,2020-11-18,Michigan
33,2,Travis Etienne,Clemson,RB,NY Jets,+19,20,2020-11-18,South Carolina
34,2,Najee Harris,Alabama,RB,Jacksonville,+2,20,2020-11-18,Alabama
35,2,Paris Ford,Pitt,S,Dallas,+10,20,2020-11-18,Pennsylvania
