Pick,Round,Player,School,Position,Team,ReachValue,Points,Date,State
1,1,Trevor Lawrence,Clemson,QB,Jacksonville,+0,40,2021-01-31,South Carolina
2,1,Penei Sewell,Oregon,OT,NY Jets,+0,35,2021-01-31,Oregon
3,1,Ja'Marr Chase,LSU,WR,Miami (Trade),+0,35,2021-01-31,Louisiana
4,1,Justin Fields,Ohio State,QB,Minnesota (SIM Trade),+0,35,2021-01-31,Ohio
5,1,Patrick Surtain II,Alabama,CB,Cincinnati,-1,35,2021-01-31,Alabama
6,1,Zach Wilson,BYU,QB,Philadelphia,+1,35,2021-01-31,Utah
7,1,Trey Lance,North Dakota State,QB,Detroit,-5,35,2021-01-31,North Dakota
8,1,Micah Parsons,Penn State,ILB,Carolina,+1,35,2021-01-31,Pennsylvania
9,1,Caleb Farley,Virginia Tech,CB,Denver,+0,35,2021-01-31,Virginia
10,1,Jaycee Horn,South Carolina,CB,Dallas,-4,35,2021-01-31,South Carolina
11,1,DeVonta Smith,Alabama,WR,NY Giants,+0,30,2021-01-31,Alabama
12,1,Kyle Pitts,Florida,TE,San Francisco,+2,30,2021-01-31,Florida
13,1,Gregory Rousseau,Miami (FL),EDGE,LA Chargers,+0,30,2021-01-31,Florida
14,1,Kwity Paye,Michigan,DL5T,Atlanta (SIM Trade),-2,30,2021-01-31,Michigan
15,1,Christian Barmore,Alabama,DL3T,New England,-5,30,2021-01-31,Alabama
16,1,Patrick Jones II,Pitt,EDGE,Arizona,-16,30,2021-01-31,Pennsylvania
17,1,Daviyon Nixon,Iowa,DL3T,Las Vegas,-8,30,2021-01-31,Iowa
18,1,Rashawn Slater,Northwestern,OT,Miami,-5,30,2021-01-31,Illinois
19,1,Trevon Moehrig,TCU,S,Washington,+1,30,2021-01-31,Texas
20,1,Mac Jones,Alabama,QB,Chicago,-9,30,2021-01-31,Alabama
21,1,Kyle Trask,Florida,QB,Indianapolis,-14,25,2021-01-31,Florida
22,1,Wyatt Davis,Ohio State,OG,Tennessee,+5,25,2021-01-31,Ohio
23,1,Asante Samuel Jr.,Florida State,CB,NY Jets (Trade),-1,25,2021-01-31,Florida
24,1,Christian Darrisaw,Virginia Tech,OT,Pittsburgh,+9,25,2021-01-31,Virginia
25,1,Samuel Cosmi,Texas,OT,Jacksonville (Trade),+6,25,2021-01-31,Texas
26,1,Jeremiah Owusu-Koramoah,Notre Dame,OLB,Cleveland,+4,25,2021-01-31,Indiana
27,1,Alex Leatherwood,Alabama,OT,Baltimore,-3,25,2021-01-31,Alabama
28,1,Rashod Bateman,Minnesota,WR,New Orleans,+2,25,2021-01-31,Minnesota
29,1,Jaylen Waddle,Alabama,WRS,Green Bay,+21,25,2021-01-31,Alabama
30,1,Najee Harris,Alabama,RB,Buffalo,-4,25,2021-01-31,Alabama
31,1,Jay Tufele,USC,DL3T,Tampa Bay,-11,25,2021-01-31,California
32,1,Nick Bolton,Missouri,OLB,Kansas City,-1,25,2021-01-31,Missouri
33,2,Terrace Marshall,LSU,WR,Jacksonville,-3,20,2021-01-31,Louisiana
34,2,Carlos Basham Jr.,Wake Forest,EDGE,NY Jets,-3,20,2021-01-31,North Carolina
35,2,Travis Etienne,Clemson,RB,Atlanta,+8,20,2021-01-31,South Carolina
36,2,Zaven Collins,Tulsa,EDGE,Miami (Trade),-1,20,2021-01-31,Oklahoma
37,2,Alijah Vera-Tucker,USC,OT,Philadelphia,-4,20,2021-01-31,California
38,2,Andre Cisco,Syracuse,S,Cincinnati,-5,20,2021-01-31,New York
39,2,Tyson Campbell,Georgia,CB,Carolina,-1,20,2021-01-31,Georgia
40,2,Shaun Wade,Ohio State,CB,Denver,-26,20,2021-01-31,Ohio
41,2,Rondale Moore,Purdue,WRS,Detroit,+20,20,2021-01-31,Indiana
42,2,Joseph Ossai,Texas,EDGE,NY Giants,-2,20,2021-01-31,Texas
43,2,Quincy Roche,Miami (FL),EDGE,San Francisco,-2,20,2021-01-31,Florida
44,2,Azeez Ojulari,Georgia,EDGE,Dallas,-12,20,2021-01-31,Georgia
45,2,Marvin Wilson,Florida State,DL3T,Jacksonville (Trade),-2,20,2021-01-31,Florida
46,2,Trey Smith,Tennessee,OG,New England,+8,20,2021-01-31,Tennessee
47,2,Jalen Mayfield,Michigan,OT,LA Chargers,-6,20,2021-01-31,Michigan
48,2,Seth Williams,Auburn,WR,Las Vegas,-15,20,2021-01-31,Alabama
49,2,Pat Freiermuth,Penn State,TE,Arizona,+0,15,2021-01-31,Pennsylvania
50,2,Tyler Shelvin,LSU,DL1T,Miami,-2,15,2021-01-31,Louisiana
51,2,Paulson Adebo,Stanford,CB,Washington,-17,15,2021-01-31,California
52,2,Elijah Moore,Ole Miss,WRS,Chicago,-5,15,2021-01-31,Mississippi
53,2,Joe Tryon,Washington,EDGE,Tennessee,-1,15,2021-01-31,Washington
54,2,Walker Little,Stanford,OT,Indianapolis,-13,15,2021-01-31,California
55,2,Creed Humphrey,Oklahoma,OC,Pittsburgh,+16,15,2021-01-31,Oklahoma
