Pick,Round,Player,School,Position,Team,ReachValue,Points,Date,State
1,1,Trevor Lawrence,Clemson,QB,Jacksonville,+0,40,2021-01-08,South Carolina
2,1,Penei Sewell,Oregon,OT,NY Jets,+0,35,2021-01-08,Oregon
3,1,Micah Parsons,Penn State,ILB,Miami (Trade),-3,35,2021-01-08,Pennsylvania
4,1,Patrick Surtain II,Alabama,CB,Atlanta,-1,35,2021-01-08,Alabama
5,1,Ja'Marr Chase,LSU,WR,Cincinnati,+2,35,2021-01-08,Louisiana
6,1,DeVonta Smith,Alabama,WR,Philadelphia,-6,35,2021-01-08,Alabama
7,1,Jaylen Waddle,Alabama,WRS,Detroit,-1,35,2021-01-08,Alabama
8,1,Justin Fields,Ohio State,QB,Carolina,+4,35,2021-01-08,Ohio
9,1,Christian Barmore,Alabama,DL1T,Denver,-16,35,2021-01-08,Alabama
10,1,Trevon Moehrig,TCU,S,Dallas,-8,35,2021-01-08,Texas
11,1,Caleb Farley,Virginia Tech,CB,NY Giants,+2,30,2021-01-08,Virginia
12,1,Zach Wilson,BYU,QB,San Francisco,+5,30,2021-01-08,Utah
13,1,Gregory Rousseau,Miami (FL),EDGE,LA Chargers,-2,30,2021-01-08,Florida
14,1,Trey Lance,North Dakota State,QB,Minnesota,-7,30,2021-01-08,North Dakota
15,1,Kyle Pitts,Florida,TE,New England,+5,30,2021-01-08,Florida
16,1,Jaycee Horn,South Carolina,CB,Arizona,+3,30,2021-01-08,South Carolina
17,1,Carlos Basham Jr.,Wake Forest,EDGE,Las Vegas,-8,30,2021-01-08,North Carolina
18,1,Travis Etienne,Clemson,RB,Miami,+7,30,2021-01-08,South Carolina
19,1,Alex Leatherwood,Alabama,OT,Washington,+5,30,2021-01-08,Alabama
20,1,Kyle Trask,Florida,QB,Chicago,-12,30,2021-01-08,Florida
21,1,Samuel Cosmi,Texas,OT,Jacksonville (Trade),+2,25,2021-01-08,Texas
22,1,Patrick Jones II,Pitt,EDGE,Indianapolis,-11,25,2021-01-08,Pennsylvania
23,1,Jeremiah Owusu-Koramoah,Notre Dame,OLB,Cleveland,-4,25,2021-01-08,Indiana
24,1,Paris Ford,Pitt,S,Baltimore,-55,25,2021-01-08,Pennsylvania
25,1,Rashod Bateman,Minnesota,WR,Tennessee,-1,25,2021-01-08,Minnesota
26,1,Daviyon Nixon,Iowa,DL3T,Tampa Bay,-3,25,2021-01-08,Iowa
27,1,Wyatt Davis,Ohio State,OG,NY Jets (Trade),+10,25,2021-01-08,Ohio
28,1,Christian Darrisaw,Virginia Tech,OT,Pittsburgh,+5,25,2021-01-08,Virginia
29,1,Nick Bolton,Missouri,ILB,New Orleans,-5,25,2021-01-08,Missouri
30,1,Tyson Campbell,Georgia,CB,Buffalo,-7,25,2021-01-08,Georgia
31,1,Derion Kendrick,Clemson,CB,Green Bay,-10,25,2021-01-08,South Carolina
32,1,Creed Humphrey,Oklahoma,OC,Kansas City,+10,25,2021-01-08,Oklahoma
33,2,Ben Cleveland,Georgia,OG,Jacksonville,-22,20,2021-01-08,Georgia
34,2,Asante Samuel Jr.,Florida State,CB,NY Jets,+6,20,2021-01-08,Florida
35,2,Kwity Paye,Michigan,DL5T,Atlanta,+11,20,2021-01-08,Michigan
36,2,Andre Cisco,Syracuse,S,Miami (Trade),+6,20,2021-01-08,New York
37,2,Joseph Ossai,Texas,EDGE,Philadelphia,-9,20,2021-01-08,Texas
38,2,Dylan Moses,Alabama,OLB,Cincinnati,+7,20,2021-01-08,Alabama
39,2,Hunter Long,Boston College,TE,Carolina,+1,20,2021-01-08,Massachusetts
40,2,Walker Little,Stanford,OT,Denver,+0,20,2021-01-08,California
41,2,Hamilcar Rashed,Oregon State,EDGE,Detroit,-9,20,2021-01-08,Oregon
42,2,Quincy Roche,Miami (FL),EDGE,NY Giants,-11,20,2021-01-08,Florida
43,2,Rodarius Williams,Oklahoma State,CB,San Francisco,-13,20,2021-01-08,Oklahoma
44,2,Marvin Wilson,Florida State,DL1T,Dallas,-4,20,2021-01-08,Florida
45,2,Jay Tufele,USC,DL3T,Jacksonville (Trade),+6,20,2021-01-08,California
46,2,Seth Williams,Auburn,WR,New England,-5,20,2021-01-08,Alabama
47,2,Trey Smith,Tennessee,OG,LA Chargers,+3,20,2021-01-08,Tennessee
48,2,Terrace Marshall,LSU,WR,Las Vegas,+6,20,2021-01-08,Louisiana
49,2,Pat Freiermuth,Penn State,TE,Arizona,-8,15,2021-01-08,Pennsylvania
50,2,Tyler Shelvin,LSU,DL1T,Miami,-11,15,2021-01-08,Louisiana
51,2,Hamsah Nasirildeen,Florida State,S,Washington,+8,15,2021-01-08,Florida
52,2,Rondale Moore,Purdue,WRS,Chicago,+32,15,2021-01-08,Indiana
53,2,Jalen Mayfield,Michigan,OT,LA Rams,+8,15,2021-01-08,Michigan
54,2,Jayson Oweh,Penn State,EDGE,Cleveland,-17,15,2021-01-08,Pennsylvania
55,2,Jackson Carman,Clemson,OT,Indianapolis,+8,15,2021-01-08,South Carolina
56,2,Zaven Collins,Tulsa,OLB,Tennessee,+4,15,2021-01-08,Oklahoma
57,2,Chris Olave,Ohio State,WR,Tampa Bay,+8,15,2021-01-08,Ohio
58,2,Josh Myers,Ohio State,OC,Baltimore,+10,15,2021-01-08,Ohio
59,2,Najee Harris,Alabama,RB,Seattle,+24,15,2021-01-08,Alabama
60,2,Eric Stokes,Georgia,CB,Pittsburgh,-12,15,2021-01-08,Georgia
61,2,Sage Surratt,Wake Forest,WR,New Orleans,-5,15,2021-01-08,North Carolina
62,2,Chazz Surratt,North Carolina,OLB,Buffalo,+8,15,2021-01-08,North Carolina
63,2,Alim McNeill,NC State,DL1T,Green Bay,-5,15,2021-01-08,North Carolina
64,2,Tylan Wallace,Oklahoma State,WR,Kansas City,-9,15,2021-01-08,Oklahoma
65,3,Shaun Wade,Ohio State,CB,Jacksonville,+6,10,2021-01-08,Ohio
