Pick,Round,Player,School,Position,Team,ReachValue,Points,Date,State
1,1,Trevor Lawrence,Clemson,QB,Jacksonville,+0,40,2021-02-24,South Carolina
2,1,Zach Wilson,BYU,QB,Houston (SIM Trade),-2,35,2021-02-24,Utah
3,1,Ja'Marr Chase,LSU,WR,Miami (Trade),+0,35,2021-02-24,Louisiana
4,1,Justin Fields,Ohio State,QB,Carolina (SIM Trade),-1,35,2021-02-24,Ohio
5,1,Penei Sewell,Oregon,OT,Cincinnati,+3,35,2021-02-24,Oregon
6,1,DeVonta Smith,Alabama,WR,Philadelphia,-5,35,2021-02-24,Alabama
7,1,Jaylen Waddle,Alabama,WRS,Detroit,+0,35,2021-02-24,Alabama
8,1,Patrick Surtain II,Alabama,CB,Atlanta (SIM Trade),+2,35,2021-02-24,Alabama
9,1,Caleb Farley,Virginia Tech,CB,Denver,+1,35,2021-02-24,Virginia
10,1,Christian Barmore,Alabama,DL1T,Dallas,-9,35,2021-02-24,Alabama
11,1,Kyle Pitts,Florida,TE,NY Giants,+2,30,2021-02-24,Florida
12,1,Trey Lance,North Dakota State,QB,San Francisco,+0,30,2021-02-24,North Dakota
13,1,Gregory Rousseau,Miami (FL),EDGE,LA Chargers,-3,30,2021-02-24,Florida
14,1,Samuel Cosmi,Texas,OT,Minnesota,-10,30,2021-02-24,Texas
15,1,Mac Jones,Alabama,QB,New England,-12,30,2021-02-24,Alabama
16,1,Micah Parsons,Penn State,OLB,Arizona,+6,30,2021-02-24,Pennsylvania
17,1,Daviyon Nixon,Iowa,DL3T,Las Vegas,-11,30,2021-02-24,Iowa
18,1,Rashawn Slater,Northwestern,OT,Miami,+4,30,2021-02-24,Illinois
19,1,Jaycee Horn,South Carolina,CB,Washington,+6,30,2021-02-24,South Carolina
20,1,Wyatt Davis,Ohio State,OG,Chicago,+5,30,2021-02-24,Ohio
21,1,Christian Darrisaw,Virginia Tech,OT,Indianapolis,+3,25,2021-02-24,Virginia
22,1,Azeez Ojulari,Georgia,EDGE,Tennessee,-8,25,2021-02-24,Georgia
23,1,Kwity Paye,Michigan,EDGE,Houston (SIM Trade),+2,25,2021-02-24,Michigan
24,1,Alijah Vera-Tucker,USC,OG,Pittsburgh,-8,25,2021-02-24,California
25,1,Alex Leatherwood,Alabama,OT,Jacksonville (Trade),-13,25,2021-02-24,Alabama
26,1,Trevon Moehrig,TCU,S,Cleveland,+9,25,2021-02-24,Texas
27,1,Rashod Bateman,Minnesota,WR,Baltimore,+2,25,2021-02-24,Minnesota
28,1,Rondale Moore,Purdue,WRS,New Orleans,+8,25,2021-02-24,Indiana
29,1,Asante Samuel Jr.,Florida State,CB,Green Bay,+6,25,2021-02-24,Florida
30,1,Zaven Collins,Tulsa,OLB,Buffalo,-6,25,2021-02-24,Oklahoma
31,1,Carlos Basham Jr.,Wake Forest,EDGE,Kansas City,-20,25,2021-02-24,North Carolina
32,1,Nick Bolton,Missouri,ILB,Tampa Bay,+1,25,2021-02-24,Missouri
33,2,Ben Cleveland,Georgia,OG,Jacksonville,-24,20,2021-02-24,Georgia
34,2,Joseph Ossai,Texas,EDGE,NY Jets,-3,20,2021-02-24,Texas
35,2,Najee Harris,Alabama,RB,Atlanta,+2,20,2021-02-24,Alabama
36,2,Travis Etienne,Clemson,RB,Miami (Trade),+10,20,2021-02-24,South Carolina
37,2,Jayson Oweh,Penn State,EDGE,Philadelphia,-11,20,2021-02-24,Pennsylvania
38,2,Jeremiah Owusu-Koramoah,Notre Dame,OLB,Cincinnati,+16,20,2021-02-24,Indiana
39,2,Richie Grant,UCF,S,Carolina,+10,20,2021-02-24,Florida
40,2,Jaelan Phillips,Miami (FL),EDGE,Denver,-24,20,2021-02-24,Florida
41,2,Jay Tufele,USC,DL3T,Detroit,-1,20,2021-02-24,California
42,2,Terrace Marshall,LSU,WR,NY Giants,+7,20,2021-02-24,Louisiana
43,2,Tyson Campbell,Georgia,CB,San Francisco,+2,20,2021-02-24,Georgia
44,2,Andre Cisco,Syracuse,S,Dallas,+1,20,2021-02-24,New York
45,2,Alim McNeill,NC State,DL3T,Jacksonville (Trade),-17,20,2021-02-24,North Carolina
46,2,Trey Smith,Tennessee,OG,New England,+7,20,2021-02-24,Tennessee
47,2,Jalen Mayfield,Michigan,OT,LA Chargers,+3,20,2021-02-24,Michigan
48,2,Jevon Holland,Oregon,S,Las Vegas,-10,20,2021-02-24,Oregon
49,2,Creed Humphrey,Oklahoma,OC,Arizona,+9,15,2021-02-24,Oklahoma
50,2,Marvin Wilson,Florida State,DL1T,Miami,+5,15,2021-02-24,Florida
51,2,Dylan Moses,Alabama,OLB,Washington,+5,15,2021-02-24,Alabama
52,2,Kadarius Toney,Florida,WR,Chicago,-2,15,2021-02-24,Florida
53,2,Greg Newsome II,Northwestern,CB,Tennessee,+4,15,2021-02-24,Illinois
54,2,Tylan Wallace,Oklahoma State,WR,Indianapolis,+4,15,2021-02-24,Oklahoma
55,2,Landon Dickerson,Alabama,OC,Pittsburgh,-4,15,2021-02-24,Alabama
56,2,Elijah Molden,Washington,CB,Seattle,+1,15,2021-02-24,Washington
57,2,Liam Eichenberg,Notre Dame,OT,LA Rams,-20,15,2021-02-24,Indiana
58,2,Jaylen Twyman,Pitt,DL5T,Baltimore,-2,15,2021-02-24,Pennsylvania
59,2,Patrick Jones II,Pitt,EDGE,Cleveland,-8,15,2021-02-24,Pennsylvania
