Pick,Round,Player,School,Position,Team,ReachValue,Points,Date,State
1,1,Trevor Lawrence,Clemson,QB,Jacksonville,+0,40,2021-01-22,South Carolina
2,1,Penei Sewell,Oregon,OT,NY Jets,+0,35,2021-01-22,Oregon
3,1,Ja'Marr Chase,LSU,WR,Miami (Trade),+0,35,2021-01-22,Louisiana
4,1,Patrick Surtain II,Alabama,CB,Atlanta,-1,35,2021-01-22,Alabama
5,1,Micah Parsons,Penn State,ILB,Cincinnati,-1,35,2021-01-22,Pennsylvania
6,1,Zach Wilson,BYU,QB,Philadelphia,-1,35,2021-01-22,Utah
7,1,Justin Fields,Ohio State,QB,Detroit,+3,35,2021-01-22,Ohio
8,1,Trey Lance,North Dakota State,QB,Carolina,-6,35,2021-01-22,North Dakota
9,1,Caleb Farley,Virginia Tech,CB,Denver,+0,35,2021-01-22,Virginia
10,1,Jaycee Horn,South Carolina,CB,Dallas,-6,35,2021-01-22,South Carolina
11,1,DeVonta Smith,Alabama,WR,NY Giants,+0,30,2021-01-22,Alabama
12,1,Gregory Rousseau,Miami (FL),EDGE,San Francisco,-3,30,2021-01-22,Florida
13,1,Christian Darrisaw,Virginia Tech,OT,LA Chargers,-4,30,2021-01-22,Virginia
14,1,Wyatt Davis,Ohio State,OG,Minnesota,-5,30,2021-01-22,Ohio
15,1,Kyle Pitts,Florida,TE,New England,+5,30,2021-01-22,Florida
16,1,Creed Humphrey,Oklahoma,OC,Arizona,-22,30,2021-01-22,Oklahoma
17,1,Kwity Paye,Michigan,EDGE,Las Vegas,-6,30,2021-01-22,Michigan
18,1,Zaven Collins,Tulsa,OLB,Miami,-18,30,2021-01-22,Oklahoma
19,1,Trevon Moehrig,TCU,S,Washington,+7,30,2021-01-22,Texas
20,1,Mac Jones,Alabama,QB,Chicago,-10,30,2021-01-22,Alabama
21,1,Patrick Jones II,Pitt,EDGE,Indianapolis,-10,25,2021-01-22,Pennsylvania
22,1,Jeremiah Owusu-Koramoah,Notre Dame,OLB,Tennessee,-1,25,2021-01-22,Indiana
23,1,Kyle Trask,Florida,QB,NY Jets (Trade),-12,25,2021-01-22,Florida
24,1,Samuel Cosmi,Texas,OT,Pittsburgh,+4,25,2021-01-22,Texas
25,1,Alex Leatherwood,Alabama,OT,Jacksonville (Trade),+0,25,2021-01-22,Alabama
26,1,Rashod Bateman,Minnesota,WR,Cleveland,+4,25,2021-01-22,Minnesota
27,1,Christian Barmore,Alabama,DL3T,Tampa Bay,+6,25,2021-01-22,Alabama
28,1,Carlos Basham Jr.,Wake Forest,DL5T,Baltimore,+0,25,2021-01-22,North Carolina
29,1,Nick Bolton,Missouri,ILB,New Orleans,-3,25,2021-01-22,Missouri
30,1,Jaylen Waddle,Alabama,WRS,Buffalo,+22,25,2021-01-22,Alabama
31,1,Rashawn Slater,Northwestern,OT,Green Bay,-2,25,2021-01-22,Illinois
32,1,Chazz Surratt,North Carolina,OLB,Kansas City,-15,25,2021-01-22,North Carolina
33,2,Daviyon Nixon,Iowa,DL3T,Jacksonville,+7,20,2021-01-22,Iowa
34,2,Asante Samuel Jr.,Florida State,CB,NY Jets,+10,20,2021-01-22,Florida
35,2,Quincy Roche,Miami (FL),EDGE,Atlanta,-11,20,2021-01-22,Florida
36,2,Najee Harris,Alabama,RB,Miami (Trade),+2,20,2021-01-22,Alabama
37,2,Terrace Marshall,LSU,WR,Philadelphia,-5,20,2021-01-22,Louisiana
38,2,Andre Cisco,Syracuse,S,Cincinnati,+9,20,2021-01-22,New York
39,2,Tyson Campbell,Georgia,CB,Carolina,+0,20,2021-01-22,Georgia
40,2,Travis Etienne,Clemson,RB,Denver,+13,20,2021-01-22,South Carolina
41,2,Joseph Ossai,Texas,EDGE,Detroit,-2,20,2021-01-22,Texas
42,2,Joe Tryon,Washington,EDGE,NY Giants,-14,20,2021-01-22,Washington
43,2,Rondale Moore,Purdue,WRS,San Francisco,+30,20,2021-01-22,Indiana
44,2,Shaun Wade,Ohio State,S,Dallas,-9,20,2021-01-22,Ohio
45,2,Kadarius Toney,Florida,WR,Jacksonville (Trade),-28,20,2021-01-22,Florida
46,2,Jayson Oweh,Penn State,EDGE,New England,-19,20,2021-01-22,Pennsylvania
47,2,Trey Smith,Tennessee,OG,LA Chargers,+10,20,2021-01-22,Tennessee
48,2,Seth Williams,Auburn,WR,Las Vegas,+3,20,2021-01-22,Alabama
49,2,Pat Freiermuth,Penn State,TE,Arizona,-3,15,2021-01-22,Pennsylvania
