Rank,Change,Player,School,Position,Height,Weight,CollegeClass,Date,DraftStatus
1,--,Trevor Lawrence,Clemson,QB,"6'6""",220,JR,2020-07-26,Eligible
2,--,Penei Sewell,Oregon,OT,"6'5""",325,JR,2020-07-26,Eligible
3,--,Justin Fields,Ohio State,QB,"6'2""",223,JR,2020-07-26,Eligible
4,--,Gregory Rousseau,Miami (FL),EDGE,"6'5""",260,RSO,2020-07-26,Eligible
5,--,Ja'Marr Chase,LSU,WR,"6'1""",200,JR,2020-07-26,Eligible
6,--,Patrick Surtain II,Alabama,CB,"6'1""",203,JR,2020-07-26,Eligible
7,--,Shaun Wade,Ohio State,CB,"6'1""",194,RJR,2020-07-26,Eligible
8,--,Marvin Wilson,Florida State,DL1T,"6'5""",311,SR,2020-07-26,Eligible
9,--,Alex Leatherwood,Alabama,OT,"6'6""",310,SR,2020-07-26,Eligible
10,--,Walker Little,Stanford,OT,"6'7""",309,SR,2020-07-26,Eligible
11,--,Creed Humphrey,Oklahoma,OC,"6'5""",316,RJR,2020-07-26,Eligible
12,--,Carlos Basham Jr.,Wake Forest,DL5T,"6'5""",275,JR,2020-07-26,Eligible
13,--,Andre Cisco,Syracuse,S,"6'0""",203,JR,2020-07-26,Eligible
14,--,DeVonta Smith,Alabama,WR,"6'1""",175,SR,2020-07-26,Eligible
15,--,Rondale Moore,Purdue,WRS,"5'9""",175,JR,2020-07-26,Eligible
16,+7,Micah Parsons,Penn State,ILB,"6'2""",245,JR,2020-07-26,Eligible
17,+23,Trey Lance,North Dakota State,QB,"6'3""",221,RSO,2020-07-26,Eligible
18,--,Rashod Bateman,Minnesota,WR,"6'1""",210,JR,2020-07-26,Eligible
19,--,Jaylen Twyman,Pitt,DL3T,"6'2""",290,RJR,2020-07-26,Eligible
20,--,Travis Etienne,Clemson,RB,"5'10""",210,SR,2020-07-26,Eligible
21,+1,Jalen Mayfield,Michigan,OT,"6'5""",319,RSO,2020-07-26,Eligible
22,+2,Israel Mukuamu,South Carolina,CB,"6'3""",205,JR,2020-07-26,Eligible
23,+3,Tyler Shelvin,LSU,DL1T,"6'3""",346,RJR,2020-07-26,Eligible
24,+3,Wyatt Davis,Ohio State,OG,"6'4""",310,RJR,2020-07-26,Eligible
