Rank,Change,Player,School,Position,Height,Weight,CollegeClass,Date,DraftStatus
1,--,Trevor Lawrence,Clemson,QB,"6'6""",220,JR,2020-11-25,Eligible
2,--,Penei Sewell,Oregon,OT,"6'5""",330,JR,2020-11-25,Eligible
3,--,Justin Fields,Ohio State,QB,6'3'',228,JR,2020-11-25,Eligible
4,+1,Ja'Marr Chase,LSU,WR,"6'1""",200,JR,2020-11-25,Eligible
5,+6,Caleb Farley,Virginia Tech,CB,"6'2""",197,RJR,2020-11-25,Eligible
6,--,Patrick Surtain II,Alabama,CB,"6'1""",203,JR,2020-11-25,Eligible
7,+9,Micah Parsons,Penn State,ILB,"6'2""",245,JR,2020-11-25,Eligible
8,-4,Gregory Rousseau,Miami (FL),EDGE,"6'5""",260,RSO,2020-11-25,Eligible
9,+21,Jaylen Waddle,Alabama,WRS,"5'10""",182,JR,2020-11-25,Eligible
10,+7,Kyle Pitts,Florida,TE,"6'5""",239,JR,2020-11-25,Eligible
11,+9,Travis Etienne,Clemson,RB,"5'10""",210,SR,2020-11-25,Eligible
12,+16,Zach Wilson,BYU,QB,6'3'',210,JR,2020-11-25,Eligible
13,+1,DeVonta Smith,Alabama,WR,"6'1""",175,SR,2020-11-25,Eligible
14,+31,Jaycee Horn,South Carolina,CB,"6'0""",200,JR,2020-11-25,Eligible
15,-6,Alex Leatherwood,Alabama,OT,"6'6""",312,SR,2020-11-25,Eligible
16,-1,Rondale Moore,Purdue,WRS,"5'9""",175,JR,2020-11-25,Eligible
17,+65,Paris Ford,Pitt,S,"6'0""",190,RJR,2020-11-25,Eligible
18,-10,Marvin Wilson,Florida State,DL3T,"6'5""",311,SR,2020-11-25,Eligible
19,-7,Carlos Basham Jr.,Wake Forest,DL5T,"6'5""",285,RSR,2020-11-25,Eligible
20,+4,Wyatt Davis,Ohio State,OG,"6'4""",315,RJR,2020-11-25,Eligible
21,+15,Samuel Cosmi,Texas,OT,"6'7""",309,RJR,2020-11-25,Eligible
22,+6,Dylan Moses,Alabama,OLB,"6'3""",235,SR,2020-11-25,Eligible
23,-6,Trey Lance,North Dakota State,QB,"6'3""",226,RSO,2020-11-25,Eligible
24,-13,Creed Humphrey,Oklahoma,OC,"6'5""",320,RJR,2020-11-25,Eligible
25,+21,Kwity Paye,Michigan,DL5T,"6'4""",277,SR,2020-11-25,Eligible
26,-8,Rashod Bateman,Minnesota,WR,"6'1""",210,JR,2020-11-25,Eligible
27,+35,Asante Samuel Jr.,Florida State,CB,"5'10""",180,JR,2020-11-25,Eligible
28,+20,Trevon Moehrig,TCU,S,"6'2""",202,JR,2020-11-25,Eligible
29,-16,Andre Cisco,Syracuse,S,"6'0""",203,JR,2020-11-25,Eligible
30,+58,Jeremiah Owusu-Koramoah,Notre Dame,OLB,6'1'',216,SR,2020-11-25,Eligible
31,+20,Christian Barmore,Alabama,DL3T,"6'5""",310,RSO,2020-11-25,Eligible
32,-25,Shaun Wade,Ohio State,CB,"6'1""",194,RJR,2020-11-25,Eligible
33,+19,Patrick Jones II,Pitt,EDGE,"6'5""",260,RSR,2020-11-25,Eligible
34,+37,Kyle Trask,Florida,QB,6'4'',240,RSR,2020-11-25,Eligible
35,+50,Nick Bolton,Missouri,ILB,"6'0""",235,JR,2020-11-25,Eligible
36,+10,Najee Harris,Alabama,RB,"6'2""",230,SR,2020-11-25,Eligible
37,-18,Jaylen Twyman,Pitt,DL3T,"6'2""",290,RJR,2020-11-25,Eligible
38,-6,Tyson Campbell,Georgia,CB,"6'2""",180,JR,2020-11-25,Eligible
