Rank,Change,Player,School,Position,Height,Weight,CollegeClass,Date,DraftStatus
1,--,Trevor Lawrence,Clemson,QB,"6'6""",220,JR,2020-10-13,Eligible
2,+1,Justin Fields,Ohio State,QB,"6'2""",223,JR,2020-10-13,Eligible
3,+2,Ja'Marr Chase,LSU,WR,"6'1""",200,JR,2020-10-13,Eligible
4,-2,Penei Sewell,Oregon,OT,"6'5""",325,JR,2020-10-13,Eligible
5,-1,Gregory Rousseau,Miami (FL),EDGE,"6'5""",260,RSO,2020-10-13,Eligible
6,--,Patrick Surtain II,Alabama,CB,"6'1""",203,JR,2020-10-13,Eligible
7,+5,Caleb Farley,Virginia Tech,CB,"6'2""",197,RJR,2020-10-13,Eligible
8,+1,Micah Parsons,Penn State,ILB,"6'2""",245,JR,2020-10-13,Eligible
9,+7,Rondale Moore,Purdue,WRS,"5'9""",175,JR,2020-10-13,Eligible
10,+7,Alex Leatherwood,Alabama,OT,"6'6""",310,SR,2020-10-13,Eligible
11,+1,DeVonta Smith,Alabama,WR,"6'1""",175,SR,2020-10-13,Eligible
12,-4,Marvin Wilson,Florida State,DL3T,"6'5""",311,SR,2020-10-13,Eligible
13,+3,Kyle Pitts,Florida,TE,"6'5""",239,JR,2020-10-13,Eligible
14,-1,Travis Etienne,Clemson,RB,"5'10""",210,SR,2020-10-13,Eligible
15,+26,Hamsah Nasirildeen,Florida State,S,"6'4""",215,SR,2020-10-13,Eligible
16,+2,Rashod Bateman,Minnesota,WR,"6'1""",210,JR,2020-10-13,Eligible
17,+14,Tyson Campbell,Georgia,CB,"6'2""",180,JR,2020-10-13,Eligible
18,+1,Jevon Holland,Oregon,S,"6'1""",196,JR,2020-10-13,Eligible
19,+9,Jaylen Waddle,Alabama,WRS,"5'10""",182,JR,2020-10-13,Eligible
20,+1,Dylan Moses,Alabama,OLB,"6'3""",235,SR,2020-10-13,Eligible
21,-12,Carlos Basham Jr.,Wake Forest,DL5T,"6'5""",275,JR,2020-10-13,Eligible
22,+30,Quincy Roche,Miami (FL),EDGE,"6'4""",235,RSR,2020-10-13,Eligible
23,--,Walker Little,Stanford,OT,"6'7""",309,SR,2020-10-13,Eligible
24,-14,Jaylen Twyman,Pitt,DL3T,"6'2""",290,RJR,2020-10-13,Eligible
25,-6,Creed Humphrey,Oklahoma,OC,"6'5""",316,RJR,2020-10-13,Eligible
26,+74,Paris Ford,Pitt,S,"6'0""",190,RJR,2020-10-13,Eligible
27,+1,Wyatt Davis,Ohio State,OG,"6'4""",310,RJR,2020-10-13,Eligible
28,+51,Terrace Marshall,LSU,WR,"6'3""",200,JR,2020-10-13,Eligible
29,-22,Shaun Wade,Ohio State,CB,"6'1""",194,RJR,2020-10-13,Eligible
30,-3,Samuel Cosmi,Texas,OT,"6'7""",300,RJR,2020-10-13,Eligible
31,-5,Paulson Adebo,Stanford,CB,"6'1""",190,SR,2020-10-13,Eligible
32,-7,Jayson Oweh,Penn State,EDGE,"6'5""",257,JR,2020-10-13,Eligible
33,+2,Najee Harris,Alabama,RB,"6'2""",230,SR,2020-10-13,Eligible
34,+13,Brevin Jordan,Miami (FL),TE,"6'3""",245,JR,2020-10-13,Eligible
35,+127,Christian Barmore,Alabama,DL3T,"6'5""",310,RSO,2020-10-13,Eligible
36,-22,Tyler Shelvin,LSU,DL1T,"6'3""",346,RJR,2020-10-13,Eligible
37,+55,Jordan Davis,Georgia,DL1T,6'6'',330,JR,2020-10-13,Eligible
38,-4,Richard LeCounte III,Georgia,S,"5'11""",190,SR,2020-10-13,Eligible
39,-3,Hamilcar Rashed,Oregon State,EDGE,6'4'',233,RSR,2020-10-13,Eligible
40,--,Trey Smith,Tennessee,OG,"6'6""",325,SR,2020-10-13,Eligible
41,-2,Kyle Trask,Florida,QB,6'4'',234,RSR,2020-10-13,Eligible
42,+54,Chazz Surratt,North Carolina,OLB,"6'3""",230,RSR,2020-10-13,Eligible
43,+52,Asante Samuel Jr.,Florida State,CB,"5'10""",180,JR,2020-10-13,Eligible
44,-12,Trey Lance,North Dakota State,QB,"6'3""",221,RSO,2020-10-13,Eligible
45,+6,Jalen Mayfield,Michigan,OT,"6'5""",319,RSO,2020-10-13,Eligible
46,-5,Josh Myers,Ohio State,OC,6'5'',305,RJR,2020-10-13,Eligible
47,-34,Israel Mukuamu,South Carolina,CB,"6'3""",205,JR,2020-10-13,Eligible
48,+1,Marlon Tuipulotu,USC,DL3T,6'3'',305,JR,2020-10-13,Eligible
49,-1,Jackson Carman,Clemson,OT,"6'5""",345,JR,2020-10-13,Eligible
50,-17,Seth Williams,Auburn,WR,"6'2""",224,JR,2020-10-13,Eligible
51,+10,Xavier Thomas,Clemson,DL5T,"6'2""",265,JR,2020-10-13,Eligible
52,+23,Kenneth Gainwell,Memphis,RBC,"5'11""",191,RSO,2020-10-13,Eligible
53,+131,Cameron McGrone,Michigan,OLB,6'1'',232,JR,2020-10-13,Eligible
54,-33,Andre Cisco,Syracuse,S,"6'0""",203,JR,2020-10-13,Eligible
55,+7,Tylan Wallace,Oklahoma State,WR,"6'0""",185,SR,2020-10-13,Eligible
56,-10,Patrick Jones II,Pitt,EDGE,"6'5""",260,RSR,2020-10-13,Eligible
57,-14,Caden Sterns,Texas,S,"6'0""",210,JR,2020-10-13,Eligible
58,-19,Deonte Brown,Alabama,OG,6'4'',338,SR,2020-10-13,Eligible
59,+8,Eric Stokes,Georgia,CB,"6'1""",185,RJR,2020-10-13,Eligible
60,-9,Chuba Hubbard,Oklahoma State,RB,"6'1""",207,RJR,2020-10-13,Eligible
61,-2,Liam Eichenberg,Notre Dame,OT,"6'6""",294,RSR,2020-10-13,Eligible
62,-8,Trey Hill,Georgia,OC,"6'4""",330,JR,2020-10-13,Eligible
63,-19,Baron Browning,Ohio State,ILB,"6'3""",248,SR,2020-10-13,Eligible
64,+5,Pat Freiermuth,Penn State,TE,"6'5""",250,JR,2020-10-13,Eligible
