Rank,Change,Player,School,Position,Height,Weight,CollegeClass,Date,DraftStatus
1,--,Trevor Lawrence,Clemson,QB,"6'6""",220,JR,2021-01-10,Eligible
2,--,Penei Sewell,Oregon,OT,"6'5""",330,JR,2021-01-10,Eligible
3,--,Ja'Marr Chase,LSU,WR,"6'1""",200,JR,2021-01-10,Eligible
4,-1,Justin Fields,Ohio State,QB,6'3'',228,JR,2021-01-10,Eligible
5,+1,Patrick Surtain II,Alabama,CB,"6'1""",203,JR,2021-01-10,Eligible
6,--,Micah Parsons,Penn State,ILB,"6'2""",245,JR,2021-01-10,Eligible
7,+3,Zach Wilson,BYU,QB,6'3'',210,JR,2021-01-10,Eligible
8,--,Jaylen Waddle,Alabama,WRS,"5'10""",182,JR,2021-01-10,Eligible
9,-5,Caleb Farley,Virginia Tech,CB,"6'2""",197,RJR,2021-01-10,Eligible
10,--,Kyle Pitts,Florida,TE,"6'5""",239,JR,2021-01-10,Eligible
11,--,DeVonta Smith,Alabama,WR,"6'1""",175,SR,2021-01-10,Eligible
12,-9,Gregory Rousseau,Miami (FL),EDGE,"6'5""",260,RSO,2021-01-10,Eligible
13,+9,Trevon Moehrig,TCU,S,"6'2""",202,JR,2021-01-10,Eligible
14,-5,Rondale Moore,Purdue,WRS,"5'9""",175,JR,2021-01-10,Eligible
15,--,Trey Lance,North Dakota State,QB,"6'3""",226,RSO,2021-01-10,Eligible
16,--,Jaycee Horn,South Carolina,CB,"6'0""",200,JR,2021-01-10,Eligible
17,+33,Christian Darrisaw,Virginia Tech,OT,6'5'',314,RJR,2021-01-10,Eligible
18,--,Kwity Paye,Michigan,DL5T,"6'4""",277,SR,2021-01-10,Eligible
19,-5,Wyatt Davis,Ohio State,OG,"6'4""",315,RJR,2021-01-10,Eligible
20,-5,Samuel Cosmi,Texas,OT,"6'7""",309,RJR,2021-01-10,Eligible
21,+6,Christian Barmore,Alabama,DL3T,"6'5""",310,RSO,2021-01-10,Eligible
22,--,Rashod Bateman,Minnesota,WR,"6'1""",210,JR,2021-01-10,Eligible
23,+5,Jeremiah Owusu-Koramoah,Notre Dame,OLB,6'1'',216,SR,2021-01-10,Eligible
24,--,Asante Samuel Jr.,Florida State,CB,"5'10""",180,JR,2021-01-10,Eligible
25,--,Alex Leatherwood,Alabama,OT,"6'6""",312,SR,2021-01-10,Eligible
26,NEW,Daviyon Nixon,Iowa,DL3T,"6'3""",305,JR,2021-01-10,Eligible
27,-15,Travis Etienne,Clemson,RB,"5'10""",210,SR,2021-01-10,Eligible
28,-12,Carlos Basham Jr.,Wake Forest,DL5T,"6'5""",285,RSR,2021-01-10,Eligible
29,--,Andre Cisco,Syracuse,S,"6'0""",203,JR,2021-01-10,Eligible
30,+25,Mac Jones,Alabama,QB,6'2'',214,RJR,2021-01-10,Eligible
31,--,Patrick Jones II,Pitt,EDGE,"6'5""",260,RSR,2021-01-10,Eligible
32,--,Nick Bolton,Missouri,ILB,"6'0""",235,JR,2021-01-10,Eligible
33,+25,Rashawn Slater,Northwestern,OT,6'4'',314,SR,2021-01-10,Eligible
34,--,Najee Harris,Alabama,RB,"6'2""",230,SR,2021-01-10,Eligible
35,-4,Kyle Trask,Florida,QB,6'4'',240,RSR,2021-01-10,Eligible
36,+12,Zaven Collins,Tulsa,OLB,6'4'',260,RJR,2021-01-10,Eligible
37,+5,Trey Smith,Tennessee,OG,"6'6""",330,SR,2021-01-10,Eligible
38,-12,Creed Humphrey,Oklahoma,OC,"6'5""",320,RJR,2021-01-10,Eligible
39,--,Tyson Campbell,Georgia,CB,"6'2""",180,JR,2021-01-10,Eligible
40,+40,Alijah Vera-Tucker,USC,OG,"6'4""",315,RJR,2021-01-10,Eligible
41,+5,Jay Tufele,USC,DL3T,"6'3""",305,RJR,2021-01-10,Eligible
42,--,Terrace Marshall,LSU,WR,"6'3""",200,JR,2021-01-10,Eligible
43,+12,Hamsah Nasirildeen,Florida State,S,"6'4""",215,SR,2021-01-10,Eligible
44,--,Joseph Ossai,Texas,EDGE,"6'4""",253,JR,2021-01-10,Eligible
45,--,Paulson Adebo,Stanford,CB,"6'1""",190,SR,2021-01-10,Eligible
46,--,Chris Olave,Ohio State,WR,"6'0""",185,JR,2021-01-10,Eligible
47,-8,Seth Williams,Auburn,WR,"6'2""",224,JR,2021-01-10,Eligible
48,--,Quincy Roche,Miami (FL),EDGE,"6'4""",235,RSR,2021-01-10,Eligible
49,--,Chazz Surratt,North Carolina,OLB,"6'3""",230,RSR,2021-01-10,Eligible
50,+20,Richie Grant,UCF,S,"6'0""",194,RSR,2021-01-10,Eligible
51,+189,Trey Sermon,Ohio State,RB,"6'0""",224,SR,2021-01-10,Eligible
52,-6,Marvin Wilson,Florida State,DL3T,"6'5""",311,SR,2021-01-10,Eligible
53,-14,Dylan Moses,Alabama,OLB,"6'3""",235,SR,2021-01-10,Eligible
54,--,Rodarius Williams,Oklahoma State,CB,"6'0""",180,RSR,2021-01-10,Eligible
55,--,Pat Freiermuth,Penn State,TE,"6'5""",250,JR,2021-01-10,Eligible
56,-18,Shaun Wade,Ohio State,CB,"6'1""",194,RJR,2021-01-10,Eligible
57,--,Tyler Shelvin,LSU,DL1T,"6'3""",346,RJR,2021-01-10,Eligible
58,--,Jalen Mayfield,Michigan,OT,"6'5""",320,RSO,2021-01-10,Eligible
59,+14,Joe Tryon,Washington,EDGE,"6'5""",262,RJR,2021-01-10,Eligible
60,+35,Elijah Molden,Washington,S,"5'10""",186,SR,2021-01-10,Eligible
61,+16,Elijah Moore,Ole Miss,WRS,"5'9""",184,JR,2021-01-10,Eligible
62,-8,Jevon Holland,Oregon,S,"6'1""",196,JR,2021-01-10,Eligible
63,-12,Jaylen Twyman,Pitt,DL5T,"6'2""",290,RJR,2021-01-10,Eligible
64,--,Sage Surratt,Wake Forest,WR,"6'2""",215,RJR,2021-01-10,Eligible
65,+45,Shakur Brown,Michigan State,CB,"5'11""",190,RJR,2021-01-10,Eligible
66,-14,Josh Myers,Ohio State,OC,6'5'',312,RJR,2021-01-10,Eligible
67,NEW,Alim McNeill,NC State,DL1T,"6'2""",315,JR,2021-01-10,Eligible
68,--,Jayson Oweh,Penn State,EDGE,"6'5""",257,RSO,2021-01-10,Eligible
69,+15,Eric Stokes,Georgia,CB,"6'1""",185,RJR,2021-01-10,Eligible
70,--,Tylan Wallace,Oklahoma State,WR,"6'0""",185,SR,2021-01-10,Eligible
71,+44,Jaelan Phillips,Miami (FL),EDGE,"6'5""",255,RJR,2021-01-10,Eligible
72,-15,Walker Little,Stanford,OT,"6'7""",313,SR,2021-01-10,Eligible
73,--,Kenneth Gainwell,Memphis,RB,"5'11""",191,RSO,2021-01-10,Eligible
74,--,Israel Mukuamu,South Carolina,CB,"6'3""",205,JR,2021-01-10,Eligible
75,+23,Kadarius Toney,Florida,WR,5'11'',190,SR,2021-01-10,Eligible
76,-31,Paris Ford,Pitt,S,"6'0""",190,RJR,2021-01-10,Eligible
77,--,Amon-Ra St. Brown,USC,WR,"6'1""",195,JR,2021-01-10,Eligible
78,-20,Ben Cleveland,Georgia,OG,"6'6""",335,RSR,2021-01-10,Eligible
79,--,Jamie Newman,Georgia,QB,"6'4""",230,RSR,2021-01-10,Eligible
80,--,Cameron McGrone,Michigan,OLB,6'1'',232,RSO,2021-01-10,Eligible
81,-15,Darius Stills,West Virginia,DL3T,"6'1""",292,SR,2021-01-10,Eligible
82,--,Charlie Kolar,Iowa State,TE,"6'6""",245,RJR,2021-01-10,Eligible
83,--,Jabril Cox,LSU,OLB,"6'2""",233,RSR,2021-01-10,Eligible
84,--,Josh Jobe,Alabama,CB,6'1'',189,JR,2021-01-10,Eligible
85,--,Liam Eichenberg,Notre Dame,OT,"6'6""",302,RSR,2021-01-10,Eligible
86,--,Azeez Ojulari,Georgia,EDGE,"6'3""",240,RSO,2021-01-10,Eligible
87,--,Javonte Williams,North Carolina,RB,"5'10""",220,JR,2021-01-10,Eligible
88,--,Marlon Williams,UCF,WR,"6'0""",215,SR,2021-01-10,Eligible
89,-17,Hamilcar Rashed,Oregon State,EDGE,6'3'',248,RSR,2021-01-10,Eligible
90,+56,Michael Carter,North Carolina,RBC,"5'9""",195,SR,2021-01-10,Eligible
91,+21,Greg Newsome II,Northwestern,CB,"6'1""",190,JR,2021-01-10,Eligible
92,--,Levi Onwuzurike,Washington,DL3T,"6'3""",293,RSR,2021-01-10,Eligible
93,-15,Brevin Jordan,Miami (FL),TE,"6'3""",245,JR,2021-01-10,Eligible
94,--,Tedarrell Slaton,Florida,DL1T,"6'5""",358,SR,2021-01-10,Eligible
95,+20,Talanoa Hufanga,USC,S,"6'1""",215,JR,2021-01-10,Eligible
96,-20,Deonte Brown,Alabama,OG,6'4'',350,RSR,2021-01-10,Eligible
97,--,Chuba Hubbard,Oklahoma State,RB,"6'1""",207,RJR,2021-01-10,Eligible
98,+30,Landon Dickerson,Alabama,OC,6'6'',325,RSR,2021-01-10,Eligible
99,--,Daniel Faalele,Minnesota,OT,"6'8""",400,JR,2021-01-10,Eligible
100,--,Anthony Schwartz,Auburn,WR,"6'0""",197,JR,2021-01-10,Eligible
101,--,Jaelon Darden,North Texas,WRS,"5'9""",174,SR,2021-01-10,Eligible
102,+20,Dillon Radunz,North Dakota State,OT,6'6'',299,SR,2021-01-10,Eligible
103,+33,Chris Rumph II,Duke,EDGE,"6'3""",225,RJR,2021-01-10,Eligible
104,+20,Tutu Atwell,Louisville,WRS,"5'9""",156,JR,2021-01-10,Eligible
105,--,Baron Browning,Ohio State,ILB,"6'3""",248,SR,2021-01-10,Eligible
106,--,Dazz Newsome,North Carolina,WR,"5'11""",175,SR,2021-01-10,Eligible
107,-21,Richard LeCounte III,Georgia,S,"5'11""",190,SR,2021-01-10,Eligible
108,--,Shaka Toney,Penn State,EDGE,"6'3""",243,RSR,2021-01-10,Eligible
109,NEW,Nolan Turner,Clemson,S,"6'1""",205,SR,2021-01-10,Eligible
110,--,Damonte Coxie,Memphis,WR,6'3'',197,SR,2021-01-10,Eligible
111,-26,Jackson Carman,Clemson,OT,"6'5""",335,JR,2021-01-10,Eligible
112,--,Jaret Patterson,Buffalo,RB,"5'9""",195,JR,2021-01-10,Eligible
113,-23,Drake Jackson,Kentucky,OC,6'2'',292,RSR,2021-01-10,Eligible
114,-45,Hunter Long,Boston College,TE,"6'5""",253,JR,2021-01-10,Eligible
115,-12,Nico Collins,Michigan,WR,"6'4""",222,SR,2021-01-10,Eligible
116,+34,Phidarian Mathis,Alabama,DL1T,"6'4""",317,RJR,2021-01-10,Eligible
117,--,Jimmy Morrissey,Pitt,OC,"6'3""",305,RSR,2021-01-10,Eligible
118,--,Charles Snowden,Virginia,OLB,"6'7""",235,SR,2021-01-10,Eligible
119,NEW,Jonathan Marshall,Arkansas,DL1T,"6'3""",317,RSR,2021-01-10,Eligible
120,-20,Kenny Yeboah,Ole Miss,TE,6'4'',240,RSR,2021-01-10,Eligible
121,--,Merlin Robertson,Arizona State,OLB,"6'2""",235,JR,2021-01-10,Eligible
122,-16,Trey Hill,Georgia,OC,"6'4""",330,JR,2021-01-10,Eligible
123,--,Zamir White,Georgia,RB,"5'11""",215,RSO,2021-01-10,Eligible
124,--,Jack Sanborn,Wisconsin,OLB,"6'1""",232,JR,2021-01-10,Eligible
125,+30,Shemar Jean-Charles,Appalachian State,CB,"5'11""",190,SR,2021-01-10,Eligible
126,+214,Divine Deablo,Virginia Tech,S,6'3'',226,RSR,2021-01-10,Eligible
127,+15,Dyami Brown,North Carolina,WR,"6'1""",185,JR,2021-01-10,Eligible
