Rank,Change,Player,School,Position,Height,Weight,CollegeClass,Date,DraftStatus
1,--,Trevor Lawrence,Clemson,QB,"6'6""",220,JR,2020-11-20,Eligible
2,+1,Justin Fields,Ohio State,QB,"6'2""",223,JR,2020-11-20,Eligible
3,+2,Ja'Marr Chase,LSU,WR,"6'1""",200,JR,2020-11-20,Eligible
4,-2,Penei Sewell,Oregon,OT,"6'5""",325,JR,2020-11-20,Eligible
5,-1,Gregory Rousseau,Miami (FL),EDGE,"6'5""",260,RSO,2020-11-20,Eligible
6,--,Patrick Surtain II,Alabama,CB,"6'1""",203,JR,2020-11-20,Eligible
7,+5,Caleb Farley,Virginia Tech,CB,"6'2""",197,RJR,2020-11-20,Eligible
8,+1,Micah Parsons,Penn State,ILB,"6'2""",245,JR,2020-11-20,Eligible
9,+7,Rondale Moore,Purdue,WRS,"5'9""",175,JR,2020-11-20,Eligible
10,+7,Alex Leatherwood,Alabama,OT,"6'6""",310,SR,2020-11-20,Eligible
11,+1,DeVonta Smith,Alabama,WR,"6'1""",175,SR,2020-11-20,Eligible
12,-4,Marvin Wilson,Florida State,DL3T,"6'5""",311,SR,2020-11-20,Eligible
13,+3,Kyle Pitts,Florida,TE,"6'5""",239,JR,2020-11-20,Eligible
14,-1,Travis Etienne,Clemson,RB,"5'10""",210,SR,2020-11-20,Eligible
15,+26,Hamsah Nasirildeen,Florida State,S,"6'4""",215,SR,2020-11-20,Eligible
16,+2,Rashod Bateman,Minnesota,WR,"6'1""",210,JR,2020-11-20,Eligible
17,+14,Tyson Campbell,Georgia,CB,"6'2""",180,JR,2020-11-20,Eligible
18,+1,Jevon Holland,Oregon,S,"6'1""",196,JR,2020-11-20,Eligible
19,+1,Dylan Moses,Alabama,OLB,"6'3""",235,SR,2020-11-20,Eligible
20,-12,Carlos Basham Jr.,Wake Forest,DL5T,"6'5""",275,JR,2020-11-20,Eligible
21,+30,Quincy Roche,Miami (FL),EDGE,"6'4""",235,RSR,2020-11-20,Eligible
22,--,Walker Little,Stanford,OT,"6'7""",309,SR,2020-11-20,Eligible
23,-14,Jaylen Twyman,Pitt,DL3T,"6'2""",290,RJR,2020-11-20,Eligible
