Rank,Change,Player,School,Position,Height,Weight,CollegeClass,Date,DraftStatus
1,--,Trevor Lawrence,Clemson,QB,"6'6""",220,JR,2020-12-25,Eligible
2,--,Penei Sewell,Oregon,OT,"6'5""",330,JR,2020-12-25,Eligible
3,--,Ja'Marr Chase,LSU,WR,"6'1""",200,JR,2020-12-25,Eligible
4,-1,Justin Fields,Ohio State,QB,6'3'',228,JR,2020-12-25,Eligible
5,+1,Patrick Surtain II,Alabama,CB,"6'1""",203,JR,2020-12-25,Eligible
6,--,Micah Parsons,Penn State,ILB,"6'2""",245,JR,2020-12-25,Eligible
7,+3,Zach Wilson,BYU,QB,6'3'',210,JR,2020-12-25,Eligible
8,--,Jaylen Waddle,Alabama,WRS,"5'10""",182,JR,2020-12-25,Eligible
9,-5,Caleb Farley,Virginia Tech,CB,"6'2""",197,RJR,2020-12-25,Eligible
10,--,Kyle Pitts,Florida,TE,"6'5""",239,JR,2020-12-25,Eligible
11,--,Travis Etienne,Clemson,RB,"5'10""",210,SR,2020-12-25,Eligible
12,--,DeVonta Smith,Alabama,WR,"6'1""",175,SR,2020-12-25,Eligible
13,--,Jaycee Horn,South Carolina,CB,"6'0""",200,JR,2020-12-25,Eligible
14,--,Alex Leatherwood,Alabama,OT,"6'6""",312,SR,2020-12-25,Eligible
15,-9,Gregory Rousseau,Miami (FL),EDGE,"6'5""",260,RSO,2020-12-25,Eligible
16,--,Carlos Basham Jr.,Wake Forest,DL5T,"6'5""",285,RSR,2020-12-25,Eligible
17,--,Wyatt Davis,Ohio State,OG,"6'4""",315,RJR,2020-12-25,Eligible
18,+9,Trevon Moehrig,TCU,S,"6'2""",202,JR,2020-12-25,Eligible
19,--,Samuel Cosmi,Texas,OT,"6'7""",309,RJR,2020-12-25,Eligible
20,-5,Rondale Moore,Purdue,WRS,"5'9""",175,JR,2020-12-25,Eligible
21,--,Trey Lance,North Dakota State,QB,"6'3""",226,RSO,2020-12-25,Eligible
22,--,Creed Humphrey,Oklahoma,OC,"6'5""",320,RJR,2020-12-25,Eligible
23,+33,Christian Darrisaw,Virginia Tech,OT,6'5'',314,RJR,2020-12-25,Eligible
24,--,Kwity Paye,Michigan,DL5T,"6'4""",277,SR,2020-12-25,Eligible
25,+6,Christian Barmore,Alabama,DL3T,"6'5""",310,RSO,2020-12-25,Eligible
26,--,Rashod Bateman,Minnesota,WR,"6'1""",210,JR,2020-12-25,Eligible
27,+5,Jeremiah Owusu-Koramoah,Notre Dame,OLB,6'1'',216,SR,2020-12-25,Eligible
28,--,Asante Samuel Jr.,Florida State,CB,"5'10""",180,JR,2020-12-25,Eligible
29,NEW,Daviyon Nixon,Iowa,DL3T,"6'3""",305,JR,2020-12-25,Eligible
30,--,Andre Cisco,Syracuse,S,"6'0""",203,JR,2020-12-25,Eligible
31,-4,Dylan Moses,Alabama,OLB,"6'3""",235,SR,2020-12-25,Eligible
32,+4,Kyle Trask,Florida,QB,6'4'',240,RSR,2020-12-25,Eligible
33,--,Patrick Jones II,Pitt,EDGE,"6'5""",260,RSR,2020-12-25,Eligible
34,--,Nick Bolton,Missouri,ILB,"6'0""",235,JR,2020-12-25,Eligible
35,--,Najee Harris,Alabama,RB,"6'2""",230,SR,2020-12-25,Eligible
36,-11,Marvin Wilson,Florida State,DL3T,"6'5""",311,SR,2020-12-25,Eligible
37,--,Tyson Campbell,Georgia,CB,"6'2""",180,JR,2020-12-25,Eligible
38,--,Hunter Long,Boston College,TE,"6'5""",253,JR,2020-12-25,Eligible
39,+5,Jay Tufele,USC,DL3T,"6'3""",305,RJR,2020-12-25,Eligible
40,--,Walker Little,Stanford,OT,"6'7""",313,SR,2020-12-25,Eligible
41,--,Derion Kendrick,Clemson,CB,"6'0""",190,JR,2020-12-25,Eligible
42,--,Terrace Marshall,LSU,WR,"6'3""",200,JR,2020-12-25,Eligible
43,+12,Hamsah Nasirildeen,Florida State,S,"6'4""",215,SR,2020-12-25,Eligible
44,--,Trey Smith,Tennessee,OG,"6'6""",330,SR,2020-12-25,Eligible
45,--,Jalen Mayfield,Michigan,OT,"6'5""",320,RSO,2020-12-25,Eligible
46,--,Joseph Ossai,Texas,EDGE,"6'4""",253,JR,2020-12-25,Eligible
47,--,Jackson Carman,Clemson,OT,"6'5""",335,JR,2020-12-25,Eligible
48,--,Josh Myers,Ohio State,OC,6'5'',312,RJR,2020-12-25,Eligible
49,--,Chris Olave,Ohio State,WR,"6'0""",185,JR,2020-12-25,Eligible
50,--,Hamilcar Rashed,Oregon State,EDGE,6'3'',248,RSR,2020-12-25,Eligible
51,-8,Seth Williams,Auburn,WR,"6'2""",224,JR,2020-12-25,Eligible
52,--,Quincy Roche,Miami (FL),EDGE,"6'4""",235,RSR,2020-12-25,Eligible
53,--,Chazz Surratt,North Carolina,OLB,"6'3""",230,RSR,2020-12-25,Eligible
54,--,Ben Cleveland,Georgia,OG,"6'6""",335,RSR,2020-12-25,Eligible
55,--,Rodarius Williams,Oklahoma State,CB,"6'0""",180,RSR,2020-12-25,Eligible
56,--,Pat Freiermuth,Penn State,TE,"6'5""",250,JR,2020-12-25,Eligible
57,--,Brevin Jordan,Miami (FL),TE,"6'3""",245,JR,2020-12-25,Eligible
58,-18,Shaun Wade,Ohio State,CB,"6'1""",194,RJR,2020-12-25,Eligible
59,--,Jevon Holland,Oregon,S,"6'1""",196,JR,2020-12-25,Eligible
60,--,Tyler Shelvin,LSU,DL1T,"6'3""",346,RJR,2020-12-25,Eligible
61,--,Tutu Atwell,Louisville,WRS,"5'9""",156,JR,2020-12-25,Eligible
62,--,Javonte Williams,North Carolina,RB,"5'10""",220,JR,2020-12-25,Eligible
63,+35,Elijah Molden,Washington,S,"5'10""",186,SR,2020-12-25,Eligible
64,-12,Jaylen Twyman,Pitt,DL5T,"6'2""",290,RJR,2020-12-25,Eligible
65,--,Sage Surratt,Wake Forest,WR,"6'2""",215,RJR,2020-12-25,Eligible
66,--,Jamie Newman,Georgia,QB,"6'4""",230,RSR,2020-12-25,Eligible
67,NEW,Alim McNeill,NC State,DL1T,"6'2""",315,JR,2020-12-25,Eligible
68,--,Deonte Brown,Alabama,OG,6'4'',350,RSR,2020-12-25,Eligible
69,--,Jayson Oweh,Penn State,EDGE,"6'5""",257,RSO,2020-12-25,Eligible
70,+15,Eric Stokes,Georgia,CB,"6'1""",185,RJR,2020-12-25,Eligible
71,--,Tylan Wallace,Oklahoma State,WR,"6'0""",185,SR,2020-12-25,Eligible
72,-21,Richard LeCounte III,Georgia,S,"5'11""",190,SR,2020-12-25,Eligible
73,--,Tyler Linderbaum,Iowa,OC,6'3'',296,RSO,2020-12-25,Eligible
74,+40,Richie Grant,UCF,S,"6'0""",194,RSR,2020-12-25,Eligible
75,+45,Dante Stills,West Virginia,DL5T,"6'4""",278,JR,2020-12-25,Eligible
76,--,Kenneth Gainwell,Memphis,RB,"5'11""",191,RSO,2020-12-25,Eligible
77,--,Israel Mukuamu,South Carolina,CB,"6'3""",205,JR,2020-12-25,Eligible
78,+11,Mac Jones,Alabama,QB,6'2'',214,RJR,2020-12-25,Eligible
79,-31,Paris Ford,Pitt,S,"6'0""",190,RJR,2020-12-25,Eligible
80,--,Drake Jackson,Kentucky,OC,6'2'',292,RSR,2020-12-25,Eligible
81,--,Amon-Ra St. Brown,USC,WR,"6'1""",195,JR,2020-12-25,Eligible
82,--,Cameron McGrone,Michigan,OLB,6'1'',232,RSO,2020-12-25,Eligible
83,-15,Darius Stills,West Virginia,DL3T,"6'1""",292,SR,2020-12-25,Eligible
84,--,Charlie Kolar,Iowa State,TE,"6'6""",245,RJR,2020-12-25,Eligible
85,--,Jabril Cox,LSU,OLB,"6'2""",233,RSR,2020-12-25,Eligible
86,--,Josh Jobe,Alabama,CB,6'1'',189,JR,2020-12-25,Eligible
87,--,Liam Eichenberg,Notre Dame,OT,"6'6""",302,RSR,2020-12-25,Eligible
88,--,Rashawn Slater,Northwestern,OT,6'4'',314,SR,2020-12-25,Eligible
89,+8,Elijah Moore,Ole Miss,WRS,"5'9""",184,JR,2020-12-25,Eligible
90,--,Azeez Ojulari,Georgia,EDGE,"6'3""",240,RSO,2020-12-25,Eligible
91,+42,Zaven Collins,Tulsa,EDGE,6'4'',260,RJR,2020-12-25,Eligible
92,-21,Paulson Adebo,Stanford,CB,"6'1""",190,SR,2020-12-25,Eligible
93,--,Jaret Patterson,Buffalo,RB,"5'9""",195,JR,2020-12-25,Eligible
94,--,Aidan Hutchinson,Michigan,DL5T,"6'6""",278,JR,2020-12-25,Eligible
95,--,Joe Tryon,Washington,EDGE,"6'5""",262,RJR,2020-12-25,Eligible
96,--,Chuba Hubbard,Oklahoma State,RB,"6'1""",207,RJR,2020-12-25,Eligible
97,--,Zion Johnson,Boston College,OG,"6'3""",310,SR,2020-12-25,Eligible
98,--,Marlon Williams,UCF,WR,"6'0""",215,SR,2020-12-25,Eligible
99,--,Levi Onwuzurike,Washington,DL3T,"6'3""",293,RSR,2020-12-25,Eligible
100,--,Tedarrell Slaton,Florida,DL1T,"6'5""",358,SR,2020-12-25,Eligible
101,--,C.J. Verdell,Oregon,RB,"5'9""",210,JR,2020-12-25,Eligible
102,--,Alijah Vera-Tucker,USC,OG,"6'4""",315,RJR,2020-12-25,Eligible
103,--,Kenny Yeboah,Ole Miss,TE,6'4'',240,RSR,2020-12-25,Eligible
104,--,Jordan Davis,Georgia,DL1T,6'6'',330,JR,2020-12-25,Eligible
105,--,Ar'Darius Washington,TCU,S,"5'8""",175,RSO,2020-12-25,Eligible
106,--,Alec Lindstrom,Boston College,OC,6'4'',290,RJR,2020-12-25,Eligible
107,--,Daniel Faalele,Minnesota,OT,"6'8""",400,JR,2020-12-25,Eligible
108,--,Anthony Schwartz,Auburn,WR,"6'0""",197,JR,2020-12-25,Eligible
109,--,Jaelon Darden,North Texas,WRS,"5'9""",174,SR,2020-12-25,Eligible
110,--,Bubba Bolden,Miami (FL),S,"6'3""",200,SR,2020-12-25,Eligible
111,--,Sam Ehlinger,Texas,QB,"6'3""",225,SR,2020-12-25,Eligible
112,--,Tommy Kraemer,Notre Dame,OG,"6'6""",317,RSR,2020-12-25,Eligible
113,--,Trey Hill,Georgia,OC,"6'4""",330,JR,2020-12-25,Eligible
114,--,Chase Lucas,Arizona State,CB,"6'0""",180,JR,2020-12-25,Eligible
115,--,Baron Browning,Ohio State,ILB,"6'3""",248,SR,2020-12-25,Eligible
116,--,Cory Durden,Florida State,DL3T,"6'5""",312,RJR,2020-12-25,Eligible
117,--,Dazz Newsome,North Carolina,WR,"5'11""",175,SR,2020-12-25,Eligible
118,--,Shaka Toney,Penn State,EDGE,"6'3""",243,RSR,2020-12-25,Eligible
119,NEW,Nolan Turner,Clemson,S,"6'1""",205,SR,2020-12-25,Eligible
120,--,Damonte Coxie,Memphis,WR,6'3'',197,SR,2020-12-25,Eligible
121,--,Abraham Lucas,Washington State,OT,6'7'',328,RJR,2020-12-25,Eligible
122,-12,Nico Collins,Michigan,WR,"6'4""",222,SR,2020-12-25,Eligible
123,+34,Phidarian Mathis,Alabama,DL1T,"6'4""",317,RJR,2020-12-25,Eligible
124,--,Jack Anderson,Texas Tech,OG,"6'5""",315,RJR,2020-12-25,Eligible
125,--,Dillon Radunz,North Dakota State,OT,6'6'',299,SR,2020-12-25,Eligible
126,--,Stevie Scott,Indiana,RB,"6'2""",231,JR,2020-12-25,Eligible
127,--,Shane Buechele,SMU,QB,"6'1""",207,RSR,2020-12-25,Eligible
128,--,Jake Ferguson,Wisconsin,TE,"6'5""",230,RJR,2020-12-25,Eligible
129,--,Jimmy Morrissey,Pitt,OC,"6'3""",305,RSR,2020-12-25,Eligible
130,--,Charles Snowden,Virginia,OLB,"6'7""",235,SR,2020-12-25,Eligible
131,NEW,Jonathan Marshall,Arkansas,DL1T,"6'3""",317,RSR,2020-12-25,Eligible
132,--,Myjai Sanders,Cincinnati,EDGE,"6'5""",258,JR,2020-12-25,Eligible
133,--,Merlin Robertson,Arizona State,OLB,"6'2""",235,JR,2020-12-25,Eligible
134,NEW,Greg Newsome II,Northwestern,CB,"6'1""",190,JR,2020-12-25,Eligible
135,--,Zamir White,Georgia,RB,"5'11""",215,SO,2020-12-25,Eligible
136,--,Jack Sanborn,Wisconsin,OLB,"6'1""",232,JR,2020-12-25,Eligible
137,+214,Divine Deablo,Virginia Tech,S,6'3'',226,RSR,2020-12-25,Eligible
138,+15,Dyami Brown,North Carolina,WR,"6'1""",185,JR,2020-12-25,Eligible
139,NEW,Haskell Garrett,Ohio State,DL5T,"6'2""",299,SR,2020-12-25,Eligible
140,--,James Empey,BYU,OC,6'4'',303,RJR,2020-12-25,Eligible
141,--,Desmond Ridder,Cincinnati,QB,"6'4""",215,RJR,2020-12-25,Eligible
142,--,Thayer Munford,Ohio State,OT,"6'6""",315,SR,2020-12-25,Eligible
143,--,Mohamed Ibrahim,Minnesota,RB,"5'10""",201,JR,2020-12-25,Eligible
144,NEW,Shakur Brown,Michigan State,CB,"5'11""",190,RJR,2020-12-25,Eligible
145,+112,Talanoa Hufanga,USC,S,"6'1""",215,JR,2020-12-25,Eligible
146,--,Tyler Vaughns,USC,WR,"6'2""",190,RSR,2020-12-25,Eligible
147,--,Pete Werner,Ohio State,ILB,6'3'',239,SR,2020-12-25,Eligible
148,--,Landon Dickerson,Alabama,OC,6'6'',325,RSR,2020-12-25,Eligible
149,+9,Kadarius Toney,Florida,WR,5'11'',190,SR,2020-12-25,Eligible
150,--,Tony Poljan,Virginia,TE,"6'7""",265,RSR,2020-12-25,Eligible
151,--,Cary Angeline,NC State,TE,"6'7""",250,SR,2020-12-25,Eligible
152,--,Bobby Brown III,Texas A&M,DL3T,"6'4""",315,JR,2020-12-25,Eligible
153,--,Ihmir Smith-Marsette,Iowa,WR,"6'2""",175,SR,2020-12-25,Eligible
154,--,Kylin Hill,Mississippi State,RB,"5'11""",215,SR,2020-12-25,Eligible
155,--,Jaelan Phillips,Miami (FL),EDGE,"6'5""",255,RJR,2020-12-25,Eligible
156,-56,Caden Sterns,Texas,S,"6'0""",210,JR,2020-12-25,Eligible
157,--,Malik Herring,Georgia,DL5T,"6'3""",280,SR,2020-12-25,Eligible
158,--,Keith Taylor,Washington,CB,"6'3""",196,SR,2020-12-25,Eligible
159,-45,Tamorrion Terry,Florida State,WR,"6'4""",203,RJR,2020-12-25,Eligible
160,--,Jordan Williams,Clemson,DL3T,"6'4""",310,RJR,2020-12-25,Eligible
161,--,Braydon Johnson,Oklahoma State,WR,6'1'',195,JR,2020-12-25,Eligible
162,-17,Smoke Monday,Auburn,S,"6'1""",196,JR,2020-12-25,Eligible
163,--,Elijah Mitchell,Louisiana-Lafayette,RB,"5'11""",221,SR,2020-12-25,Eligible
164,--,Dimitri Moore,Vanderbilt,OLB,6'3'',230,RJR,2020-12-25,Eligible
165,--,Rashad Weaver,Pitt,EDGE,"6'5""",270,RSR,2020-12-25,Eligible
166,--,Pooka Williams,Kansas,RBC,"5'10""",170,JR,2020-12-25,Eligible
167,NEW,Micah McFadden,Indiana,OLB,"6'2"" ",235,JR,2020-12-25,Eligible
168,--,Alaric Jackson,Iowa,OT,"6'6""",315,RSR,2020-12-25,Eligible
169,--,Jarrett Patterson,Notre Dame,OC,6'5'',305,JR,2020-12-25,Eligible
170,+60,Olaijah Griffin,USC,CB,6'0'',170,JR,2020-12-25,Eligible
171,-25,Damon Hazelton,Missouri,WR,"6'2""",215,RSR,2020-12-25,Eligible
172,--,Tariq Thompson,San Diego State,S,"6'0""",200,SR,2020-12-25,Eligible
173,--,J.D. Spielman,Nebraska,WRS,"5'9""",180,RSR,2020-12-25,Eligible
174,--,Chris Rumph II,Duke,EDGE,"6'3""",225,RJR,2020-12-25,Eligible
175,--,Monty Rice,Georgia,ILB,"6'1""",235,SR,2020-12-25,Eligible
176,--,Cade Mays,Tennessee,OG,"6'5""",320,RJR,2020-12-25,Eligible
177,+21,Roger McCreary,Auburn,CB,6'0'',188,JR,2020-12-25,Eligible
178,NEW,Ta'Quon Graham,Texas,DL3T,"6'4""",294,SR,2020-12-25,Eligible
179,--,K.J. Britt,Auburn,ILB,"6'0""",236,JR,2020-12-25,Eligible
