Rank,Change,Player,School,Position,Height,Weight,CollegeClass,Date,DraftStatus
45,--,Carlos Basham Jr.,Wake Forest,DL5T,"6'5""",285,RSR,2021-04-19,Eligible
46,--,Creed Humphrey,Oklahoma,OC,"6'5""",320,RJR,2021-04-19,Eligible
47,--,Tyson Campbell,Georgia,CB,"6'2""",180,JR,2021-04-19,Eligible
48,--,Andre Cisco,Syracuse,S,"6'0""",203,JR,2021-04-19,Eligible
49,--,Jevon Holland,Oregon,S,"6'1""",196,JR,2021-04-19,Eligible
50,--,Dylan Moses,Alabama,OLB,"6'3""",235,SR,2021-04-19,Eligible
51,--,Jay Tufele,USC,DL3T,"6'2""",310,RJR,2021-04-19,Eligible
52,--,Levi Onwuzurike,Washington,DL3T,"6'3""",293,RSR,2021-04-19,Eligible
53,--,Jabril Cox,LSU,OLB,"6'2""",233,RSR,2021-04-19,Eligible
54,--,Javonte Williams,North Carolina,RB,"5'10""",220,JR,2021-04-19,Eligible
55,--,Liam Eichenberg,Notre Dame,OT,"6'6""",302,RSR,2021-04-19,Eligible
56,--,Pat Freiermuth,Penn State,TE,"6'5""",250,JR,2021-04-19,Eligible
57,--,Jaylen Twyman,Pitt,DL5T,"6'2""",290,RJR,2021-04-19,Eligible
58,--,Elijah Moore,Ole Miss,WRS,"5'9""",184,JR,2021-04-19,Eligible
59,--,Tylan Wallace,Oklahoma State,WR,"6'0""",185,SR,2021-04-19,Eligible
60,--,Ben Cleveland,Georgia,OG,"6'6""",335,RSR,2021-04-19,Eligible
61,--,Landon Dickerson,Alabama,OC,6'6'',325,RSR,2021-04-19,Eligible
62,--,Elijah Molden,Washington,CB,"5'10""",186,SR,2021-04-19,Eligible
63,+7,Amon-Ra St. Brown,USC,WR,"6'1""",195,JR,2021-04-19,Eligible
64,--,Hamsah Nasirildeen,Florida State,S,"6'4""",215,SR,2021-04-19,Eligible
65,--,Jackson Carman,Clemson,OT,"6'5""",335,JR,2021-04-19,Eligible
66,--,Joe Tryon,Washington,EDGE,"6'5""",262,RJR,2021-04-19,Eligible
67,--,Seth Williams,Auburn,WR,"6'2""",224,JR,2021-04-19,Eligible
68,-6,Marvin Wilson,Florida State,DL1T,"6'3""",319,SR,2021-04-19,Eligible
69,--,Alim McNeill,NC State,DL3T,"6'2""",320,JR,2021-04-19,Eligible
70,--,Eric Stokes,Georgia,CB,"6'1""",185,RJR,2021-04-19,Eligible
71,-12,Tyler Shelvin,LSU,DL1T,"6'3""",346,RJR,2021-04-19,Eligible
72,--,Cameron McGrone,Michigan,OLB,6'1'',232,RSO,2021-04-19,Eligible
73,--,Dyami Brown,North Carolina,WR,"6'1""",185,JR,2021-04-19,Eligible
74,--,Chazz Surratt,North Carolina,OLB,"6'3""",230,RSR,2021-04-19,Eligible
75,--,Dillon Radunz,North Dakota State,OT,6'6'',299,SR,2021-04-19,Eligible
76,+9,Jamin Davis,Kentucky,ILB,"6'4""",234,JR,2021-04-19,Eligible
77,--,Ronnie Perkins,Oklahoma,OLB,6'4',230,JR,2021-04-19,Eligible
78,--,Michael Carter,North Carolina,RBC,"5'9""",195,SR,2021-04-19,Eligible
79,--,Baron Browning,Ohio State,ILB,"6'3""",248,SR,2021-04-19,Eligible
80,--,Ifeatu Melifonwu,Syracuse,CB,"6'3""",212,RJR,2021-04-19,Eligible
81,--,Kyle Trask,Florida,QB,6'4'',240,RSR,2021-04-19,Eligible
82,--,Quinn Meinerz,UW–Whitewater,OC,"6'3""",320,SR,2021-04-19,Eligible
83,--,Josh Myers,Ohio State,OC,6'5'',312,RJR,2021-04-19,Eligible
84,--,Kenneth Gainwell,Memphis,RB,"5'11""",191,RSO,2021-04-19,Eligible
85,--,Talanoa Hufanga,USC,S,"6'1""",215,JR,2021-04-19,Eligible
86,-8,Kellen Mond,Texas A&M,QB,"6'3""",217,SR,2021-04-19,Eligible
87,--,Patrick Jones II,Pitt,EDGE,"6'5""",260,RSR,2021-04-19,Eligible
88,--,D'Wayne Eskridge,Western Michigan,WRS,"5'9""",188,SR,2021-04-19,Eligible
89,--,Walker Little,Stanford,OT,"6'7""",313,SR,2021-04-19,Eligible
90,--,Rashad Weaver,Pitt,EDGE,"6'5""",270,RSR,2021-04-19,Eligible
91,--,Spencer K. Brown,Northern Iowa,OT,6'9'',321,RSR,2021-04-19,Eligible
92,--,Kelvin Joseph,Kentucky,CB,"6'1""",192,JR,2021-04-19,Eligible
93,--,Paulson Adebo,Stanford,CB,"6'1""",190,SR,2021-04-19,Eligible
94,--,Tutu Atwell,Louisville,WRS,"5'9""",156,JR,2021-04-19,Eligible
95,--,Aaron Robinson,UCF,CB,5'11'',193,RSR,2021-04-19,Eligible
96,--,Marlon Tuipulotu,USC,DL3T,"6'1""",308,RJR,2021-04-19,Eligible
97,--,Brevin Jordan,Miami (FL),TE,"6'3""",245,JR,2021-04-19,Eligible
98,--,Dayo Odeyingbo,Vanderbilt,DL5T,6'5'',279,SR,2021-04-19,Eligible
99,-8,Darius Stills,West Virginia,DL5T,"6'1""",285,SR,2021-04-19,Eligible
100,+25,Brady Christensen,BYU,OT,6'6'',300,RJR,2021-04-19,Eligible
101,--,Quincy Roche,Miami (FL),EDGE,"6'4""",235,RSR,2021-04-19,Eligible
102,--,Anthony Schwartz,Auburn,WR,"6'0""",197,JR,2021-04-19,Eligible
103,--,Chuba Hubbard,Oklahoma State,RB,"6'1""",207,RJR,2021-04-19,Eligible
104,--,Caden Sterns,Texas,S,"6'0""",210,JR,2021-04-19,Eligible
105,--,Hunter Long,Boston College,TE,"6'5""",253,JR,2021-04-19,Eligible
106,-7,Shaun Wade,Ohio State,CB,"6'1""",194,RJR,2021-04-19,Eligible
107,--,Bobby Brown III,Texas A&M,DL1T,"6'3""",325,JR,2021-04-19,Eligible
108,--,Deonte Brown,Alabama,OG,6'4'',350,RSR,2021-04-19,Eligible
109,--,Pete Werner,Ohio State,ILB,6'3'',239,SR,2021-04-19,Eligible
110,+12,Aaron Banks,Notre Dame,OG,"6'5""",330,RJR,2021-04-19,Eligible
111,+12,Tommy Tremble,Notre Dame,TE,6'4',248,JR,2021-04-19,Eligible
112,--,Khalil Herbert,Virginia Tech,RBC,"5'9""",205,RSR,2021-04-19,Eligible
113,--,Jamie Newman,Georgia,QB,"6'4""",230,RSR,2021-04-19,Eligible
114,--,Paris Ford,Pitt,S,"6'0""",190,RJR,2021-04-19,Eligible
115,-10,Damonte Coxie,Memphis,WR,6'3'',197,SR,2021-04-19,Eligible
116,--,Israel Mukuamu,South Carolina,CB,"6'3""",205,JR,2021-04-19,Eligible
117,--,Tommy Togiai,Ohio State,DL3T,"6'2""",300,JR,2021-04-19,Eligible
118,--,Ar'Darius Washington,TCU,S,"5'8""",175,RSO,2021-04-19,Eligible
119,--,Sage Surratt,Wake Forest,WR,"6'2""",215,RJR,2021-04-19,Eligible
120,-11,Drake Jackson,Kentucky,OC,6'2'',292,RSR,2021-04-19,Eligible
121,--,Ihmir Smith-Marsette,Iowa,WR,"6'2""",175,SR,2021-04-19,Eligible
122,+13,James Hudson,Cincinnati,OT,"6'5""",310,JR,2021-04-19,Eligible
123,--,Divine Deablo,Virginia Tech,S,6'3'',226,RSR,2021-04-19,Eligible
124,--,Marlon Williams,UCF,WR,"6'0""",215,SR,2021-04-19,Eligible
125,+13,Nico Collins,Michigan,WR,"6'4""",222,SR,2021-04-19,Eligible
126,-20,Jaelon Darden,North Texas,WRS,"5'9""",174,SR,2021-04-19,Eligible
127,--,Trey Hill,Georgia,OC,"6'4""",330,JR,2021-04-19,Eligible
128,+31,Derrick Barnes,Purdue,ILB,"6'1""",240,SR,2021-04-19,Eligible
129,--,Charles Snowden,Virginia,OLB,"6'6""",232,SR,2021-04-19,Eligible
130,+30,Shaka Toney,Penn State,EDGE,"6'3""",243,RSR,2021-04-19,Eligible
131,--,Trill Williams,Syracuse,CB,6'2',198,JR,2021-04-19,Eligible
132,--,Jonathan Marshall,Arkansas,DL1T,"6'3""",317,RSR,2021-04-19,Eligible
133,--,Marco Wilson,Florida,CB,"6'0""",190,RJR,2021-04-19,Eligible
134,--,Olaijah Griffin,USC,CB,6'0'',170,JR,2021-04-19,Eligible
135,--,Hamilcar Rashed,Oregon State,EDGE,6'3'',248,RSR,2021-04-19,Eligible
136,--,Shakur Brown,Michigan State,CB,"5'11""",190,RJR,2021-04-19,Eligible
137,+15,Milton Williams,Louisiana Tech,DL5T,"6'4""",278,RJR,2021-04-19,Eligible
138,--,Rodarius Williams,Oklahoma State,CB,"6'0""",193,RSR,2021-04-19,Eligible
139,--,Tariq Thompson,San Diego State,S,"6'0""",200,SR,2021-04-19,Eligible
140,--,Chris Rumph II,Duke,EDGE,"6'3""",225,RJR,2021-04-19,Eligible
141,--,Keith Taylor,Washington,CB,"6'3""",191,SR,2021-04-19,Eligible
142,--,Tedarrell Slaton,Florida,DL1T,"6'5""",358,SR,2021-04-19,Eligible
143,--,Cameron Sample,Tulane,EDGE,"6'3""",280,SR,2021-04-19,Eligible
144,--,Monty Rice,Georgia,OLB,"6'1""",235,SR,2021-04-19,Eligible
145,--,Trey Sermon,Ohio State,RB,"6'0""",224,SR,2021-04-19,Eligible
146,--,Demetric Felton,UCLA,RBC,"5'9""",189,JR,2021-04-19,Eligible
147,--,Ta'Quon Graham,Texas,DL3T,"6'4""",294,SR,2021-04-19,Eligible
148,--,JaCoby Stevens,LSU,S,6'1'',228,SR,2021-04-19,Eligible
149,+16,Amari Rodgers,Clemson,WR,"5'9""",210,SR,2021-04-19,Eligible
150,--,Jamien Sherwood,Auburn,S,6'2'',220,SR,2021-04-19,Eligible
151,+36,Robert Rochell,Central Arkansas,CB,6'0'',195,RSR,2021-04-19,Eligible
152,--,Tony Poljan,Virginia,TE,"6'7""",265,RSR,2021-04-19,Eligible
153,--,Rhamondre Stevenson,Oklahoma,RB,"6'0""",236,SR,2021-04-19,Eligible
154,--,Darren Hall,San Diego State,CB,"6'0""",190,JR,2021-04-19,Eligible
155,--,Tommy Doyle,Miami (OH),OT,6'8'',326,RSR,2021-04-19,Eligible
156,-14,K.J. Britt,Auburn,ILB,"6'0""",236,JR,2021-04-19,Eligible
157,--,Jordan Smith,UAB,EDGE,"6'7""",255,RJR,2021-04-19,Eligible
158,--,Jack Anderson,Texas Tech,OG,"6'5""",315,RJR,2021-04-19,Eligible
159,+36,Benjamin St-Juste,Minnesota,CB,"6'3""",200,JR,2021-04-19,Eligible
160,--,Robert Hainsey,Notre Dame,OT,"6'5""",295,SR,2021-04-19,Eligible
161,--,Damon Hazelton,Missouri,WR,"6'2""",215,RSR,2021-04-19,Eligible
