Rank,Change,Player,School,Position,Height,Weight,CollegeClass,Date,DraftStatus
1,--,Trevor Lawrence,Clemson,QB,"6'6""",220,JR,2020-10-09,Eligible
2,--,Penei Sewell,Oregon,OT,"6'5""",325,JR,2020-10-09,Eligible
3,--,Justin Fields,Ohio State,QB,"6'2""",223,JR,2020-10-09,Eligible
4,--,Gregory Rousseau,Miami (FL),EDGE,"6'5""",260,RSO,2020-10-09,Eligible
5,--,Ja'Marr Chase,LSU,WR,"6'1""",200,JR,2020-10-09,Eligible
6,--,Patrick Surtain II,Alabama,CB,"6'1""",203,JR,2020-10-09,Eligible
7,--,Shaun Wade,Ohio State,CB,"6'1""",194,RJR,2020-10-09,Eligible
8,--,Marvin Wilson,Florida State,DL1T,"6'5""",311,SR,2020-10-09,Eligible
9,+4,Micah Parsons,Penn State,ILB,"6'2""",245,JR,2020-10-09,Eligible
10,--,Carlos Basham Jr.,Wake Forest,DL5T,"6'5""",275,JR,2020-10-09,Eligible
11,--,Jaylen Twyman,Pitt,DL3T,"6'2""",290,RJR,2020-10-09,Eligible
12,-3,DeVonta Smith,Alabama,WR,"6'1""",175,SR,2020-10-09,Eligible
13,--,Travis Etienne,Clemson,RB,"5'10""",210,SR,2020-10-09,Eligible
14,+2,Israel Mukuamu,South Carolina,CB,"6'3""",205,JR,2020-10-09,Eligible
15,+3,Tyler Shelvin,LSU,DL1T,"6'3""",346,RJR,2020-10-09,Eligible
16,+12,Kyle Pitts,Florida,TE,"6'5""",239,JR,2020-10-09,Eligible
17,-7,Alex Leatherwood,Alabama,OT,"6'6""",310,SR,2020-10-09,Eligible
18,-7,Rashod Bateman,Minnesota,WR,"6'1""",210,JR,2020-10-09,Eligible
19,+2,Jevon Holland,Oregon,S,"6'1""",196,JR,2020-10-09,Eligible
20,-9,Creed Humphrey,Oklahoma,OC,"6'5""",316,RJR,2020-10-09,Eligible
21,--,Andre Cisco,Syracuse,S,"6'0""",203,JR,2020-10-09,Eligible
22,+2,Dylan Moses,Alabama,OLB,"6'3""",235,SR,2020-10-09,Eligible
23,-6,Rondale Moore,Purdue,WRS,"5'9""",175,JR,2020-10-09,Eligible
24,-20,Walker Little,Stanford,OT,"6'7""",309,SR,2020-10-09,Eligible
25,+10,Jayson Oweh,Penn State,EDGE,"6'5""",257,JR,2020-10-09,Eligible
26,+1,Paulson Adebo,Stanford,CB,"6'1""",190,SR,2020-10-09,Eligible
27,+6,Samuel Cosmi,Texas,OT,"6'7""",300,RJR,2020-10-09,Eligible
28,-10,Wyatt Davis,Ohio State,OG,"6'4""",310,RJR,2020-10-09,Eligible
29,-3,Jaylen Waddle,Alabama,WRS,"5'10""",182,JR,2020-10-09,Eligible
30,-1,Tedarrell Slaton,Florida,DL1T,"6'5""",358,JR,2020-10-09,Eligible
31,+1,Tyson Campbell,Georgia,CB,"6'2""",180,JR,2020-10-09,Eligible
32,-2,Josh Jobe,Alabama,CB,6'1'',189,JR,2020-10-09,Eligible
33,-26,Trey Lance,North Dakota State,QB,"6'3""",221,RSO,2020-10-09,Eligible
34,--,Seth Williams,Auburn,WR,"6'2""",224,JR,2020-10-09,Eligible
35,-17,Richard LeCounte III,Georgia,S,"5'11""",190,SR,2020-10-09,Eligible
36,--,Najee Harris,Alabama,RB,"6'2""",230,SR,2020-10-09,Eligible
37,-10,Hamilcar Rashed,Oregon State,EDGE,6'4'',233,RSR,2020-10-09,Eligible
38,--,Cade Mays,Tennessee,OG,"6'5""",318,JR,2020-10-09,Eligible
39,-11,Deonte Brown,Alabama,OG,6'4'',338,SR,2020-10-09,Eligible
40,+20,Kyle Trask,Florida,QB,6'4'',234,RSR,2020-10-09,Eligible
41,--,Trey Smith,Tennessee,OG,"6'6""",325,SR,2020-10-09,Eligible
42,-10,Josh Myers,Ohio State,OC,6'5'',305,RJR,2020-10-09,Eligible
43,-1,Caden Sterns,Texas,S,"6'0""",210,JR,2020-10-09,Eligible
44,--,Baron Browning,Ohio State,ILB,"6'3""",248,SR,2020-10-09,Eligible
45,-8,Jaycee Horn,South Carolina,CB,"6'0""",200,JR,2020-10-09,Eligible
46,--,Patrick Jones II,Pitt,EDGE,"6'5""",260,RSR,2020-10-09,Eligible
47,--,Amon-Ra St. Brown,USC,WR,"6'1""",195,JR,2020-10-09,Eligible
48,--,Brevin Jordan,Miami (FL),TE,"6'3""",245,JR,2020-10-09,Eligible
49,--,Jackson Carman,Clemson,OT,"6'5""",345,JR,2020-10-09,Eligible
50,--,Marlon Tuipulotu,USC,DL3T,6'3'',305,JR,2020-10-09,Eligible
51,-10,Chuba Hubbard,Oklahoma State,RB,"6'1""",207,RJR,2020-10-09,Eligible
52,-22,Jalen Mayfield,Michigan,OT,"6'5""",319,RSO,2020-10-09,Eligible
53,--,Quincy Roche,Miami (FL),EDGE,"6'4""",235,RSR,2020-10-09,Eligible
54,--,Trey Hill,Georgia,OC,"6'4""",330,JR,2020-10-09,Eligible
