Pick,Round,Player,School,Position,Team,ReachValue,Points,Date,State
1,1,Trevor Lawrence,Clemson,QB,Jacksonville,+0,40,2021-04-08,South Carolina
2,1,Zach Wilson,BYU,QB,NY Jets,-2,35,2021-04-08,Utah
3,1,Justin Fields,Ohio State,QB,San Francisco (Trade),-3,35,2021-04-08,Ohio
4,1,Kyle Pitts,Florida,TE,Atlanta,-1,35,2021-04-08,Florida
5,1,Penei Sewell,Oregon,OT,Cincinnati,+3,35,2021-04-08,Oregon
6,1,Ja'Marr Chase,LSU,WR,Miami (Trade),+3,35,2021-04-08,Louisiana
7,1,DeVonta Smith,Alabama,WR,Detroit,-2,35,2021-04-08,Alabama
8,1,Rashawn Slater,Northwestern,OT,Carolina,-3,35,2021-04-08,Illinois
9,1,Micah Parsons,Penn State,ILB,Denver,-4,35,2021-04-08,Pennsylvania
10,1,Trey Lance,North Dakota State,QB,New England (SIM Trade),+0,35,2021-04-08,North Dakota
11,1,Mac Jones,Alabama,QB,Chicago (SIM Trade),-5,30,2021-04-08,Alabama
12,1,Jaylen Waddle,Alabama,WRS,Philadelphia (Trade),+5,30,2021-04-08,Alabama
13,1,Kwity Paye,Michigan,EDGE,LA Chargers,-6,30,2021-04-08,Michigan
14,1,Samuel Cosmi,Texas,OT,Minnesota,-1,30,2021-04-08,Texas
15,1,Jaycee Horn,South Carolina,CB,Dallas (SIM Trade),+3,30,2021-04-08,South Carolina
16,1,Patrick Surtain II,Alabama,CB,Arizona,+8,30,2021-04-08,Alabama
17,1,Teven Jenkins,Oklahoma State,OT,Las Vegas,-21,30,2021-04-08,Oklahoma
18,1,Jaelan Phillips,Miami (FL),EDGE,Miami,+0,30,2021-04-08,Florida
19,1,Christian Darrisaw,Virginia Tech,OT,Washington,+5,30,2021-04-08,Virginia
20,1,Azeez Ojulari,Georgia,EDGE,NY Giants (SIM Trade),-1,30,2021-04-08,Georgia
21,1,Alex Leatherwood,Alabama,OT,Indianapolis,-7,25,2021-04-08,Alabama
22,1,Asante Samuel Jr.,Florida State,CB,Tennessee,-2,25,2021-04-08,Florida
23,1,Wyatt Davis,Ohio State,OG,NY Jets (Trade),-7,25,2021-04-08,Ohio
24,1,Najee Harris,Alabama,RB,Pittsburgh,-16,25,2021-04-08,Alabama
25,1,Alijah Vera-Tucker,USC,OT,Jacksonville (Trade),+2,25,2021-04-08,California
26,1,Gregory Rousseau,Miami (FL),EDGE,Cleveland,-15,25,2021-04-08,Florida
27,1,Rashod Bateman,Minnesota,WR,Baltimore,+7,25,2021-04-08,Minnesota
28,1,Kadarius Toney,Florida,WR,New Orleans,-16,25,2021-04-08,Florida
29,1,Christian Barmore,Alabama,DL3T,Green Bay,+7,25,2021-04-08,Alabama
30,1,Jalen Mayfield,Michigan,OT,Buffalo,-7,25,2021-04-08,Michigan
31,1,Jayson Oweh,Penn State,EDGE,Kansas City,-5,25,2021-04-08,Pennsylvania
32,1,Joseph Ossai,Texas,EDGE,Tampa Bay,-2,25,2021-04-08,Texas
33,2,Rondale Moore,Purdue,WRS,Jacksonville,+4,20,2021-04-08,Indiana
34,2,Greg Newsome II,Northwestern,CB,NY Jets,+9,20,2021-04-08,Illinois
35,2,Trevon Moehrig,TCU,S,Atlanta,+18,20,2021-04-08,Texas
36,2,Richie Grant,UCF,S,Miami (Trade),+4,20,2021-04-08,Florida
37,2,Carlos Basham Jr.,Wake Forest,EDGE,Philadelphia,-8,20,2021-04-08,North Carolina
38,2,Jeremiah Owusu-Koramoah,Notre Dame,OLB,Cincinnati,+11,20,2021-04-08,Indiana
39,2,Caleb Farley,Virginia Tech,CB,Carolina,+8,20,2021-04-08,Virginia
40,2,Zaven Collins,Tulsa,OLB,Denver,+7,20,2021-04-08,Oklahoma
41,2,Nick Bolton,Missouri,ILB,Detroit,+2,20,2021-04-08,Missouri
42,2,Liam Eichenberg,Notre Dame,OT,NY Giants,-12,20,2021-04-08,Indiana
43,2,Terrace Marshall,LSU,WR,San Francisco,+8,20,2021-04-08,Louisiana
44,2,Jevon Holland,Oregon,S,Dallas,-5,20,2021-04-08,Oregon
45,2,Daviyon Nixon,Iowa,DL3T,Jacksonville (Trade),+3,20,2021-04-08,Iowa
46,2,Joe Tryon,Washington,EDGE,Dallas (SIM Trade),-22,20,2021-04-08,Washington
47,2,Jackson Carman,Clemson,OT,LA Chargers,-20,20,2021-04-08,South Carolina
48,2,Andre Cisco,Syracuse,S,Las Vegas,+0,20,2021-04-08,New York
49,2,Trey Smith,Tennessee,OG,Arizona,+6,15,2021-04-08,Tennessee
50,2,Travis Etienne,Clemson,RB,Miami,+24,15,2021-04-08,South Carolina
51,2,Dylan Moses,Alabama,OLB,Washington,+1,15,2021-04-08,Alabama
