Pick,Round,Player,School,Position,Team,ReachValue,Points,Date,State
1,1,Trevor Lawrence,Clemson,QB,NY Jets,+0,40,2020-12-16,South Carolina
2,1,Justin Fields,Ohio State,QB,Jacksonville,-1,35,2020-12-16,Ohio
3,1,Micah Parsons,Penn State,ILB,Cincinnati,-4,35,2020-12-16,Pennsylvania
4,1,Gregory Rousseau,Miami (FL),EDGE,LA Chargers,-4,35,2020-12-16,Florida
5,1,Penei Sewell,Oregon,OT,Dallas,+3,35,2020-12-16,Oregon
6,1,Zach Wilson,BYU,QB,Carolina,-6,35,2020-12-16,Utah
7,1,Caleb Farley,Virginia Tech,CB,Atlanta,+2,35,2020-12-16,Virginia
8,1,Ja'Marr Chase,LSU,WR,Miami (Trade),+4,35,2020-12-16,Louisiana
9,1,Patrick Surtain II,Alabama,CB,Philadelphia,+3,35,2020-12-16,Alabama
10,1,Rondale Moore,Purdue,WRS,NY Giants,-6,35,2020-12-16,Indiana
11,1,Jaylen Waddle,Alabama,WRS,Detroit,+2,30,2020-12-16,Alabama
12,1,Jaycee Horn,South Carolina,CB,San Francisco,-2,30,2020-12-16,South Carolina
13,1,Dylan Moses,Alabama,ILB,Denver,-9,30,2020-12-16,Alabama
14,1,Kyle Pitts,Florida,TE,Minnesota,+4,30,2020-12-16,Florida
15,1,Kyle Trask,Florida,QB,Chicago,-19,30,2020-12-16,Florida
16,1,Wyatt Davis,Ohio State,OG,New England,-4,30,2020-12-16,Ohio
17,1,DeVonta Smith,Alabama,WR,Las Vegas,+4,30,2020-12-16,Alabama
18,1,Paris Ford,Pitt,S,Baltimore,+1,30,2020-12-16,Pennsylvania
19,1,Trey Lance,North Dakota State,QB,Washington,-4,30,2020-12-16,North Dakota
20,1,Marvin Wilson,Florida State,DL3T,Arizona,+2,30,2020-12-16,Florida
21,1,Alex Leatherwood,Alabama,OT,Miami,+6,25,2020-12-16,Alabama
22,1,Rashod Bateman,Minnesota,WR,Tampa Bay,-4,25,2020-12-16,Minnesota
23,1,Samuel Cosmi,Texas,OT,Indianapolis,+2,25,2020-12-16,Texas
24,1,Trevon Moehrig,TCU,S,Cleveland,-4,25,2020-12-16,Texas
25,1,Travis Etienne,Clemson,RB,NY Jets (Trade),+14,25,2020-12-16,South Carolina
26,1,Walker Little,Stanford,OT,Jacksonville (Trade),-14,25,2020-12-16,California
27,1,Asante Samuel Jr.,Florida State,CB,Tennessee,+0,25,2020-12-16,Florida
28,1,Creed Humphrey,Oklahoma,OC,Buffalo,+4,25,2020-12-16,Oklahoma
29,1,Kwity Paye,Michigan,DL5T,Green Bay,+4,25,2020-12-16,Michigan
30,1,Tyson Campbell,Georgia,CB,Pittsburgh,-8,25,2020-12-16,Georgia
31,1,Nick Bolton,Missouri,ILB,New Orleans,-4,25,2020-12-16,Missouri
32,1,Christian Barmore,Alabama,DL5T,Kansas City,+1,25,2020-12-16,Alabama
33,2,Carlos Basham Jr.,Wake Forest,EDGE,NY Jets,+5,20,2020-12-16,North Carolina
34,2,Shaun Wade,Ohio State,CB,Jacksonville,+2,20,2020-12-16,Ohio
35,2,Andre Cisco,Syracuse,S,Cincinnati,+6,20,2020-12-16,New York
36,2,Derion Kendrick,Clemson,CB,Dallas,-5,20,2020-12-16,South Carolina
37,2,Trey Smith,Tennessee,OG,LA Chargers,-7,20,2020-12-16,Tennessee
38,2,Ben Cleveland,Georgia,OG,Miami (Trade),-17,20,2020-12-16,Georgia
39,2,Quincy Roche,Miami (FL),EDGE,Atlanta,-13,20,2020-12-16,Florida
40,2,Hunter Long,Boston College,TE,Carolina,+1,20,2020-12-16,Massachusetts
41,2,Terrace Marshall,LSU,WR,Philadelphia,-1,20,2020-12-16,Louisiana
42,2,Patrick Jones II,Pitt,EDGE,NY Giants,+9,20,2020-12-16,Pennsylvania
43,2,Joseph Ossai,Texas,EDGE,Detroit,-3,20,2020-12-16,Texas
44,2,Jayson Oweh,Penn State,EDGE,San Francisco,-24,20,2020-12-16,Pennsylvania
45,2,Jalen Mayfield,Michigan,OT,Denver,+0,20,2020-12-16,Michigan
46,2,Jaylen Twyman,Pitt,DL3T,Jacksonville (Trade),+9,20,2020-12-16,Pennsylvania
47,2,Seth Williams,Auburn,WR,Chicago,+4,20,2020-12-16,Alabama
48,2,Hamilcar Rashed,Oregon State,EDGE,New England,-3,20,2020-12-16,Oregon
49,2,Pat Freiermuth,Penn State,TE,Arizona,-8,15,2020-12-16,Pennsylvania
50,2,Jay Tufele,USC,DL3T,Las Vegas,-3,15,2020-12-16,California
51,2,Jeremiah Owusu-Koramoah,Notre Dame,OLB,Washington,+21,15,2020-12-16,Indiana
52,2,Tyler Shelvin,LSU,DL1T,Miami,-7,15,2020-12-16,Louisiana
53,2,Josh Myers,Ohio State,OC,Baltimore,+4,15,2020-12-16,Ohio
54,2,Darius Stills,West Virginia,DL3T,Tampa Bay,-13,15,2020-12-16,West Virginia
55,2,Chris Olave,Ohio State,WR,Indianapolis,+5,15,2020-12-16,Ohio
56,2,Azeez Ojulari,Georgia,EDGE,Cleveland,-29,15,2020-12-16,Georgia
57,2,Jackson Carman,Clemson,OT,Seattle,+10,15,2020-12-16,South Carolina
58,2,Chazz Surratt,North Carolina,ILB,LA Rams,+4,15,2020-12-16,North Carolina
59,2,Sage Surratt,Wake Forest,WR,Tennessee,-4,15,2020-12-16,North Carolina
60,2,Rodarius Williams,Oklahoma State,CB,Buffalo,+4,15,2020-12-16,Oklahoma
61,2,Javonte Williams,North Carolina,RB,Green Bay,-1,15,2020-12-16,North Carolina
62,2,Christian Darrisaw,Virginia Tech,OT,Pittsburgh,-19,15,2020-12-16,Virginia
63,2,Jamie Newman,Georgia,QB,New Orleans,-2,15,2020-12-16,Georgia
64,2,Tylan Wallace,Oklahoma State,WR,Kansas City,-6,15,2020-12-16,Oklahoma
65,3,Paulson Adebo,Stanford,CB,NY Jets,+1,10,2020-12-16,California
66,3,Richard LeCounte III,Georgia,S,Jacksonville,+18,10,2020-12-16,Georgia
67,3,Deonte Brown,Alabama,OG,Cincinnati,+1,10,2020-12-16,Alabama
68,3,Hamsah Nasirildeen,Florida State,S,Dallas,+8,10,2020-12-16,Florida
69,3,Israel Mukuamu,South Carolina,CB,LA Chargers,-4,10,2020-12-16,South Carolina
70,3,Najee Harris,Alabama,RB,Houston,+34,10,2020-12-16,Alabama
71,3,Jevon Holland,Oregon,S,Atlanta,+2,10,2020-12-16,Oregon
72,3,Eric Stokes,Georgia,CB,Carolina,-7,10,2020-12-16,Georgia
73,3,Rashawn Slater,Northwestern,OT,Philadelphia,-10,10,2020-12-16,Illinois
74,3,T.J. Carter,Memphis,CB,NY Giants,-15,10,2020-12-16,Tennessee
75,3,Amon-Ra St. Brown,USC,WR,Detroit,+0,10,2020-12-16,California
76,3,Brevin Jordan,Miami (FL),TE,Washington (Trade),+18,10,2020-12-16,Florida
77,3,Caden Sterns,Texas,S,Denver,-3,10,2020-12-16,Texas
78,3,Liam Eichenberg,Notre Dame,OT,Minnesota,-4,10,2020-12-16,Indiana
79,3,Kenneth Gainwell,Memphis,RB,Chicago,+7,10,2020-12-16,Tennessee
80,3,Zion Johnson,Boston College,OG,Arizona,-12,10,2020-12-16,Massachusetts
81,3,Joe Tryon,Washington,EDGE,Las Vegas,-7,10,2020-12-16,Washington
82,3,Marlon Williams,UCF,WR,Washington,-11,10,2020-12-16,Florida
83,3,Jaret Patterson,Buffalo,RB,Miami,-3,10,2020-12-16,New York
84,3,Alijah Vera-Tucker,USC,OG,Minnesota (Trade),-14,10,2020-12-16,California
85,3,Cameron McGrone,Michigan,OLB,Tampa Bay,+9,10,2020-12-16,Michigan
86,3,Aidan Hutchinson,Michigan,EDGE,Indianapolis,-6,10,2020-12-16,Michigan
87,3,Anthony Schwartz,Auburn,WR,Cleveland,-18,10,2020-12-16,Alabama
88,3,Charlie Kolar,Iowa State,TE,NY Jets (Trade),+11,10,2020-12-16,Iowa
89,3,Jabril Cox,LSU,OLB,LA Rams,+11,10,2020-12-16,Louisiana
90,3,Tyler Linderbaum,Iowa,OC,Tennessee,+19,10,2020-12-16,Iowa
