Pick,Round,Player,School,Position,Team,ReachValue,Points,Date,State
1,1,Trevor Lawrence,Clemson,QB,NY Jets,+0,40,2020-12-03,South Carolina
2,1,Justin Fields,Ohio State,QB,Jacksonville,-1,35,2020-12-03,Ohio
3,1,Gregory Rousseau,Miami (FL),EDGE,Cincinnati,-5,35,2020-12-03,Florida
4,1,Caleb Farley,Virginia Tech,CB,Dallas (Trade),-1,35,2020-12-03,Virginia
5,1,Penei Sewell,Oregon,OT,LA Chargers,+3,35,2020-12-03,Oregon
6,1,Micah Parsons,Penn State,ILB,Denver,-1,35,2020-12-03,Pennsylvania
7,1,Ja'Marr Chase,LSU,WR,Detroit,+3,35,2020-12-03,Louisiana
8,1,Zach Wilson,BYU,QB,Washington,-4,35,2020-12-03,Utah
9,1,Patrick Surtain II,Alabama,CB,Philadelphia,+3,35,2020-12-03,Alabama
10,1,Jaylen Waddle,Alabama,WRS,Miami (Trade),+1,35,2020-12-03,Alabama
11,1,Trey Lance,North Dakota State,QB,Carolina,-12,30,2020-12-03,North Dakota
12,1,Jaycee Horn,South Carolina,CB,Atlanta,-2,30,2020-12-03,South Carolina
13,1,DeVonta Smith,Alabama,WR,NY Giants,+0,30,2020-12-03,Alabama
14,1,Kyle Trask,Florida,QB,Chicago,-20,30,2020-12-03,Florida
15,1,Alex Leatherwood,Alabama,OT,Minnesota,+0,30,2020-12-03,Alabama
16,1,Kyle Pitts,Florida,TE,New England,+6,30,2020-12-03,Florida
17,1,Creed Humphrey,Oklahoma,OC,San Francisco,-7,30,2020-12-03,Oklahoma
18,1,Marvin Wilson,Florida State,DL3T,Las Vegas,+0,30,2020-12-03,Florida
19,1,Wyatt Davis,Ohio State,OG,Arizona,-1,30,2020-12-03,Ohio
20,1,Patrick Jones II,Pitt,EDGE,Indianapolis,-13,30,2020-12-03,Pennsylvania
21,1,Samuel Cosmi,Texas,OT,Jacksonville (Trade),+0,25,2020-12-03,Texas
22,1,Paris Ford,Pitt,S,Miami,+5,25,2020-12-03,Pennsylvania
23,1,Rondale Moore,Purdue,WRS,Tampa Bay,+7,25,2020-12-03,Indiana
24,1,Jayson Oweh,Penn State,EDGE,Cleveland,-44,25,2020-12-03,Pennsylvania
25,1,Rashod Bateman,Minnesota,WR,Baltimore,-1,25,2020-12-03,Minnesota
26,1,Dylan Moses,Alabama,OLB,Tennessee,+4,25,2020-12-03,Alabama
27,1,Hamsah Nasirildeen,Florida State,S,Buffalo,-33,25,2020-12-03,Florida
28,1,Travis Etienne,Clemson,RB,NY Jets (Trade),+17,25,2020-12-03,South Carolina
29,1,Shaun Wade,Ohio State,CB,Green Bay,-3,25,2020-12-03,Ohio
30,1,Nick Bolton,Missouri,ILB,New Orleans,-5,25,2020-12-03,Missouri
31,1,Carlos Basham Jr.,Wake Forest,EDGE,Kansas City,+3,25,2020-12-03,North Carolina
32,1,Asante Samuel Jr.,Florida State,CB,Pittsburgh,+5,25,2020-12-03,Florida
33,2,Tyson Campbell,Georgia,CB,NY Jets,-5,20,2020-12-03,Georgia
34,2,Derion Kendrick,Clemson,CB,Jacksonville,-7,20,2020-12-03,South Carolina
35,2,Kwity Paye,Michigan,DL5T,Cincinnati,+10,20,2020-12-03,Michigan
36,2,Trevon Moehrig,TCU,S,Dallas,+8,20,2020-12-03,Texas
37,2,Joseph Ossai,Texas,EDGE,LA Chargers,-9,20,2020-12-03,Texas
38,2,Walker Little,Stanford,OT,Denver,-2,20,2020-12-03,California
39,2,Christian Barmore,Alabama,DL3T,Detroit,+8,20,2020-12-03,Alabama
40,2,Andre Cisco,Syracuse,S,Washington,+11,20,2020-12-03,New York
41,2,Terrace Marshall,LSU,WR,Philadelphia,-1,20,2020-12-03,Louisiana
42,2,Trey Smith,Tennessee,OG,Miami (Trade),-2,20,2020-12-03,Tennessee
43,2,Jackson Carman,Clemson,OT,Carolina,-4,20,2020-12-03,South Carolina
44,2,Hamilcar Rashed,Oregon State,EDGE,Atlanta,-7,20,2020-12-03,Oregon
45,2,Quincy Roche,Miami (FL),EDGE,NY Giants,-7,20,2020-12-03,Florida
46,2,Seth Williams,Auburn,WR,Chicago,+3,20,2020-12-03,Alabama
47,2,Jaylen Twyman,Pitt,DL3T,Jacksonville (Trade),+10,20,2020-12-03,Pennsylvania
48,2,Jordan Davis,Georgia,DL1T,New England,-52,20,2020-12-03,Georgia
49,2,Rodarius Williams,Oklahoma State,CB,San Francisco,-7,15,2020-12-03,Oklahoma
50,2,Tyler Shelvin,LSU,DL1T,Las Vegas,-9,15,2020-12-03,Louisiana
51,2,Pat Freiermuth,Penn State,TE,Arizona,-6,15,2020-12-03,Pennsylvania
52,2,Ben Cleveland,Georgia,OG,Indianapolis,-3,15,2020-12-03,Georgia
53,2,Jeremiah Owusu-Koramoah,Notre Dame,OLB,LA Rams,+23,15,2020-12-03,Indiana
54,2,Najee Harris,Alabama,RB,Miami,+18,15,2020-12-03,Alabama
55,2,Jalen Mayfield,Michigan,OT,Tampa Bay,+10,15,2020-12-03,Michigan
56,2,Chris Olave,Ohio State,WR,Cleveland,+6,15,2020-12-03,Ohio
57,2,Josh Myers,Ohio State,OC,Baltimore,+8,15,2020-12-03,Ohio
58,2,Sage Surratt,Wake Forest,WR,Tennessee,-5,15,2020-12-03,North Carolina
