Pick,Round,Player,School,Position,Team,ReachValue,Points,Date,State
1,1,Trevor Lawrence,Clemson,QB,Jacksonville,+0,40,2021-04-14,South Carolina
2,1,Zach Wilson,BYU,QB,NY Jets,-2,35,2021-04-14,Utah
3,1,Mac Jones,Alabama,QB,San Francisco (Trade),-12,35,2021-04-14,Alabama
4,1,Kyle Pitts,Florida,TE,Atlanta,-1,35,2021-04-14,Florida
5,1,Penei Sewell,Oregon,OT,Cincinnati,+3,35,2021-04-14,Oregon
6,1,Ja'Marr Chase,LSU,WR,Miami (Trade),+3,35,2021-04-14,Louisiana
7,1,DeVonta Smith,Alabama,WR,Detroit,-2,35,2021-04-14,Alabama
8,1,Rashawn Slater,Northwestern,OT,Carolina,-3,35,2021-04-14,Illinois
9,1,Justin Fields,Ohio State,QB,New England (SIM Trade),+3,35,2021-04-14,Ohio
10,1,Patrick Surtain II,Alabama,CB,Dallas,+2,35,2021-04-14,Alabama
11,1,Jaylen Waddle,Alabama,WRS,NY Giants,+4,30,2021-04-14,Alabama
12,1,Jaycee Horn,South Carolina,CB,Philadelphia (Trade),+0,30,2021-04-14,South Carolina
13,1,Christian Darrisaw,Virginia Tech,OT,LA Chargers,-1,30,2021-04-14,Virginia
14,1,Trey Lance,North Dakota State,QB,Minnesota,+4,30,2021-04-14,North Dakota
15,1,Micah Parsons,Penn State,ILB,Denver (SIM Trade),+2,30,2021-04-14,Pennsylvania
16,1,Tyson Campbell,Georgia,CB,Arizona,-31,30,2021-04-14,Georgia
17,1,Trevon Moehrig,TCU,S,Las Vegas,+1,30,2021-04-14,Texas
18,1,Kwity Paye,Michigan,EDGE,Miami,+0,30,2021-04-14,Michigan
19,1,Samuel Cosmi,Texas,OT,Washington,-6,30,2021-04-14,Texas
20,1,Greg Newsome II,Northwestern,CB,Chicago,-4,30,2021-04-14,Illinois
21,1,Alex Leatherwood,Alabama,OT,Indianapolis,-7,25,2021-04-14,Alabama
22,1,Asante Samuel Jr.,Florida State,CB,Tennessee,-1,25,2021-04-14,Florida
23,1,Wyatt Davis,Ohio State,OG,NY Jets (Trade),-7,25,2021-04-14,Ohio
24,1,Jeremiah Owusu-Koramoah,Notre Dame,OLB,Pittsburgh,-3,25,2021-04-14,Indiana
25,1,Jalen Mayfield,Michigan,OT,Jacksonville (Trade),-12,25,2021-04-14,Michigan
26,1,Gregory Rousseau,Miami (FL),EDGE,Cleveland,-15,25,2021-04-14,Florida
27,1,Alijah Vera-Tucker,USC,OG,Baltimore,+5,25,2021-04-14,California
28,1,Rashod Bateman,Minnesota,WR,New Orleans,+9,25,2021-04-14,Minnesota
29,1,Christian Barmore,Alabama,DL3T,Green Bay,+8,25,2021-04-14,Alabama
30,1,Zaven Collins,Tulsa,OLB,Buffalo,-3,25,2021-04-14,Oklahoma
31,1,Teven Jenkins,Oklahoma State,OT,Kansas City,-7,25,2021-04-14,Oklahoma
32,1,Jaelan Phillips,Miami (FL),EDGE,Tampa Bay,+15,25,2021-04-14,Florida
33,2,Kadarius Toney,Florida,WR,Jacksonville,-11,20,2021-04-14,Florida
34,2,Caleb Farley,Virginia Tech,CB,NY Jets,+3,20,2021-04-14,Virginia
35,2,Joseph Ossai,Texas,EDGE,Atlanta,+1,20,2021-04-14,Texas
36,2,Najee Harris,Alabama,RB,Miami (Trade),-4,20,2021-04-14,Alabama
37,2,Terrace Marshall,LSU,WR,Philadelphia,+2,20,2021-04-14,Louisiana
38,2,Azeez Ojulari,Georgia,EDGE,Cincinnati,+18,20,2021-04-14,Georgia
39,2,Nick Bolton,Missouri,ILB,Carolina,+0,20,2021-04-14,Missouri
40,2,Travis Etienne,Clemson,RB,Denver,+14,20,2021-04-14,South Carolina
41,2,Jayson Oweh,Penn State,EDGE,Detroit,+5,20,2021-04-14,Pennsylvania
42,2,Liam Eichenberg,Notre Dame,OT,NY Giants,-13,20,2021-04-14,Indiana
43,2,Quinn Meinerz,UW–Whitewater,OC,San Francisco,-40,20,2021-04-14,Wisconsin
44,2,Richie Grant,UCF,S,Dallas,+12,20,2021-04-14,Florida
45,2,Andre Cisco,Syracuse,S,Jacksonville (Trade),-3,20,2021-04-14,New York
46,2,Tylan Wallace,Oklahoma State,WR,New England,-13,20,2021-04-14,Oklahoma
47,2,Carlos Basham Jr.,Wake Forest,EDGE,LA Chargers,-7,20,2021-04-14,North Carolina
48,2,Jackson Carman,Clemson,OT,Las Vegas,-19,20,2021-04-14,South Carolina
49,2,Ben Cleveland,Georgia,OG,Arizona,-11,15,2021-04-14,Georgia
50,2,Jevon Holland,Oregon,S,Miami,+1,15,2021-04-14,Oregon
51,2,Dylan Moses,Alabama,OLB,Washington,+1,15,2021-04-14,Alabama
52,2,Trey Smith,Tennessee,OG,Chicago,+9,15,2021-04-14,Tennessee
53,2,Seth Williams,Auburn,WR,Tennessee,-16,15,2021-04-14,Alabama
54,2,Rondale Moore,Purdue,WRS,Indianapolis,+25,15,2021-04-14,Indiana
55,2,Creed Humphrey,Oklahoma,OC,Pittsburgh,+9,15,2021-04-14,Oklahoma
56,2,Landon Dickerson,Alabama,OC,Seattle,-6,15,2021-04-14,Alabama
57,2,Joe Tryon,Washington,EDGE,LA Rams,-11,15,2021-04-14,Washington
58,2,Dyami Brown,North Carolina,WR,Baltimore,-16,15,2021-04-14,North Carolina
59,2,Ifeatu Melifonwu,Syracuse,CB,Cleveland,-22,15,2021-04-14,New York
60,2,Jabril Cox,LSU,OLB,New Orleans,+7,15,2021-04-14,Louisiana
61,2,Pat Freiermuth,Penn State,TE,Buffalo,+5,15,2021-04-14,Pennsylvania
62,2,Eric Stokes,Georgia,CB,Green Bay,-9,15,2021-04-14,Georgia
