Pick,Round,Player,School,Position,Team,ReachValue,Points,Date,State
1,1,Trevor Lawrence,Clemson,QB,Jacksonville,+0,40,2021-03-21,South Carolina
2,1,Zach Wilson,BYU,QB,NY Jets,-2,35,2021-03-21,Utah
3,1,Justin Fields,Ohio State,QB,Carolina (SIM Trade),-2,35,2021-03-21,Ohio
4,1,Trey Lance,North Dakota State,QB,New England (SIM Trade),-7,35,2021-03-21,North Dakota
5,1,Penei Sewell,Oregon,OT,Cincinnati,+3,35,2021-03-21,Oregon
6,1,Kyle Pitts,Florida,TE,Philadelphia,-1,35,2021-03-21,Florida
7,1,DeVonta Smith,Alabama,WR,Detroit,-3,35,2021-03-21,Alabama
8,1,Ja'Marr Chase,LSU,WR,Miami (SIM Trade),+5,35,2021-03-21,Louisiana
9,1,Micah Parsons,Penn State,ILB,Denver,-5,35,2021-03-21,Pennsylvania
10,1,Caleb Farley,Virginia Tech,CB,Dallas,+2,35,2021-03-21,Virginia
11,1,Jaylen Waddle,Alabama,WRS,NY Giants,+5,30,2021-03-21,Alabama
12,1,Jaycee Horn,South Carolina,CB,San Francisco,-3,30,2021-03-21,South Carolina
13,1,Patrick Surtain II,Alabama,CB,LA Chargers,+4,30,2021-03-21,Alabama
14,1,Gregory Rousseau,Miami (FL),EDGE,Minnesota,+1,30,2021-03-21,Florida
15,1,Kwity Paye,Michigan,EDGE,Atlanta (SIM Trade),-4,30,2021-03-21,Michigan
16,1,Greg Newsome II,Northwestern,CB,Arizona,-12,30,2021-03-21,Illinois
17,1,Christian Darrisaw,Virginia Tech,OT,Las Vegas,-4,30,2021-03-21,Virginia
18,1,Rashawn Slater,Northwestern,OT,Miami,+6,30,2021-03-21,Illinois
19,1,Rashod Bateman,Minnesota,WR,Washington,-1,30,2021-03-21,Minnesota
20,1,Mac Jones,Alabama,QB,Chicago,-6,30,2021-03-21,Alabama
21,1,Samuel Cosmi,Texas,OT,Indianapolis,-1,25,2021-03-21,Texas
22,1,Rondale Moore,Purdue,WRS,Tennessee,+4,25,2021-03-21,Indiana
23,1,Wyatt Davis,Ohio State,OG,NY Jets (Trade),+7,25,2021-03-21,Ohio
24,1,Zaven Collins,Tulsa,OLB,Pittsburgh,-13,25,2021-03-21,Oklahoma
25,1,Christian Barmore,Alabama,DL1T,Jacksonville (Trade),+8,25,2021-03-21,Alabama
26,1,Nick Bolton,Missouri,ILB,Cleveland,-6,25,2021-03-21,Missouri
27,1,Trevon Moehrig,TCU,S,Baltimore,+4,25,2021-03-21,Texas
28,1,Kadarius Toney,Florida,WR,New Orleans,-11,25,2021-03-21,Florida
29,1,Asante Samuel Jr.,Florida State,CB,Green Bay,+4,25,2021-03-21,Florida
30,1,Travis Etienne,Clemson,RB,Buffalo,+6,25,2021-03-21,South Carolina
31,1,Teven Jenkins,Oklahoma State,OT,Kansas City,-64,25,2021-03-21,Oklahoma
32,1,Daviyon Nixon,Iowa,DL3T,Tampa Bay,+5,25,2021-03-21,Iowa
33,2,Richie Grant,UCF,S,Jacksonville,+4,20,2021-03-21,Florida
34,2,Tyson Campbell,Georgia,CB,NY Jets,-9,20,2021-03-21,Georgia
35,2,Najee Harris,Alabama,RB,Atlanta,+0,20,2021-03-21,Alabama
36,2,Alijah Vera-Tucker,USC,OG,Miami (Trade),+2,20,2021-03-21,California
37,2,Jeremiah Owusu-Koramoah,Notre Dame,OLB,Philadelphia,+7,20,2021-03-21,Indiana
38,2,Azeez Ojulari,Georgia,EDGE,Cincinnati,+7,20,2021-03-21,Georgia
39,2,Andre Cisco,Syracuse,S,Carolina,-6,20,2021-03-21,New York
40,2,Marvin Wilson,Florida State,DL1T,Denver,-7,20,2021-03-21,Florida
41,2,Joseph Ossai,Texas,EDGE,Detroit,+8,20,2021-03-21,Texas
42,2,Jaelan Phillips,Miami (FL),EDGE,NY Giants,-6,20,2021-03-21,Florida
43,2,Quinn Meinerz,UW–Whitewater,OC,San Francisco,-33,20,2021-03-21,Wisconsin
44,2,Carlos Basham Jr.,Wake Forest,DL5T,Dallas,-9,20,2021-03-21,North Carolina
45,2,Walker Little,Stanford,OT,Jacksonville (Trade),-42,20,2021-03-21,California
46,2,Jevon Holland,Oregon,S,Atlanta (SIM Trade),-13,20,2021-03-21,Oregon
47,2,Alex Leatherwood,Alabama,OT,LA Chargers,+9,20,2021-03-21,Alabama
48,2,Hamsah Nasirildeen,Florida State,S,Las Vegas,-16,20,2021-03-21,Florida
49,2,Creed Humphrey,Oklahoma,OC,Arizona,+7,15,2021-03-21,Oklahoma
50,2,Jayson Oweh,Penn State,EDGE,Miami,-1,15,2021-03-21,Pennsylvania
51,2,Jalen Mayfield,Michigan,OT,Washington,+5,15,2021-03-21,Michigan
52,2,Elijah Moore,Ole Miss,WRS,Chicago,-5,15,2021-03-21,Mississippi
53,2,Pat Freiermuth,Penn State,TE,Tennessee,+3,15,2021-03-21,Pennsylvania
54,2,Trey Smith,Tennessee,OG,Indianapolis,+14,15,2021-03-21,Tennessee
55,2,Landon Dickerson,Alabama,OC,Pittsburgh,-5,15,2021-03-21,Alabama
56,2,Elijah Molden,Washington,CB,Seattle,+0,15,2021-03-21,Washington
57,2,Dylan Moses,Alabama,OLB,LA Rams,+8,15,2021-03-21,Alabama
58,2,Patrick Jones II,Pitt,EDGE,Baltimore,-9,15,2021-03-21,Pennsylvania
59,2,Ifeatu Melifonwu,Syracuse,CB,Cleveland,-14,15,2021-03-21,New York
60,2,Kyle Trask,Florida,QB,New Orleans,+19,15,2021-03-21,Florida
61,2,Shaun Wade,Ohio State,FS,Buffalo,-4,15,2021-03-21,Ohio
62,2,Tylan Wallace,Oklahoma State,WR,Green Bay,+10,15,2021-03-21,Oklahoma
63,2,Terrace Marshall,LSU,WR,Kansas City,+27,15,2021-03-21,Louisiana
64,2,Jackson Carman,Clemson,OT,Tampa Bay,-7,15,2021-03-21,South Carolina
106,4,Tutu Atwell,Louisville,WRS,Jacksonville,+8,8,2021-03-21,Kentucky
107,4,Chuba Hubbard,Oklahoma State,RB,NY Jets,+18,8,2021-03-21,Oklahoma
108,4,Jonathan Marshall,Arkansas,DL1T,Atlanta,-23,8,2021-03-21,Arkansas
109,4,Seth Williams,Auburn,WR,Houston,+13,8,2021-03-21,Alabama
110,4,Dazz Newsome,North Carolina,WR,Cleveland (Trade),+9,8,2021-03-21,North Carolina
111,4,Damonte Coxie,Memphis,WR,Cincinnati,+6,8,2021-03-21,Tennessee
