Pick,Round,Player,School,Position,Team,ReachValue,Points,Date,State
1,1,Trevor Lawrence,Clemson,QB,Carolina,+0,40,2020-09-03,South Carolina
2,1,Penei Sewell,Oregon,OT,Washington,+0,35,2020-09-03,Oregon
3,1,Justin Fields,Ohio State,QB,Jacksonville,+0,35,2020-09-03,Ohio
4,1,Gregory Rousseau,Miami (FL),EDGE,Cincinnati,+0,35,2020-09-03,Florida
5,1,Patrick Surtain II,Alabama,CB,NY Giants,-1,35,2020-09-03,Alabama
6,1,Shaun Wade,Ohio State,CB,NY Jets,-1,35,2020-09-03,Ohio
7,1,Ja'Marr Chase,LSU,WR,Miami,+2,35,2020-09-03,Louisiana
8,1,Alex Leatherwood,Alabama,OT,Detroit,-1,35,2020-09-03,Alabama
9,1,DeVonta Smith,Alabama,WR,Chicago,-6,35,2020-09-03,Alabama
10,1,Marvin Wilson,Florida State,DL3T,Las Vegas,+2,35,2020-09-03,Florida
11,1,Jevon Holland,Oregon,S,Cleveland,-15,30,2020-09-03,Oregon
12,1,Andre Cisco,Syracuse,S,Atlanta,-2,30,2020-09-03,New York
13,1,Micah Parsons,Penn State,ILB,Denver,+2,30,2020-09-03,Pennsylvania
14,1,Walker Little,Stanford,OT,Arizona,+4,30,2020-09-03,California
15,1,Xavier Thomas,Clemson,EDGE,LA Chargers,-9,30,2020-09-03,South Carolina
16,1,Carlos Basham Jr.,Wake Forest,DL5T,Miami (Trade),+3,30,2020-09-03,North Carolina
17,1,Travis Etienne,Clemson,RB,Jacksonville (Trade),-2,30,2020-09-03,South Carolina
18,1,Creed Humphrey,Oklahoma,OC,Pittsburgh,+6,30,2020-09-03,Oklahoma
19,1,Jayson Oweh,Penn State,EDGE,Philadelphia,-9,30,2020-09-03,Pennsylvania
20,1,Rashod Bateman,Minnesota,WR,Tennessee,+3,30,2020-09-03,Minnesota
21,1,Jalen Mayfield,Michigan,OT,Green Bay,+1,25,2020-09-03,Michigan
22,1,Trey Lance,North Dakota State,QB,New England,-17,25,2020-09-03,North Dakota
23,1,Rondale Moore,Purdue,WRS,Indianapolis,+7,25,2020-09-03,Indiana
24,1,Wyatt Davis,Ohio State,OG,Minnesota,+1,25,2020-09-03,Ohio
25,1,Caden Sterns,Texas,S,Dallas,-16,25,2020-09-03,Texas
26,1,Israel Mukuamu,South Carolina,CB,Buffalo,+5,25,2020-09-03,South Carolina
27,1,Jaylen Twyman,Pitt,DL3T,Tampa Bay,+9,25,2020-09-03,Pennsylvania
28,1,Tyler Shelvin,LSU,DL1T,NY Jets (Trade),+6,25,2020-09-03,Louisiana
29,1,Dylan Moses,Alabama,OLB,New Orleans,+2,25,2020-09-03,Alabama
30,1,Richard LeCounte III,Georgia,S,Baltimore,-2,25,2020-09-03,Georgia
31,1,Baron Browning,Ohio State,ILB,San Francisco,-20,25,2020-09-03,Ohio
32,1,Samuel Cosmi,Texas,OT,Kansas City,-2,25,2020-09-03,Texas
33,2,Jackson Carman,Clemson,OT,Carolina,-23,20,2020-09-03,South Carolina
34,2,Paulson Adebo,Stanford,CB,Washington,+4,20,2020-09-03,California
35,2,Kyle Pitts,Florida,TE,Jacksonville,+2,20,2020-09-03,Florida
36,2,Tyson Campbell,Georgia,CB,Cincinnati,+5,20,2020-09-03,Georgia
37,2,Hamilcar Rashed,Oregon State,EDGE,NY Giants,-11,20,2020-09-03,Oregon
38,2,Patrick Jones II,Pitt,EDGE,NY Jets,-14,20,2020-09-03,Pennsylvania
39,2,Liam Eichenberg,Notre Dame,OT,Miami,-1,20,2020-09-03,Indiana
40,2,Jaylen Waddle,Alabama,WRS,Detroit,+11,20,2020-09-03,Alabama
41,2,Jamie Newman,Georgia,QB,Chicago,+6,20,2020-09-03,Georgia
42,2,Seth Williams,Auburn,WR,Las Vegas,+0,20,2020-09-03,Alabama
43,2,Deonte Brown,Alabama,OG,Cleveland,+18,20,2020-09-03,Alabama
44,2,Najee Harris,Alabama,RB,Atlanta,+0,20,2020-09-03,Alabama
45,2,Thayer Munford,Ohio State,OT,Denver,+0,20,2020-09-03,Ohio
46,2,Cade Mays,Tennessee,OG,Arizona,-3,20,2020-09-03,Tennessee
47,2,Trey Smith,Tennessee,OG,LA Chargers,-3,20,2020-09-03,Tennessee
48,2,Tedarrell Slaton,Florida,DL1T,Miami (Trade),+12,20,2020-09-03,Florida
49,2,Josh Jobe,Alabama,CB,LA Rams,+11,15,2020-09-03,Alabama
50,2,Brevin Jordan,Miami (FL),TE,Pittsburgh,-4,15,2020-09-03,Florida
51,2,Amon-Ra St. Brown,USC,WR,Philadelphia,-2,15,2020-09-03,California
52,2,Josh Myers,Ohio State,OC,Tennessee,+15,15,2020-09-03,Ohio
53,2,Sage Surratt,Wake Forest,WR,Green Bay,-7,15,2020-09-03,North Carolina
54,2,Quincy Roche,Miami (FL),EDGE,New England,-4,15,2020-09-03,Florida
55,2,Daniel Faalele,Minnesota,OT,Indianapolis,-40,15,2020-09-03,Minnesota
56,2,Alaric Jackson,Iowa,OT,Jacksonville (Trade),+1,15,2020-09-03,Iowa
57,2,Jaycee Horn,South Carolina,CB,Dallas,+14,15,2020-09-03,South Carolina
58,2,Tommy Kraemer,Notre Dame,OG,Buffalo,-6,15,2020-09-03,Indiana
59,2,Brock Purdy,Iowa State,QB,Tampa Bay,+12,15,2020-09-03,Iowa
60,2,Marco Wilson,Florida,CB,Seattle,-2,15,2020-09-03,Florida
61,2,Amen Ogbongbemiga,Oklahoma State,ILB,New Orleans,-2,15,2020-09-03,Oklahoma
62,2,Trey Hill,Georgia,OC,Baltimore,+3,15,2020-09-03,Georgia
63,2,Eric Stokes,Georgia,CB,San Francisco,-8,15,2020-09-03,Georgia
64,2,Jimmy Morrissey,Pitt,OC,Kansas City,-8,15,2020-09-03,Pennsylvania
65,3,Erroll Thompson,Mississippi State,ILB,Carolina,-3,10,2020-09-03,Mississippi
66,3,Trevon Moehrig,TCU,S,Washington,+1,10,2020-09-03,Texas
67,3,Tylan Wallace,Oklahoma State,WR,Jacksonville,+1,10,2020-09-03,Oklahoma
68,3,Marlon Tuipulotu,USC,DL3T,Cincinnati,+11,10,2020-09-03,California
