Pick,Round,Player,School,Position,Team,ReachValue,Points,Date,State
1,1,Trevor Lawrence,Clemson,QB,Jacksonville,+0,40,2021-03-31,South Carolina
2,1,Zach Wilson,BYU,QB,NY Jets,-2,35,2021-03-31,Utah
3,1,Justin Fields,Ohio State,QB,San Francisco (Trade),-2,35,2021-03-31,Ohio
4,1,Kyle Pitts,Florida,TE,Atlanta,-3,35,2021-03-31,Florida
5,1,Penei Sewell,Oregon,OT,Cincinnati,+3,35,2021-03-31,Oregon
6,1,Ja'Marr Chase,LSU,WR,Miami (Trade),+3,35,2021-03-31,Louisiana
7,1,DeVonta Smith,Alabama,WR,Detroit,-2,35,2021-03-31,Alabama
8,1,Trey Lance,North Dakota State,QB,Carolina,-2,35,2021-03-31,North Dakota
9,1,Micah Parsons,Penn State,ILB,Denver,-4,35,2021-03-31,Pennsylvania
10,1,Rashawn Slater,Northwestern,OT,Dallas,-1,35,2021-03-31,Illinois
11,1,Christian Darrisaw,Virginia Tech,OT,NY Giants,-6,30,2021-03-31,Virginia
12,1,Jaylen Waddle,Alabama,WRS,Philadelphia (Trade),+6,30,2021-03-31,Alabama
13,1,Kwity Paye,Michigan,EDGE,LA Chargers,-6,30,2021-03-31,Michigan
14,1,Jayson Oweh,Penn State,EDGE,Minnesota,-26,30,2021-03-31,Pennsylvania
15,1,Mac Jones,Alabama,QB,New England,-9,30,2021-03-31,Alabama
16,1,Patrick Surtain II,Alabama,CB,Arizona,+8,30,2021-03-31,Alabama
17,1,Teven Jenkins,Oklahoma State,OT,Las Vegas,-34,30,2021-03-31,Oklahoma
18,1,Azeez Ojulari,Georgia,EDGE,Miami,-5,30,2021-03-31,Georgia
19,1,Samuel Cosmi,Texas,OT,Washington,+1,30,2021-03-31,Texas
20,1,Jaycee Horn,South Carolina,CB,Chicago,+8,30,2021-03-31,South Carolina
21,1,Alex Leatherwood,Alabama,OT,Indianapolis,-10,25,2021-03-31,Alabama
22,1,Rashod Bateman,Minnesota,WR,Tennessee,+6,25,2021-03-31,Minnesota
23,1,Wyatt Davis,Ohio State,OG,NY Jets (Trade),+9,25,2021-03-31,Ohio
24,1,Najee Harris,Alabama,RB,Pittsburgh,-11,25,2021-03-31,Alabama
25,1,Jalen Mayfield,Michigan,OT,Jacksonville (Trade),-17,25,2021-03-31,Michigan
