Pick,Round,Player,School,Position,Team,ReachValue,Points,Date,State
1,1,Trevor Lawrence,Clemson,QB,NY Jets,+0,40,2020-10-07,South Carolina
2,1,Penei Sewell,Oregon,OT,NY Giants,+0,35,2020-10-07,Oregon
3,1,Ja'Marr Chase,LSU,WR,Miami (Trade),-2,35,2020-10-07,Louisiana
4,1,Justin Fields,Ohio State,QB,Washington,+1,35,2020-10-07,Ohio
5,1,Patrick Surtain II,Alabama,CB,Jacksonville,-1,35,2020-10-07,Alabama
6,1,Micah Parsons,Penn State,ILB,Detroit,-3,35,2020-10-07,Pennsylvania
7,1,Shaun Wade,Ohio State,CB,Denver,+0,35,2020-10-07,Ohio
8,1,Gregory Rousseau,Miami (FL),EDGE,Atlanta,+4,35,2020-10-07,Florida
9,1,Marvin Wilson,Florida State,DL1T,Miami,+1,35,2020-10-07,Florida
10,1,Trey Lance,North Dakota State,QB,Minnesota,-23,35,2020-10-07,North Dakota
11,1,Carlos Basham Jr.,Wake Forest,DL5T,Cincinnati,+1,30,2020-10-07,North Carolina
12,1,Alex Leatherwood,Alabama,OT,Philadelphia,-5,30,2020-10-07,Alabama
13,1,DeVonta Smith,Alabama,WR,LA Chargers,+1,30,2020-10-07,Alabama
14,1,Kyle Pitts,Florida,TE,Carolina,-2,30,2020-10-07,Florida
15,1,Jevon Holland,Oregon,S,Dallas,-4,30,2020-10-07,Oregon
16,1,Jaylen Twyman,Pitt,DL3T,Las Vegas,+5,30,2020-10-07,Pennsylvania
17,1,Creed Humphrey,Oklahoma,OC,Arizona,-3,30,2020-10-07,Oklahoma
18,1,Jayson Oweh,Penn State,EDGE,San Francisco,-7,30,2020-10-07,Pennsylvania
19,1,Rashod Bateman,Minnesota,WR,Chicago,+1,30,2020-10-07,Minnesota
20,1,Andre Cisco,Syracuse,S,Cleveland,-1,30,2020-10-07,New York
21,1,Dylan Moses,Alabama,OLB,New Orleans,-1,25,2020-10-07,Alabama
22,1,Walker Little,Stanford,OT,Indianapolis,-2,25,2020-10-07,California
23,1,Wyatt Davis,Ohio State,OG,New England,-5,25,2020-10-07,Ohio
24,1,Richard LeCounte III,Georgia,S,Tampa Bay,-11,25,2020-10-07,Georgia
25,1,Israel Mukuamu,South Carolina,CB,Tennessee,+11,25,2020-10-07,South Carolina
26,1,Samuel Cosmi,Texas,OT,Jacksonville (Trade),-1,25,2020-10-07,Texas
27,1,Tyler Shelvin,LSU,DL1T,Pittsburgh,+12,25,2020-10-07,Louisiana
28,1,Tyson Campbell,Georgia,CB,Buffalo,-3,25,2020-10-07,Georgia
29,1,Jaylen Waddle,Alabama,WRS,Green Bay,+0,25,2020-10-07,Alabama
30,1,Rondale Moore,Purdue,WRS,Baltimore,+7,25,2020-10-07,Indiana
31,1,Paulson Adebo,Stanford,CB,NY Jets (Trade),+5,25,2020-10-07,California
32,1,Hamilcar Rashed,Oregon State,OLB,Kansas City,-15,25,2020-10-07,Oregon
33,2,Travis Etienne,Clemson,RB,NY Jets,+20,20,2020-10-07,South Carolina
34,2,Josh Jobe,Alabama,CB,NY Giants,+2,20,2020-10-07,Alabama
35,2,Najee Harris,Alabama,RB,Miami (Trade),-1,20,2020-10-07,Alabama
36,2,Seth Williams,Auburn,WR,Washington,+2,20,2020-10-07,Alabama
37,2,Tedarrell Slaton,Florida,DL1T,Jacksonville,+7,20,2020-10-07,Florida
38,2,Jackson Carman,Clemson,OT,Detroit,-11,20,2020-10-07,South Carolina
39,2,Jalen Mayfield,Michigan,OT,Denver,-13,20,2020-10-07,Michigan
40,2,Caden Sterns,Texas,S,Atlanta,-3,20,2020-10-07,Texas
41,2,Deonte Brown,Alabama,OG,Miami,+2,20,2020-10-07,Alabama
42,2,Josh Myers,Ohio State,OC,Jacksonville (Trade),+0,20,2020-10-07,Ohio
43,2,Jaycee Horn,South Carolina,CB,Cincinnati,-2,20,2020-10-07,South Carolina
44,2,Quincy Roche,Miami (FL),EDGE,Philadelphia,-9,20,2020-10-07,Florida
45,2,Patrick Jones II,Pitt,EDGE,LA Chargers,-1,20,2020-10-07,Pennsylvania
46,2,Kyle Trask,Florida,QB,Carolina,+6,20,2020-10-07,Florida
47,2,Marco Wilson,Florida,CB,Dallas,-9,20,2020-10-07,Florida
48,2,Trevon Moehrig,TCU,S,Las Vegas,-13,20,2020-10-07,Texas
49,2,Trey Smith,Tennessee,OG,Arizona,+8,15,2020-10-07,Tennessee
50,2,Eric Stokes,Georgia,CB,San Francisco,-17,15,2020-10-07,Georgia
51,2,Chuba Hubbard,Oklahoma State,RB,Chicago,+0,15,2020-10-07,Oklahoma
52,2,Cade Mays,Tennessee,OG,Cleveland,+14,15,2020-10-07,Tennessee
53,2,Baron Browning,Ohio State,ILB,New Orleans,+9,15,2020-10-07,Ohio
54,2,Amon-Ra St. Brown,USC,WR,Indianapolis,+7,15,2020-10-07,California
55,2,Trey Hill,Georgia,OC,New England,+1,15,2020-10-07,Georgia
56,2,Liam Eichenberg,Notre Dame,OT,Tampa Bay,-3,15,2020-10-07,Indiana
57,2,Brevin Jordan,Miami (FL),TE,Tennessee,+9,15,2020-10-07,Florida
58,2,Sage Surratt,Wake Forest,WR,LA Rams,+3,15,2020-10-07,North Carolina
59,2,Alaric Jackson,Iowa,OT,Pittsburgh,-13,15,2020-10-07,Iowa
60,2,Pat Freiermuth,Penn State,TE,Buffalo,-9,15,2020-10-07,Pennsylvania
61,2,Caleb Farley,Virginia Tech,CB,Green Bay,-21,15,2020-10-07,Virginia
62,2,Xavier Thomas,Clemson,EDGE,Baltimore,-3,15,2020-10-07,South Carolina
63,2,Marlon Tuipulotu,USC,DL3T,Seattle,+13,15,2020-10-07,California
64,2,Amen Ogbongbemiga,Oklahoma State,ILB,Kansas City,+7,15,2020-10-07,Oklahoma
65,3,Tylan Wallace,Oklahoma State,WR,NY Jets,+3,10,2020-10-07,Oklahoma
66,3,Chris Olave,Ohio State,WR,NY Giants,+0,10,2020-10-07,Ohio
67,3,Tommy Kraemer,Notre Dame,OG,Houston,+7,10,2020-10-07,Indiana
68,3,Hamsah Nasirildeen,Florida State,S,Washington,-3,10,2020-10-07,Florida
69,3,Jay Tufele,USC,DL3T,Jacksonville,+6,10,2020-10-07,California
70,3,Jamie Newman,Georgia,QB,Detroit,+12,10,2020-10-07,Georgia
71,3,Erroll Thompson,Mississippi State,ILB,Denver,+7,10,2020-10-07,Mississippi
72,3,Trey Sermon,Ohio State,RB,Atlanta,-2,10,2020-10-07,Ohio
73,3,Tutu Atwell,Louisville,WRS,Miami,-13,10,2020-10-07,Kentucky
74,3,Jordan Davis,Georgia,DL1T,Minnesota,-19,10,2020-10-07,Georgia
