Pick,Round,Player,School,Position,Team,ReachValue,Points,Date,State
1,1,Trevor Lawrence,Clemson,QB,Jacksonville,+0,40,2021-01-27,South Carolina
2,1,Penei Sewell,Oregon,OT,NY Jets,+0,35,2021-01-27,Oregon
3,1,Ja'Marr Chase,LSU,WR,Miami (Trade),+0,35,2021-01-27,Louisiana
4,1,Justin Fields,Ohio State,QB,Minnesota (SIM Trade),+0,35,2021-01-27,Ohio
5,1,Patrick Surtain II,Alabama,CB,Cincinnati,+0,35,2021-01-27,Alabama
6,1,Zach Wilson,BYU,QB,Philadelphia,-1,35,2021-01-27,Utah
7,1,Trey Lance,North Dakota State,QB,Detroit,-7,35,2021-01-27,North Dakota
8,1,Micah Parsons,Penn State,ILB,Carolina,+2,35,2021-01-27,Pennsylvania
9,1,Caleb Farley,Virginia Tech,CB,Denver,+0,35,2021-01-27,Virginia
10,1,Jaycee Horn,South Carolina,CB,Dallas,-6,35,2021-01-27,South Carolina
11,1,DeVonta Smith,Alabama,WR,NY Giants,+0,30,2021-01-27,Alabama
12,1,Kyle Pitts,Florida,TE,San Francisco,+2,30,2021-01-27,Florida
13,1,Gregory Rousseau,Miami (FL),EDGE,LA Chargers,-2,30,2021-01-27,Florida
14,1,Kwity Paye,Michigan,DL5T,Atlanta (SIM Trade),-4,30,2021-01-27,Michigan
15,1,Christian Barmore,Alabama,DL3T,New England,-6,30,2021-01-27,Alabama
16,1,Patrick Jones II,Pitt,EDGE,Arizona,-16,30,2021-01-27,Pennsylvania
17,1,Daviyon Nixon,Iowa,DL3T,Las Vegas,-9,30,2021-01-27,Iowa
18,1,Rashawn Slater,Northwestern,OT,Miami,-6,30,2021-01-27,Illinois
19,1,Trevon Moehrig,TCU,S,Washington,+7,30,2021-01-27,Texas
20,1,Mac Jones,Alabama,QB,Chicago,-11,30,2021-01-27,Alabama
21,1,Kyle Trask,Florida,QB,Indianapolis,-14,25,2021-01-27,Florida
22,1,Wyatt Davis,Ohio State,OG,Tennessee,+3,25,2021-01-27,Ohio
23,1,Asante Samuel Jr.,Florida State,CB,NY Jets (Trade),-2,25,2021-01-27,Florida
24,1,Christian Darrisaw,Virginia Tech,OT,Pittsburgh,+7,25,2021-01-27,Virginia
25,1,Samuel Cosmi,Texas,OT,Jacksonville (Trade),+5,25,2021-01-27,Texas
26,1,Jeremiah Owusu-Koramoah,Notre Dame,OLB,Cleveland,+3,25,2021-01-27,Indiana
27,1,Alex Leatherwood,Alabama,OT,Baltimore,-2,25,2021-01-27,Alabama
28,1,Rashod Bateman,Minnesota,WR,New Orleans,+6,25,2021-01-27,Minnesota
29,1,Jaylen Waddle,Alabama,WRS,Green Bay,+21,25,2021-01-27,Alabama
30,1,Najee Harris,Alabama,RB,Buffalo,-4,25,2021-01-27,Alabama
31,1,Jay Tufele,USC,DL3T,Tampa Bay,-10,25,2021-01-27,California
32,1,Nick Bolton,Missouri,OLB,Kansas City,-1,25,2021-01-27,Missouri
33,2,Terrace Marshall,LSU,WR,Jacksonville,-9,20,2021-01-27,Louisiana
34,2,Carlos Basham Jr.,Wake Forest,EDGE,NY Jets,-3,20,2021-01-27,North Carolina
35,2,Travis Etienne,Clemson,RB,Atlanta,+8,20,2021-01-27,South Carolina
