Pick,Round,Player,School,Position,Team,ReachValue,Points,Date,State
1,1,Trevor Lawrence,Clemson,QB,NY Jets,+0,40,2020-09-23,South Carolina
2,1,Penei Sewell,Oregon,OT,NY Giants,+0,35,2020-09-23,Oregon
3,1,Justin Fields,Ohio State,QB,Carolina,+0,35,2020-09-23,Ohio
4,1,Gregory Rousseau,Miami (FL),EDGE,Detroit,+0,35,2020-09-23,Florida
5,1,Ja'Marr Chase,LSU,WR,Washington,+0,35,2020-09-23,Louisiana
6,1,Patrick Surtain II,Alabama,CB,Cincinnati,+0,35,2020-09-23,Alabama
7,1,Alex Leatherwood,Alabama,OT,Miami,-7,35,2020-09-23,Alabama
8,1,Shaun Wade,Ohio State,CB,Denver,+1,35,2020-09-23,Ohio
9,1,Micah Parsons,Penn State,ILB,Minnesota,+0,35,2020-09-23,Pennsylvania
10,1,Andre Cisco,Syracuse,S,Philadelphia,-1,35,2020-09-23,New York
11,1,Marvin Wilson,Florida State,DL1T,Jacksonville,+3,30,2020-09-23,Florida
12,1,Jevon Holland,Oregon,S,Miami (Trade),-8,30,2020-09-23,Oregon
13,1,Travis Etienne,Clemson,RB,Atlanta,-2,30,2020-09-23,South Carolina
14,1,DeVonta Smith,Alabama,WR,Cleveland,+1,30,2020-09-23,Alabama
15,1,Rashod Bateman,Minnesota,WR,Chicago,-4,30,2020-09-23,Minnesota
16,1,Israel Mukuamu,South Carolina,CB,LA Chargers,+0,30,2020-09-23,South Carolina
17,1,Jaylen Twyman,Pitt,DL3T,Indianapolis,+5,30,2020-09-23,Pennsylvania
18,1,Paulson Adebo,Stanford,CB,San Francisco,-9,30,2020-09-23,California
19,1,Tyler Shelvin,LSU,DL1T,Dallas,+2,30,2020-09-23,Louisiana
20,1,Richard LeCounte III,Georgia,S,Las Vegas,-9,30,2020-09-23,Georgia
21,1,Samuel Cosmi,Texas,OT,Tampa Bay,-2,25,2020-09-23,Texas
22,1,Jayson Oweh,Penn State,EDGE,Tennessee,-4,25,2020-09-23,Pennsylvania
23,1,Creed Humphrey,Oklahoma,OC,New England,+2,25,2020-09-23,Oklahoma
24,1,Dylan Moses,Alabama,OLB,New Orleans,+2,25,2020-09-23,Alabama
25,1,Tyson Campbell,Georgia,CB,Arizona,-3,25,2020-09-23,Georgia
26,1,Wyatt Davis,Ohio State,OG,Pittsburgh,+8,25,2020-09-23,Ohio
27,1,Walker Little,Stanford,OT,Jacksonville (Trade),+2,25,2020-09-23,California
28,1,Josh Jobe,Alabama,CB,Buffalo,-6,25,2020-09-23,Alabama
29,1,Rondale Moore,Purdue,WRS,Green Bay,+5,25,2020-09-23,Indiana
30,1,Seth Williams,Auburn,WR,NY Jets,-7,25,2020-09-23,Alabama
31,1,Hamilcar Rashed,Oregon State,EDGE,Kansas City (Trade),-10,25,2020-09-23,Oregon
32,1,Caden Sterns,Texas,S,Baltimore,-4,25,2020-09-23,Texas
33,2,Jaycee Horn,South Carolina,CB,NY Jets,-5,20,2020-09-23,South Carolina
34,2,Patrick Jones II,Pitt,EDGE,NY Giants,-13,20,2020-09-23,Pennsylvania
35,2,Kyle Pitts,Florida,TE,Carolina,+5,20,2020-09-23,Florida
36,2,Baron Browning,Ohio State,ILB,Detroit,-9,20,2020-09-23,Ohio
37,2,Brevin Jordan,Miami (FL),TE,Washington,-12,20,2020-09-23,Florida
38,2,Carlos Basham Jr.,Wake Forest,DL5T,Cincinnati,+28,20,2020-09-23,North Carolina
39,2,Deonte Brown,Alabama,OG,Miami,+8,20,2020-09-23,Alabama
40,2,Jackson Carman,Clemson,OT,Denver,-10,20,2020-09-23,South Carolina
41,2,Najee Harris,Alabama,RB,Jacksonville (Trade),+2,20,2020-09-23,Alabama
42,2,Quincy Roche,Miami (FL),EDGE,Philadelphia,-11,20,2020-09-23,Florida
43,2,Marco Wilson,Florida,CB,Jacksonville,-14,20,2020-09-23,Florida
44,2,Tedarrell Slaton,Florida,DL1T,Miami (Trade),+11,20,2020-09-23,Florida
45,2,Trevon Moehrig,TCU,S,Atlanta,-16,20,2020-09-23,Texas
46,2,Hamsah Nasirildeen,Florida State,S,Cleveland,-26,20,2020-09-23,Florida
47,2,Trey Lance,North Dakota State,QB,Chicago,+12,20,2020-09-23,North Dakota
48,2,Xavier Thomas,Clemson,EDGE,LA Chargers,-18,20,2020-09-23,South Carolina
49,2,Amon-Ra St. Brown,USC,WR,Indianapolis,+1,15,2020-09-23,California
50,2,Marlon Tuipulotu,USC,DL3T,San Francisco,-1,15,2020-09-23,California
51,2,Eric Stokes,Georgia,CB,Dallas,-17,15,2020-09-23,Georgia
52,2,Jay Tufele,USC,DL3T,Las Vegas,-11,15,2020-09-23,California
53,2,Jamie Newman,Georgia,QB,Tampa Bay,+7,15,2020-09-23,Georgia
54,2,Sage Surratt,Wake Forest,WR,Tennessee,-1,15,2020-09-23,North Carolina
55,2,Cade Mays,Tennessee,OG,New England,+13,15,2020-09-23,Tennessee
56,2,Amen Ogbongbemiga,Oklahoma State,ILB,New Orleans,-2,15,2020-09-23,Oklahoma
57,2,Trey Smith,Tennessee,OG,Arizona,+14,15,2020-09-23,Tennessee
58,2,Josh Myers,Ohio State,OC,Pittsburgh,+14,15,2020-09-23,Ohio
59,2,Jalen Mayfield,Michigan,OT,LA Rams,+7,15,2020-09-23,Michigan
60,2,Pat Freiermuth,Penn State,TE,Buffalo,-10,15,2020-09-23,Pennsylvania
61,2,Liam Eichenberg,Notre Dame,OT,Green Bay,+2,15,2020-09-23,Indiana
62,2,Chuba Hubbard,Oklahoma State,RB,Seattle,+22,15,2020-09-23,Oklahoma
63,2,Tylan Wallace,Oklahoma State,WR,Kansas City,+1,15,2020-09-23,Oklahoma
64,2,Jaylen Waddle,Alabama,WRS,Baltimore,+32,15,2020-09-23,Alabama
65,3,Jordan Smith,UAB,EDGE,NY Jets,-6,10,2020-09-23,Alabama
66,3,Chris Olave,Ohio State,WR,NY Giants,-1,10,2020-09-23,Ohio
67,3,Alaric Jackson,Iowa,OT,Carolina,-6,10,2020-09-23,Iowa
68,3,Daniel Faalele,Minnesota,OT,Detroit,-11,10,2020-09-23,Minnesota
69,3,Caleb Farley,Virginia Tech,CB,Washington,-13,10,2020-09-23,Virginia
70,3,Tommy Kraemer,Notre Dame,OG,Cincinnati,+10,10,2020-09-23,Indiana
71,3,Erroll Thompson,Mississippi State,ILB,Miami,+7,10,2020-09-23,Mississippi
72,3,Damone Clark,LSU,ILB,Denver,-2,10,2020-09-23,Louisiana
73,3,Joe Tryon,Washington,EDGE,Minnesota,-8,10,2020-09-23,Washington
74,3,Cole Van Lanen,Wisconsin,OT,Philadelphia,-14,10,2020-09-23,Wisconsin
75,3,Trey Hill,Georgia,OC,Jacksonville,+21,10,2020-09-23,Georgia
76,3,Ben Cleveland,Georgia,OG,Houston,-1,10,2020-09-23,Georgia
77,3,Cameron Goode,California,EDGE,Atlanta,-12,10,2020-09-23,California
78,3,Kevin Jarvis,Michigan State,OG,Cleveland,-19,10,2020-09-23,Michigan
79,3,Zamir White,Georgia,RB,Chicago,+23,10,2020-09-23,Georgia
80,3,Terrace Marshall,LSU,WR,LA Chargers,+0,10,2020-09-23,Louisiana
81,3,Thayer Munford,Ohio State,OT,Indianapolis,-18,10,2020-09-23,Ohio
82,3,Donovan Stiner,Florida,S,Washington (Trade),-2,10,2020-09-23,Florida
83,3,Richie Grant,UCF,S,Dallas,-18,10,2020-09-23,Florida
84,3,Jabril Cox,LSU,OLB,Las Vegas,+1,10,2020-09-23,Louisiana
85,3,Ben Brown,Ole Miss,OG,Tampa Bay,-13,10,2020-09-23,Mississippi
86,3,Jimmy Morrissey,Pitt,OC,Tennessee,+17,10,2020-09-23,Pennsylvania
87,3,Rashad Weaver,Pitt,EDGE,Cleveland (Trade),-20,10,2020-09-23,Pennsylvania
88,3,Trey Sermon,Ohio State,RB,Arizona,+13,10,2020-09-23,Ohio
89,3,Jordan Davis,Georgia,DL1T,Pittsburgh,-3,10,2020-09-23,Georgia
90,3,Derion Kendrick,Clemson,CB,LA Rams,-4,10,2020-09-23,South Carolina
