Pick,Round,Player,School,Position,Team,ReachValue,Points,Date,State
1,1,Trevor Lawrence,Clemson,QB,Jacksonville,+0,40,2020-07-02,South Carolina
2,1,Ja'Marr Chase,LSU,WR,Washington,-3,35,2020-07-02,Louisiana
3,1,Gregory Rousseau,Miami (FL),EDGE,Cincinnati,-1,35,2020-07-02,Florida
4,1,Justin Fields,Ohio State,QB,Carolina,+1,35,2020-07-02,Ohio
5,1,Penei Sewell,Oregon,OT,Detroit,+3,35,2020-07-02,Oregon
6,1,Alex Leatherwood,Alabama,OT,Miami,-3,35,2020-07-02,Alabama
7,1,Patrick Surtain II,Alabama,CB,NY Jets,+1,35,2020-07-02,Alabama
8,1,Shaun Wade,Ohio State,CB,NY Giants,+1,35,2020-07-02,Ohio
9,1,DeVonta Smith,Alabama,WR,Chicago,-5,35,2020-07-02,Alabama
10,1,Jevon Holland,Oregon,S,Cleveland,-29,35,2020-07-02,Oregon
11,1,Andre Cisco,Syracuse,S,Atlanta,-2,30,2020-07-02,New York
12,1,Marvin Wilson,Florida State,DL3T,Las Vegas,+4,30,2020-07-02,Florida
13,1,Carlos Basham Jr.,Wake Forest,DL5T,Arizona,+1,30,2020-07-02,North Carolina
14,1,Micah Parsons,Penn State,ILB,Denver,-9,30,2020-07-02,Pennsylvania
15,1,Rondale Moore,Purdue,WRS,Miami (Trade),+0,30,2020-07-02,Indiana
16,1,Hamilcar Rashed,Oregon State,EDGE,LA Chargers,-9,30,2020-07-02,Oregon
17,1,Jamie Newman,Georgia,QB,New England,+0,30,2020-07-02,Georgia
18,1,Walker Little,Stanford,OT,Jacksonville (Trade),+8,30,2020-07-02,California
19,1,Creed Humphrey,Oklahoma,OC,Pittsburgh,+8,30,2020-07-02,Oklahoma
20,1,Jalen Mayfield,Michigan,OT,Indianapolis,-2,30,2020-07-02,Michigan
21,1,Rashod Bateman,Minnesota,WR,Philadelphia,+3,25,2020-07-02,Minnesota
22,1,Jaylen Twyman,Pitt,DL3T,Green Bay,+3,25,2020-07-02,Pennsylvania
23,1,Wyatt Davis,Ohio State,OG,Tennessee,-4,25,2020-07-02,Ohio
24,1,Trey Lance,North Dakota State,QB,Minnesota,-17,25,2020-07-02,North Dakota
25,1,Israel Mukuamu,South Carolina,CB,Buffalo,+1,25,2020-07-02,South Carolina
26,1,Caden Sterns,Texas,S,Dallas,-17,25,2020-07-02,Texas
27,1,Richard LeCounte III,Georgia,S,Seattle,+11,25,2020-07-02,Georgia
28,1,Brock Purdy,Iowa State,QB,Tampa Bay,+7,25,2020-07-02,Iowa
29,1,Travis Etienne,Clemson,RB,New Orleans,+9,25,2020-07-02,South Carolina
30,1,Samuel Cosmi,Texas,OT,Baltimore,-6,25,2020-07-02,Texas
31,1,Paulson Adebo,Stanford,CB,San Francisco,-1,25,2020-07-02,California
32,1,Seth Williams,Auburn,WR,Kansas City,-12,25,2020-07-02,Alabama
33,2,Najee Harris,Alabama,RB,Jacksonville,-13,20,2020-07-02,Alabama
34,2,Dylan Moses,Alabama,OLB,Washington,+4,20,2020-07-02,Alabama
35,2,Tyler Shelvin,LSU,DL1T,Cincinnati,+9,20,2020-07-02,Louisiana
36,2,Deonte Brown,Alabama,OG,Carolina,+7,20,2020-07-02,Alabama
37,2,Xavier Thomas,Clemson,EDGE,Detroit,+9,20,2020-07-02,South Carolina
38,2,Tedarrell Slaton,Florida,DL1T,Miami,+1,20,2020-07-02,Florida
39,2,Chuba Hubbard,Oklahoma State,RB,NY Jets,-9,20,2020-07-02,Oklahoma
40,2,Patrick Jones II,Pitt,EDGE,NY Giants,-12,20,2020-07-02,Pennsylvania
41,2,Cade Mays,Tennessee,OG,Chicago,-8,20,2020-07-02,Tennessee
42,2,Tyson Campbell,Georgia,CB,Cleveland,+9,20,2020-07-02,Georgia
43,2,Jaylen Waddle,Alabama,WRS,Atlanta,+12,20,2020-07-02,Alabama
44,2,Richie Grant,UCF,S,Las Vegas,-24,20,2020-07-02,Florida
45,2,Trey Smith,Tennessee,OG,Arizona,-5,20,2020-07-02,Tennessee
46,2,Josh Jobe,Alabama,CB,Denver,+6,20,2020-07-02,Alabama
47,2,Kyle Pitts,Florida,TE,Miami (Trade),+12,20,2020-07-02,Florida
48,2,Amon-Ra St. Brown,USC,WR,LA Chargers,-5,20,2020-07-02,California
49,2,Brevin Jordan,Miami (FL),TE,New England,-5,15,2020-07-02,Florida
